label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182
0.03	north1_all	80	1824	913	611	698	323	554	488	234	201	128	124	113	84	96	195	96	264	76	96	184	49	42	124	54	39	56	35	31	24	35	20	21	20	31	130	14	16	17	4	14	32	24	10	17	6	6	6	15	11	6	11	4	10	4	6	4	40	6	4	17	26	1	10	5	3	3	2	3	8	4	7	5	2	0	9	0	0	1	0	3	3	1	2	2	13	0	1	6	1	3	0	0	1	2	1	5	10	0	0	2	0	0	0	3	2	1	0	0	0	1	1	2	0	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	3	0	1	0	1	0	1	0	0	1	0	0	0	0	4	0	0	0	0	6	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	509	357	154	497	76	444	401	137	111	25	52	67	24	33	166	45	242	41	74	168	12	25	106	40	13	48	5	12	9	13	10	6	9	26	129	2	5	7	0	8	27	20	1	13	3	3	4	9	9	3	8	1	3	2	3	3	36	1	1	17	23	0	4	2	3	1	1	3	7	3	3	5	0	0	8	0	0	0	0	2	1	0	2	0	12	0	0	4	0	3	0	0	0	0	1	4	10	0	0	1	0	0	0	3	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	4	0	0	0	0	6	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	1830	903	584	720	347	539	513	227	217	140	121	119	78	93	206	92	268	73	86	167	44	41	142	55	40	56	28	25	28	33	20	20	15	33	131	15	17	16	4	15	30	21	9	11	7	9	8	14	15	8	12	7	12	4	6	9	34	5	8	52	13	0	11	5	7	2	2	1	6	1	6	5	1	0	6	2	0	2	0	2	2	1	1	2	4	0	0	5	0	0	1	0	1	1	2	5	10	0	0	1	0	1	0	4	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	3	0	1	0	1	1	2	0	0	1	0	0	0	0	4	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0.03	north2_active	80	519	340	152	532	82	422	421	123	127	31	62	69	19	27	182	44	243	41	66	154	7	22	125	41	16	49	5	11	8	10	8	7	7	29	129	3	6	7	1	8	27	18	0	8	4	4	5	11	15	5	8	2	0	2	1	5	33	1	6	51	12	0	5	2	6	0	0	1	5	0	4	5	0	0	5	0	0	0	0	1	1	0	1	0	4	0	0	3	0	0	1	0	0	0	2	5	10	0	0	1	0	1	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	3	0	0	0	1	1	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0.03	north3_all	80	1855	902	592	664	350	532	510	217	213	140	112	137	89	97	218	85	234	71	91	239	44	41	126	60	33	55	30	27	27	36	18	21	20	29	141	14	17	17	12	14	18	23	10	14	9	9	6	12	14	8	10	7	13	3	6	7	29	5	10	57	11	1	9	6	10	3	2	0	2	0	5	9	1	0	12	2	0	1	0	4	2	0	0	6	3	1	2	5	0	0	1	0	0	0	2	2	2	1	0	1	1	1	0	4	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	5	0	0	1	0	1	0	0	4	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0.03	north3_active	80	520	348	156	495	70	411	413	101	124	37	50	73	25	34	187	38	213	50	65	228	10	21	111	38	13	45	5	10	7	12	4	5	8	22	139	1	6	5	5	7	16	19	0	11	4	5	3	7	12	7	5	3	2	2	1	3	28	1	5	56	10	0	3	3	6	1	0	0	2	0	3	9	0	0	12	0	0	0	0	3	1	0	0	2	3	0	1	3	0	0	1	0	0	0	2	2	2	1	0	0	1	1	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0.03	north4_all	80	1854	901	586	645	365	504	446	203	204	135	115	139	92	94	219	81	239	75	98	244	41	37	106	73	31	70	25	24	28	31	17	21	18	32	154	15	16	18	14	13	26	26	13	13	9	10	6	10	13	11	8	6	13	6	5	7	35	3	11	68	6	1	6	4	10	2	1	0	3	0	6	8	0	2	21	2	0	2	1	2	2	1	0	4	1	1	2	2	0	0	1	0	1	0	2	2	4	2	2	1	1	1	0	2	1	1	2	0	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	4	0	4	0	0	2	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0.03	north4_active	80	482	342	149	468	86	380	356	89	115	40	58	75	25	28	184	35	219	53	70	232	7	21	96	47	10	59	5	7	10	10	5	9	6	24	149	2	5	3	7	5	18	17	1	13	4	7	2	6	11	8	2	3	2	5	0	4	33	0	5	67	4	0	3	3	6	1	0	0	3	0	4	6	0	2	21	0	0	0	0	2	1	0	0	2	1	0	1	0	0	0	1	0	1	0	2	2	4	1	2	0	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	4	0	4	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0.03	north5_all	80	1935	888	605	614	346	420	426	200	197	137	123	133	104	100	203	79	223	70	107	217	48	32	97	71	33	66	20	27	25	33	17	25	15	34	96	16	13	17	17	18	20	27	16	17	8	11	5	7	10	10	6	4	7	10	5	7	29	3	9	34	8	3	5	6	8	2	3	0	4	1	5	9	1	5	23	2	1	1	2	2	1	1	0	4	1	2	2	2	0	1	0	0	1	0	1	3	2	3	2	1	1	0	0	2	1	1	3	0	0	0	0	1	2	1	0	0	1	2	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	4	0	4	0	0	2	3	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	497	332	135	430	73	301	339	96	107	34	54	67	24	27	170	36	201	48	71	205	7	15	80	45	10	56	4	9	10	11	6	10	5	25	87	2	4	3	6	8	10	18	2	15	3	8	1	3	5	7	2	2	2	9	0	3	28	1	3	33	7	0	2	3	4	1	2	0	4	1	3	7	0	4	23	2	1	0	1	2	1	0	0	2	1	0	1	2	0	1	0	0	1	0	1	1	2	1	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	4	0	4	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
