label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187
0.03	north1_all	80	3465	1700	1063	1291	555	529	514	351	298	323	205	195	157	166	130	208	103	300	97	88	104	76	94	128	48	62	55	102	207	61	143	32	31	101	37	28	33	28	29	27	11	94	26	15	17	9	17	22	58	16	14	9	13	7	10	12	14	61	8	12	11	5	8	10	6	9	21	6	6	4	4	6	13	8	4	9	5	3	1	10	1	2	1	2	2	4	2	2	1	2	19	6	0	2	7	0	2	0	0	1	2	2	0	0	3	1	1	0	2	4	3	3	1	1	3	1	7	0	3	0	2	1	0	0	0	1	0	0	2	0	0	1	1	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	1297	787	255	929	108	237	320	164	93	213	72	54	34	47	55	148	44	262	24	30	59	29	57	97	23	28	26	75	191	22	133	10	16	89	10	11	14	8	10	12	2	89	10	9	8	3	9	7	52	10	5	3	3	2	4	4	2	61	4	6	9	4	6	1	3	7	19	1	3	0	0	0	11	7	0	9	4	1	1	9	0	1	1	1	1	4	2	0	1	2	18	5	0	0	7	0	2	0	0	0	1	1	0	0	0	1	0	0	2	4	1	3	0	0	3	1	7	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	3467	1706	1008	1267	541	532	485	391	282	341	210	161	161	167	139	186	108	332	97	90	113	80	96	120	47	66	46	108	200	63	121	31	32	104	35	32	27	25	28	23	15	102	24	23	14	12	18	16	55	10	11	9	15	9	10	10	13	42	9	11	10	5	8	9	6	8	16	6	3	5	2	5	13	11	2	11	1	4	2	13	2	2	1	1	2	0	3	3	2	2	15	1	1	2	5	2	2	0	0	1	2	2	0	2	2	1	1	1	0	6	2	3	1	0	1	0	1	0	1	0	1	3	0	0	0	2	0	0	2	0	1	2	1	1	2	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	1284	794	243	925	107	245	299	193	86	225	69	43	41	47	59	128	48	294	20	27	60	30	57	93	24	24	22	86	182	27	113	10	19	91	8	15	10	8	11	12	6	94	7	13	5	1	12	4	48	7	4	2	5	3	4	3	2	42	6	5	8	2	5	3	1	7	13	1	2	0	0	1	11	11	0	11	0	2	2	12	0	1	1	1	1	0	3	1	1	2	14	0	1	0	5	2	2	0	0	0	1	1	0	0	0	1	0	1	0	6	1	3	0	0	1	0	1	0	0	0	0	1	0	0	0	2	0	0	1	0	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	3394	1647	998	1179	556	518	460	368	271	326	210	163	161	145	151	171	111	295	94	94	116	85	99	111	57	60	47	96	124	60	91	39	39	121	38	37	23	26	26	30	22	74	22	22	21	14	17	12	53	10	9	10	11	11	8	7	15	41	7	10	11	5	5	5	7	9	16	3	4	4	2	3	12	8	3	12	0	3	2	17	3	1	1	2	1	1	3	2	2	2	14	1	1	2	1	2	3	0	1	1	1	3	0	2	2	1	1	1	0	2	0	1	1	0	0	0	1	0	1	0	0	2	0	0	0	2	0	0	1	1	1	1	2	1	2	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	1	0	0	0	5	0	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1185	717	225	848	104	243	274	173	81	197	61	35	43	35	62	107	47	258	19	29	65	32	64	88	22	22	16	76	108	28	85	16	21	105	9	19	8	7	12	12	6	67	8	14	8	2	12	3	48	7	2	0	5	5	4	1	2	41	4	5	5	2	1	2	1	8	12	0	3	0	1	1	11	8	1	12	0	1	2	15	1	1	1	0	0	1	3	1	0	1	14	0	1	0	1	2	2	0	1	0	0	2	0	0	0	1	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	1	0	0	0	5	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	3375	1652	1026	1132	585	521	456	376	258	292	217	181	155	144	157	152	95	257	89	100	122	87	92	107	57	52	51	91	134	43	97	39	34	128	38	34	24	23	27	32	26	50	19	28	21	18	17	10	44	7	5	11	11	11	11	10	12	32	8	8	10	6	8	5	6	13	13	1	3	3	7	5	5	6	6	8	0	4	1	17	3	1	1	4	3	3	4	1	2	3	6	1	1	1	0	2	3	0	1	1	1	3	0	2	1	0	1	1	0	3	0	1	0	1	2	0	1	1	0	0	0	2	0	0	1	2	0	0	0	1	1	1	1	1	2	1	0	0	6	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	1	5	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	1127	662	239	770	126	247	252	171	70	162	67	34	36	33	62	83	39	213	20	27	68	26	53	82	20	16	12	68	121	20	85	14	15	113	6	18	10	6	11	12	8	44	8	13	6	3	13	2	37	4	0	0	4	6	7	1	1	30	3	2	6	2	2	2	1	12	10	0	3	0	2	1	3	5	1	8	0	2	1	14	1	1	0	1	0	3	3	1	0	1	5	1	1	0	0	2	2	0	1	0	0	2	0	0	0	0	0	1	0	3	0	1	0	1	2	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	1	0	1	0	2	1	0	0	5	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	3400	1686	1052	1019	606	465	469	343	261	272	213	184	177	143	149	144	108	217	86	86	101	92	80	90	47	45	60	76	123	44	67	39	36	90	44	39	25	22	27	29	21	33	20	23	19	17	13	9	25	13	6	9	11	17	14	10	14	25	9	6	9	5	7	4	8	11	11	2	3	5	8	7	6	1	6	3	4	2	1	13	2	3	2	4	2	4	4	2	2	3	5	4	0	1	1	0	1	1	1	1	0	1	1	3	1	0	1	0	0	1	0	1	0	2	2	0	1	1	1	0	1	1	0	0	1	0	1	1	0	1	0	1	1	0	0	1	0	0	5	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	986	622	262	627	152	198	241	148	67	133	60	44	36	27	55	73	35	173	22	26	57	27	41	65	12	12	17	49	113	17	56	13	13	76	8	18	13	7	11	8	5	30	9	7	4	4	9	1	19	6	0	0	2	10	8	2	4	22	1	1	5	2	1	0	3	10	7	0	3	2	2	0	4	0	2	3	1	1	0	11	1	2	0	1	0	4	3	2	0	1	3	4	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	1	0	1	2	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	5	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
