label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147
0.03	north1_all	80	10839	4085	5178	1742	1215	1811	685	981	703	495	382	959	299	443	236	206	192	163	275	119	136	125	245	281	91	115	160	59	52	68	70	164	49	72	46	39	40	43	28	19	31	28	21	17	26	24	32	11	25	15	16	27	34	32	14	10	4	9	5	6	7	26	10	7	13	7	5	4	24	8	2	2	1	3	4	3	3	3	3	5	5	5	4	0	3	1	2	1	2	0	1	1	0	0	0	2	0	0	1	2	1	0	0	2	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	7829	2362	4467	986	635	1448	250	702	447	235	127	841	152	311	81	65	44	53	206	47	57	67	213	259	59	89	134	28	16	27	50	149	12	52	17	19	30	30	10	8	13	22	10	8	9	18	23	4	21	7	10	24	31	25	9	5	2	2	1	4	2	24	9	4	12	1	1	2	22	4	0	1	0	2	4	2	1	2	2	4	4	4	2	0	2	0	2	1	2	0	1	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	10768	4037	5202	1763	1280	1781	686	961	716	513	369	981	322	467	244	202	192	150	272	107	133	132	237	288	105	118	151	60	51	68	61	136	46	62	38	37	47	38	30	25	35	38	19	18	16	20	33	14	21	11	20	27	28	31	13	7	3	10	6	7	8	25	6	5	8	7	5	1	18	10	3	6	1	4	3	3	4	2	3	6	1	3	2	0	4	3	2	1	3	0	1	1	0	0	0	3	1	0	1	1	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	7765	2279	4449	1015	688	1440	247	694	451	242	114	878	162	347	87	61	42	46	206	47	61	73	205	263	71	88	125	32	13	32	41	122	8	43	11	15	33	25	10	9	15	30	11	7	4	15	25	6	16	6	12	25	21	26	7	4	2	1	4	4	3	25	6	3	7	1	3	1	17	6	1	5	0	3	2	2	2	1	2	5	0	2	2	0	2	0	2	1	2	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	10697	3988	5120	1811	1301	1779	707	948	675	512	365	961	325	477	248	184	189	155	252	119	124	132	231	283	115	127	156	59	50	72	67	145	47	62	38	35	40	45	28	26	34	53	20	20	11	25	42	15	17	12	16	24	26	32	12	5	2	10	5	7	8	27	11	4	18	5	4	2	21	9	5	7	3	2	3	3	4	2	6	3	1	1	2	4	3	4	2	2	2	1	0	2	1	0	0	7	1	0	1	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	7709	2233	4364	1061	671	1460	250	676	413	232	107	867	174	362	88	63	46	54	196	51	55	73	202	256	77	93	131	32	11	32	46	137	8	47	8	10	26	28	9	8	18	33	7	8	1	15	38	7	14	9	8	22	20	26	7	2	1	2	3	5	6	26	9	1	17	1	3	1	19	5	4	6	2	1	2	2	2	1	3	3	0	1	1	4	1	1	2	2	1	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	10693	4013	5187	1789	1293	1825	698	950	696	512	404	1002	320	455	242	180	191	153	230	124	128	126	259	272	125	115	180	64	66	65	77	147	42	48	34	32	43	42	28	27	34	62	23	17	11	23	34	16	7	12	15	23	22	24	15	6	6	10	7	5	9	28	9	3	13	3	4	5	12	3	6	6	4	1	3	3	5	1	3	5	1	2	2	4	3	4	2	1	2	1	0	2	2	0	1	5	1	0	1	0	0	0	1	0	0	2	0	1	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	7622	2272	4445	1022	680	1478	232	686	436	245	107	911	171	349	95	63	52	57	156	44	60	68	228	248	90	85	151	41	15	31	56	139	5	32	5	7	27	28	11	6	17	41	8	6	4	13	30	8	4	10	7	22	16	20	7	3	5	3	3	2	6	27	6	1	12	2	4	2	9	3	5	5	3	1	2	2	1	0	1	5	1	2	1	4	1	1	2	1	0	1	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	10516	3940	5286	1826	1281	1817	673	947	685	527	402	974	334	401	221	178	181	159	258	136	128	125	235	296	118	102	202	71	65	53	74	157	39	50	32	34	39	47	38	24	30	62	25	17	12	17	37	21	12	17	15	24	29	26	14	7	12	5	7	10	6	28	12	4	17	2	4	9	10	5	7	9	4	1	2	3	5	1	3	3	1	2	1	4	1	3	1	1	2	1	0	1	2	1	1	4	0	2	1	0	0	0	1	1	0	2	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	4	0	0	0	0	0	0	0
0.03	north5_active	80	7491	2251	4548	1039	653	1453	219	683	449	255	106	872	180	308	84	64	47	58	175	45	61	73	205	271	80	69	177	49	15	24	48	145	6	32	5	11	25	33	11	7	15	40	7	8	4	8	32	9	5	11	8	23	24	20	7	5	10	2	0	3	4	26	9	2	16	1	3	3	6	4	5	8	3	1	2	1	1	0	1	2	1	2	0	4	1	1	1	1	0	1	0	0	1	0	0	4	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0
0.03	north6_all	80	10585	3911	5273	1822	1242	1799	671	974	694	503	400	1019	321	425	204	201	189	154	256	127	121	122	245	282	110	97	218	79	73	58	69	161	39	47	34	34	45	48	36	18	32	56	18	15	13	14	30	21	21	17	14	21	30	30	18	8	17	3	13	7	7	22	17	5	12	2	4	11	8	7	5	7	2	0	2	2	2	1	0	4	1	2	2	0	0	0	2	1	1	0	0	0	1	1	1	0	0	2	2	0	0	0	0	1	1	2	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1	1	0	4	0	0	0	0	0	0	0
0.03	north6_active	80	7495	2290	4539	1050	616	1441	219	689	443	257	104	910	177	328	71	70	45	53	166	43	62	74	215	259	72	62	194	52	13	24	43	147	10	28	8	13	31	30	12	5	11	42	3	6	5	8	24	8	14	11	8	18	28	23	10	5	14	2	4	2	3	21	12	2	10	1	2	3	5	5	2	6	1	0	2	1	0	0	0	3	1	2	2	0	0	0	2	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	4	0	0	0	0	0	0	0
0.03	north7_all	80	10639	3960	5211	1812	1243	1712	691	991	677	494	394	1009	339	403	212	224	185	153	278	120	116	126	275	302	119	99	197	84	77	62	56	150	34	63	40	39	44	57	35	24	27	34	16	15	16	17	33	21	23	13	15	20	26	28	20	6	17	6	10	8	8	14	23	3	14	3	4	9	13	8	4	16	2	0	0	2	1	0	1	3	0	0	3	0	1	0	2	1	0	1	1	0	2	1	1	0	0	3	3	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	4	0	0	0	0	0	0	0
0.03	north7_active	80	7583	2321	4483	1033	593	1373	224	718	448	265	111	903	178	307	71	70	38	50	204	42	61	75	244	276	75	71	170	52	12	24	34	133	9	41	8	15	29	36	11	8	8	25	7	5	5	11	25	5	17	8	11	17	23	22	11	2	13	4	4	2	4	13	18	1	13	2	0	2	10	6	2	15	1	0	0	1	0	0	1	1	0	0	3	0	1	0	2	1	0	1	1	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	4	0	0	0	0	0	0	0
0.03	north8_all	80	10614	3992	5187	1790	1258	1711	744	978	713	492	385	1015	331	428	237	232	182	159	262	130	122	120	286	289	117	106	205	79	71	66	64	160	35	65	37	39	45	57	36	29	32	33	16	22	13	25	34	17	20	11	23	25	19	26	18	10	15	7	10	8	11	13	20	4	10	6	4	6	12	6	3	13	2	1	0	1	3	0	2	4	2	1	4	0	3	1	2	1	0	1	1	0	2	0	1	0	0	1	3	1	0	0	0	1	1	0	1	0	0	1	1	0	2	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	4	0	0	0	0	0	0	0
0.03	north8_active	80	7588	2356	4449	1046	621	1370	245	715	452	257	118	899	168	326	75	77	39	61	191	54	63	61	250	263	67	79	175	43	15	23	38	141	9	48	4	11	31	38	13	8	11	26	10	8	3	16	29	5	18	5	18	22	17	22	11	3	10	5	5	2	4	11	16	0	9	3	0	1	10	4	2	12	1	0	0	0	1	0	1	2	0	1	3	0	3	0	2	1	0	1	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	4	0	0	0	0	0	0	0
0.03	north9_all	80	10692	4075	5190	1765	1230	1712	729	990	745	477	379	1038	332	419	256	218	200	160	250	137	116	113	282	260	105	97	184	87	62	60	78	151	40	67	32	44	45	70	24	31	32	37	18	20	15	25	38	15	15	13	21	22	18	18	16	11	8	10	6	9	9	15	22	6	14	7	4	5	7	8	1	9	4	1	0	1	3	3	2	3	2	2	2	0	3	1	3	1	2	1	1	0	2	0	1	0	0	1	2	1	0	0	0	0	1	0	0	0	0	1	3	0	2	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
