label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126
0.03	north1_all	80	2612	933	606	773	320	581	378	222	461	203	101	107	113	109	265	60	144	49	52	46	43	48	20	66	37	29	31	26	40	21	27	22	17	53	18	29	13	11	10	5	4	34	9	9	9	26	9	9	1	8	1	5	6	7	4	5	1	5	2	2	3	3	5	3	1	2	0	2	0	1	0	0	0	1	6	0	2	1	0	4	1	1	0	3	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	1446	416	296	470	137	354	236	117	327	119	46	56	58	59	166	28	97	24	23	22	16	27	8	41	15	19	16	13	27	11	17	15	9	39	6	17	6	4	8	1	2	16	4	3	4	14	2	7	0	2	0	3	3	4	1	2	0	3	1	0	1	2	2	2	0	1	0	2	0	0	0	0	0	0	5	0	2	1	0	3	0	0	0	3	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	2695	932	600	741	324	544	401	250	468	179	96	102	119	112	256	67	136	55	54	46	43	50	20	72	36	27	33	33	44	21	18	23	19	47	19	13	13	9	15	7	5	23	9	5	14	31	9	12	2	6	2	6	12	3	4	4	1	8	2	3	2	2	3	4	1	2	0	0	0	1	0	0	0	0	6	0	2	1	0	2	1	1	0	2	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north2_active	80	1476	421	282	435	136	337	239	127	332	109	46	51	63	63	167	31	91	25	31	26	22	26	9	44	19	16	16	18	24	9	9	17	9	34	7	11	5	5	12	3	2	15	6	4	8	19	3	10	1	1	1	3	9	0	1	1	0	6	0	0	1	1	2	3	0	1	0	0	0	0	0	0	0	0	5	0	2	1	0	0	0	0	0	2	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_all	80	2619	907	589	733	308	491	404	249	472	185	94	93	105	115	284	66	147	48	48	48	33	56	27	67	29	23	27	33	35	20	15	22	26	51	18	10	13	12	16	6	5	28	8	5	13	25	7	9	2	3	2	6	12	1	6	2	2	8	3	3	3	1	4	2	1	2	0	6	1	0	0	0	2	0	6	0	1	0	0	2	1	0	0	2	0	3	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_active	80	1442	425	274	416	135	288	246	130	336	114	45	47	56	68	177	29	110	26	26	32	20	29	9	43	14	10	15	21	12	8	6	18	12	39	8	9	8	6	11	2	2	17	6	4	8	17	3	8	1	1	2	3	9	0	4	1	0	6	2	0	2	0	1	1	0	1	0	4	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	2	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_all	80	2648	901	571	733	296	501	409	230	440	203	99	110	108	113	302	72	141	41	50	41	33	54	27	59	26	29	28	29	46	17	13	23	25	59	13	10	14	15	16	7	6	36	8	5	18	11	5	7	4	1	2	5	13	3	5	2	3	5	4	3	5	2	4	1	0	1	2	6	1	0	1	0	3	0	2	0	1	0	1	1	0	0	0	0	0	3	0	1	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_active	80	1450	420	263	410	137	311	260	120	295	126	53	50	63	63	180	33	100	22	26	28	22	24	9	35	19	13	14	18	23	6	6	18	15	45	5	9	10	8	9	3	2	25	7	4	14	7	2	6	2	0	2	1	10	2	3	0	1	3	3	0	4	1	0	1	0	1	0	4	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_all	80	2645	907	559	733	304	515	394	222	403	219	118	110	107	121	335	70	152	47	53	44	39	55	28	59	27	30	26	33	57	16	14	18	25	55	12	15	20	13	12	8	5	39	7	9	18	13	4	4	6	3	4	4	13	2	5	4	3	5	7	0	4	1	3	2	0	0	2	8	1	1	1	0	3	0	1	0	1	0	2	2	0	0	0	0	1	3	0	1	0	0	1	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	1469	434	245	424	142	328	244	111	243	129	63	52	57	66	210	31	114	30	30	24	27	27	9	37	18	15	12	16	37	8	5	14	17	35	4	12	11	6	6	2	3	25	5	6	14	6	2	3	2	1	3	1	10	2	3	0	1	3	6	0	3	1	0	1	0	0	0	5	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
