label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141
0.03	north1_all	80	4674	1263	812	628	441	1047	401	364	195	168	172	139	132	124	297	222	116	92	144	108	45	58	48	33	122	45	27	50	27	24	22	53	51	5	12	41	43	31	7	21	7	11	12	13	15	3	8	10	14	10	2	6	5	6	3	4	5	3	2	7	5	1	3	4	0	2	1	1	0	6	1	6	0	1	2	7	5	3	1	1	1	4	1	0	3	0	0	2	0	0	0	2	1	5	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north1_active	80	2715	582	380	283	206	663	213	196	87	77	91	81	66	68	208	141	70	60	109	62	26	23	24	14	81	24	11	30	17	12	9	30	31	1	4	28	32	12	2	16	5	6	4	5	10	1	4	3	8	8	0	1	3	6	2	2	3	0	2	2	4	0	1	2	0	2	1	0	0	4	0	5	0	1	1	6	2	0	1	0	0	3	1	0	3	0	0	1	0	0	0	1	1	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north2_all	80	4636	1270	824	604	447	1005	394	379	182	178	165	147	116	132	311	234	114	88	135	122	48	57	49	40	135	38	21	55	29	28	29	61	52	9	14	37	38	37	8	18	11	17	11	16	21	6	5	9	12	13	1	7	8	7	4	3	5	2	0	6	5	4	2	4	1	2	1	1	0	5	1	4	0	1	3	4	3	3	0	4	3	4	1	0	2	0	0	3	0	0	2	2	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	2650	585	398	284	197	669	197	216	79	82	88	78	59	78	200	155	70	49	93	82	24	24	21	21	94	22	8	31	15	14	18	35	33	5	5	25	27	19	2	14	7	9	2	9	14	3	2	4	4	11	0	1	5	7	2	1	3	0	0	1	5	2	0	3	1	2	1	0	0	3	0	3	0	1	1	2	0	0	0	2	0	3	1	0	2	0	0	1	0	0	2	1	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	4634	1253	873	608	431	1036	385	359	187	178	158	140	118	132	297	225	133	89	137	117	55	51	56	46	128	29	27	55	23	24	26	57	53	11	18	46	34	33	13	13	11	15	13	16	23	6	3	9	9	14	0	7	10	3	3	3	4	0	0	5	1	4	5	6	2	3	1	2	2	2	3	3	1	1	2	5	1	2	4	4	3	4	1	0	2	1	0	4	0	0	2	4	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	2695	568	427	294	179	680	180	206	87	80	82	67	69	78	191	146	82	52	78	79	26	22	26	27	88	14	12	31	9	14	15	29	42	5	10	29	23	16	6	8	7	8	4	10	15	3	0	4	4	13	0	1	7	3	1	0	0	0	0	1	1	2	2	4	1	2	1	0	2	1	1	3	0	0	0	4	0	0	4	2	0	3	1	0	2	0	0	2	0	0	2	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	4581	1285	884	625	424	984	389	337	195	171	144	169	121	137	283	207	133	78	127	109	56	46	51	48	102	25	21	47	22	25	27	62	46	14	20	43	35	28	15	21	11	18	10	15	21	9	1	11	5	15	3	5	9	3	1	3	3	2	1	2	2	4	3	6	2	3	1	2	2	0	2	2	1	4	2	4	0	1	5	3	2	1	0	0	0	1	0	2	0	0	2	4	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	2645	568	434	326	178	670	181	189	90	81	76	75	71	86	182	134	81	44	57	73	24	24	23	30	65	12	8	26	6	11	17	37	39	6	10	27	22	16	9	11	7	10	2	11	13	5	0	6	1	13	2	1	7	3	0	0	0	1	1	0	2	2	2	3	1	2	0	0	2	0	1	2	0	2	1	2	0	0	5	2	0	1	0	0	0	0	0	1	0	0	2	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	4478	1311	886	622	408	998	372	315	204	162	153	177	113	128	327	190	130	81	142	84	60	38	48	48	93	28	22	42	16	28	32	53	45	14	17	54	33	25	20	18	8	18	9	8	15	7	2	8	2	6	3	8	9	6	1	5	3	3	1	3	2	2	3	5	1	3	1	1	2	1	2	3	1	4	4	4	5	1	5	1	2	1	0	0	0	2	1	1	4	0	2	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	2610	588	432	328	169	661	188	176	97	79	84	74	61	76	222	127	74	42	66	53	24	21	25	31	59	12	9	25	4	14	18	40	35	5	8	42	21	16	16	8	5	10	3	5	8	4	2	5	1	5	2	3	7	6	0	1	1	1	1	1	2	1	2	2	0	2	0	0	2	1	1	2	0	2	1	2	4	1	5	1	0	1	0	0	0	0	0	1	4	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
