label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156
0.03	north1_all	80	7683	4742	4111	3359	1207	2208	839	960	544	1087	398	460	569	500	403	314	203	288	190	136	335	126	113	107	100	136	222	67	69	71	60	45	58	50	37	38	61	29	60	25	24	77	30	21	18	23	14	21	22	11	21	17	17	16	13	11	11	10	11	6	7	20	10	5	4	10	5	6	3	0	10	2	5	5	3	2	1	4	2	5	5	2	2	5	2	4	3	2	2	3	1	0	1	5	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north1_active	80	2999	3005	3233	2716	359	1868	342	614	117	914	125	310	416	372	298	217	63	218	101	52	291	29	66	55	51	84	202	17	27	30	12	11	24	19	18	9	44	11	50	5	1	70	8	7	7	3	2	2	8	0	12	6	14	12	5	5	11	7	9	4	2	18	8	4	2	10	0	4	2	0	5	0	0	4	1	2	0	4	0	3	2	1	2	4	2	3	3	2	2	3	0	0	1	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	7732	4796	4068	3260	1187	2176	874	972	548	1094	417	470	539	497	415	287	222	267	182	138	363	135	104	114	90	137	213	57	65	65	52	46	58	56	37	32	58	34	65	23	22	66	25	16	19	24	11	15	19	9	26	11	21	14	15	11	14	6	10	8	8	23	7	5	5	11	5	5	3	2	6	1	1	11	4	1	1	2	3	6	2	0	1	8	2	3	4	2	3	0	2	0	1	5	1	1	0	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north2_active	80	3053	3130	3212	2617	348	1837	343	646	124	917	141	298	397	375	302	192	72	185	90	54	319	35	55	53	43	89	193	13	26	25	6	10	31	22	20	10	44	14	56	7	4	61	6	6	7	5	1	1	8	0	18	7	17	8	6	5	13	4	8	6	0	21	4	3	1	11	0	4	2	1	4	0	0	10	2	1	0	2	1	3	0	0	1	7	2	2	4	2	3	0	1	0	1	5	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	7681	4723	4001	3227	1207	2171	868	902	602	1131	444	503	535	478	391	286	232	277	175	142	358	137	122	117	109	136	247	55	71	61	52	41	63	63	39	31	70	34	69	22	19	75	27	16	29	21	17	12	16	11	27	12	24	18	16	10	19	9	9	8	5	33	9	7	6	11	6	5	1	4	6	1	0	11	8	1	1	2	3	4	2	1	2	8	1	3	4	5	3	1	3	0	0	2	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	2	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north3_active	80	3024	3044	3139	2604	361	1831	333	613	156	965	146	333	405	372	297	194	81	195	85	51	313	34	70	50	50	91	220	12	29	24	9	9	39	24	23	11	55	15	55	6	6	71	3	7	10	7	4	3	5	1	18	8	19	12	5	7	17	4	6	6	0	31	5	4	0	9	1	3	0	2	4	0	0	10	5	0	0	2	1	2	0	0	2	7	1	2	4	5	3	1	1	0	0	2	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	7629	4680	3986	3134	1195	2162	868	895	587	1239	435	495	560	522	366	317	237	237	177	150	358	127	128	126	102	118	251	60	89	60	49	44	68	55	43	34	62	37	63	27	20	79	24	18	29	15	18	13	15	9	25	16	26	17	21	11	22	11	10	12	4	28	9	5	6	6	5	5	2	6	9	3	1	11	8	4	1	6	3	3	0	2	2	4	2	3	2	3	3	1	3	0	5	2	1	0	0	0	4	1	0	0	2	1	0	0	1	3	0	2	0	0	0	0	1	0	0	1	1	0	0	0	0	0	2	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	3017	2986	3123	2538	339	1822	334	628	153	1054	150	302	426	425	276	217	87	160	87	62	301	33	69	49	41	81	219	12	41	28	10	10	43	23	23	12	48	18	50	9	8	74	3	7	11	6	4	5	5	1	20	11	23	12	8	7	18	4	7	9	1	26	5	2	1	4	2	3	1	4	6	0	0	11	5	2	0	6	2	1	0	1	2	3	1	2	2	3	3	1	1	0	2	2	0	0	0	0	4	0	0	0	1	1	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	7772	4615	4101	3168	1240	2142	864	889	609	1232	439	501	571	500	362	320	220	223	190	157	329	124	133	121	103	151	260	64	99	59	41	47	59	54	49	37	71	41	56	24	23	54	26	19	28	13	21	16	15	15	14	13	43	23	15	18	29	16	11	13	3	27	20	6	7	5	6	3	1	6	10	2	1	10	8	5	1	5	2	4	1	2	2	2	1	2	2	12	2	1	2	0	7	2	2	1	0	0	4	0	0	0	1	1	0	0	1	4	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	2	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	3139	2958	3218	2563	357	1807	350	607	173	1064	152	304	432	413	280	215	75	149	91	64	276	31	73	53	41	100	223	15	50	28	8	12	37	28	23	13	52	18	39	11	6	49	4	10	12	5	4	5	5	3	9	8	40	16	5	11	23	10	9	9	1	26	17	3	1	3	2	2	1	5	7	0	0	10	6	2	0	5	1	1	1	1	2	2	0	1	2	12	2	1	1	0	4	2	1	1	0	0	4	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	7739	4756	4107	3225	1230	2091	862	878	589	1223	423	474	596	502	383	364	203	220	180	167	299	126	132	114	107	155	240	65	97	54	59	48	52	43	50	38	60	38	55	26	29	56	24	20	26	18	17	14	14	17	14	15	36	17	16	20	22	17	14	11	3	17	15	6	4	3	6	2	3	10	10	3	2	1	2	5	1	5	3	3	3	2	0	0	1	2	0	14	2	2	1	0	9	1	2	1	0	1	4	0	0	0	2	0	0	1	1	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	3133	3036	3199	2600	353	1752	351	583	155	1062	148	293	442	420	277	251	62	157	85	68	241	33	71	51	43	105	206	22	52	26	15	12	25	21	23	12	47	14	42	13	7	45	4	11	9	6	4	4	2	2	10	12	34	14	8	13	16	12	12	8	1	15	14	2	1	2	3	1	2	6	7	0	0	1	2	3	0	5	1	1	1	1	0	0	0	1	0	14	2	2	1	0	6	1	1	1	0	0	4	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	7769	4689	4224	3199	1251	1999	837	880	596	1180	436	500	588	498	411	379	205	241	175	156	310	118	136	106	111	162	213	71	81	49	64	58	48	46	52	29	61	35	55	24	33	62	23	26	19	18	15	15	11	15	12	11	36	11	14	19	21	18	13	13	3	17	16	7	2	3	6	1	2	8	8	5	3	8	2	4	0	7	3	4	3	2	1	0	3	2	0	14	3	1	1	1	9	0	1	1	0	2	3	1	0	0	2	0	0	1	0	2	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
