label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117
0.03	north1_all	80	3598	1729	1214	1516	905	485	402	769	624	242	423	842	352	119	118	107	81	158	597	69	55	193	76	242	54	36	28	48	63	28	67	14	16	20	11	26	11	19	12	22	43	15	14	12	14	4	5	5	3	6	23	4	8	5	3	3	4	3	5	1	1	3	0	4	1	2	0	0	0	2	1	6	4	6	1	1	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	898	545	571	1196	629	136	145	665	513	118	355	802	303	50	52	46	36	122	577	39	24	166	54	235	30	6	12	40	52	20	63	2	5	8	8	18	5	16	8	19	40	12	4	10	14	0	4	3	2	3	23	0	5	2	3	0	1	0	4	0	1	0	0	1	0	2	0	0	0	0	1	6	4	6	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	3623	1757	1224	1534	902	460	383	837	621	229	425	837	339	120	116	97	88	162	557	58	53	197	75	232	42	30	26	58	70	35	64	16	17	21	12	28	11	15	13	27	57	20	14	23	9	5	5	8	3	7	9	7	11	6	3	2	3	2	5	1	0	3	1	5	0	2	0	0	3	2	1	2	0	5	2	0	0	0	0	2	6	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	900	564	571	1225	633	118	145	722	517	104	356	789	295	47	48	46	41	123	543	28	27	169	55	223	23	6	8	49	59	28	58	1	3	9	8	19	6	14	7	21	53	16	3	21	9	1	3	6	2	2	9	0	9	4	3	0	1	0	3	0	0	0	1	2	0	2	0	0	1	0	1	2	0	5	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	3641	1764	1245	1576	893	442	389	815	577	256	434	931	356	119	101	95	96	150	551	56	69	183	81	222	39	34	30	65	61	42	56	22	18	16	20	26	13	19	10	19	64	24	13	23	9	7	3	5	3	7	9	9	6	6	4	3	2	1	5	3	0	3	1	3	0	2	0	0	4	2	1	3	0	5	2	0	0	0	0	3	6	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	868	574	574	1259	621	112	152	696	474	105	365	878	309	47	42	37	40	121	538	27	30	156	60	211	23	7	7	52	50	28	50	2	2	8	12	15	8	18	5	13	59	21	4	20	8	1	1	4	2	2	9	0	4	4	4	1	1	0	3	2	0	0	1	1	0	2	0	0	1	0	1	3	0	5	2	0	0	0	0	0	6	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	3690	1740	1276	1541	875	418	407	802	586	255	470	881	388	138	108	88	92	137	468	49	72	177	86	208	42	40	34	68	52	43	37	26	15	16	19	17	14	19	13	28	66	16	9	18	15	5	4	13	1	7	7	8	5	10	1	5	2	1	3	3	2	1	3	1	0	3	0	1	5	1	0	2	0	2	2	0	0	0	0	1	6	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	884	555	563	1210	608	111	145	681	487	111	399	834	339	52	45	26	37	117	453	19	29	151	63	194	24	8	6	52	45	30	30	4	3	7	10	8	9	14	5	22	59	12	3	17	14	1	1	13	0	1	7	1	4	7	1	2	2	0	0	2	2	0	1	1	0	3	0	0	2	0	0	2	0	2	2	0	0	0	0	0	6	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	3740	1756	1242	1450	905	434	392	799	605	245	457	795	401	130	105	85	87	127	374	59	73	196	82	165	44	41	35	60	61	30	36	20	18	13	24	11	14	23	18	18	68	13	13	12	15	5	3	17	2	5	7	8	5	12	3	5	2	1	3	3	2	4	2	1	0	2	2	1	4	2	0	3	0	0	1	3	0	0	0	2	6	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north5_active	80	867	537	531	1109	609	117	129	677	490	107	375	744	340	45	41	22	39	99	359	25	25	174	67	146	25	10	8	45	51	16	27	4	4	6	11	6	8	18	9	15	64	9	6	11	13	0	0	15	1	1	7	2	5	9	3	3	1	0	1	2	2	0	0	1	0	2	1	0	1	0	0	2	0	0	1	1	0	0	0	0	6	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
