label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125
0.03	north11_active	80	1291	741	3387	3268	999	573	298	145	955	143	278	363	121	100	284	491	531	252	140	45	83	19	16	62	43	10	24	12	93	31	60	21	16	15	13	128	6	34	5	3	7	7	25	12	4	8	4	2	3	9	9	4	12	2	4	9	4	5	2	1	1	0	0	1	0	3	0	0	3	1	0	0	1	1	5	3	0	0	0	0	0	1	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	5250	2399	3931	3692	1383	896	591	454	1151	323	395	499	238	213	331	610	494	264	180	119	123	77	49	93	77	52	49	42	118	57	62	41	36	23	22	123	22	39	7	14	12	15	22	23	12	18	12	9	8	19	15	10	27	7	3	18	5	5	8	1	5	1	1	3	0	2	0	1	4	0	2	0	0	2	3	6	0	0	0	0	0	4	2	1	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north12_active	80	1300	702	3412	3357	1018	566	302	129	1012	117	276	411	112	111	271	566	455	233	151	45	89	21	18	68	44	9	26	10	102	26	52	25	19	13	8	121	7	27	3	3	4	6	19	15	4	14	7	2	1	14	13	4	25	4	1	16	4	4	4	1	0	0	0	0	0	1	0	0	3	0	0	0	0	2	3	6	0	0	0	0	0	4	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north13_all	80	5254	2394	3881	3680	1333	908	617	458	1067	295	417	436	239	202	356	672	490	256	208	122	122	75	53	92	83	61	57	44	138	56	55	40	36	24	16	111	19	35	7	18	9	13	14	23	13	18	13	9	6	20	12	7	29	6	4	17	5	10	7	1	7	1	5	2	1	2	1	1	3	0	2	1	2	1	1	10	0	0	0	0	0	4	2	0	0	1	0	0	0	0	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north13_active	80	1275	705	3347	3330	974	564	314	135	943	113	303	351	113	118	296	623	456	224	166	46	84	20	19	67	50	13	27	12	126	28	46	23	20	12	3	107	6	21	3	2	4	3	10	11	2	13	7	3	3	16	11	3	28	3	0	16	5	10	4	1	1	0	2	0	0	1	0	0	3	0	0	1	0	1	1	10	0	0	0	0	0	4	1	0	0	1	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north14_all	80	5244	2384	3954	3748	1369	919	625	440	1111	289	403	449	244	194	307	664	543	301	207	105	109	76	53	95	74	60	58	42	133	46	69	42	40	23	26	87	17	31	6	20	9	14	9	24	13	18	15	10	6	19	13	11	28	5	7	15	4	10	4	2	6	4	4	2	1	7	1	0	2	0	1	2	2	3	1	10	1	0	0	0	0	3	2	0	0	1	0	0	0	0	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
0.03	north14_active	80	1243	694	3406	3403	1021	572	333	135	986	121	293	367	110	112	250	617	506	264	164	38	75	19	18	65	48	13	23	11	122	20	61	27	24	11	14	82	9	17	1	5	4	3	6	13	3	11	7	3	2	17	9	5	27	2	3	15	4	9	2	1	1	4	2	0	0	6	0	0	2	0	0	1	0	2	1	10	0	0	0	0	0	3	1	0	0	1	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north15_all	80	5247	2434	3882	3764	1464	919	663	461	1207	315	400	466	229	202	320	679	561	332	205	97	102	70	56	91	73	57	56	39	104	32	67	36	27	27	28	81	14	25	8	13	13	11	8	19	13	15	15	11	6	18	10	11	16	3	6	10	3	8	7	1	5	4	5	1	1	7	1	1	0	0	0	2	2	2	1	9	1	2	0	0	0	2	2	0	3	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0
0.03	north15_active	80	1212	713	3307	3414	1120	594	363	139	1071	136	286	379	100	112	269	635	526	290	162	43	68	19	17	65	49	14	20	12	91	18	57	26	16	14	17	72	8	16	1	3	6	1	6	12	2	3	5	4	2	16	6	5	15	1	3	10	3	7	3	0	1	4	3	0	0	7	0	0	0	0	0	1	0	1	1	9	0	0	0	0	0	2	1	0	3	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north16_all	80	5283	2474	3927	3973	1500	924	644	466	1223	334	415	459	228	203	320	617	588	347	181	96	92	68	67	80	76	45	51	37	90	40	62	31	24	21	35	59	17	28	12	17	12	12	11	16	12	18	17	10	2	23	7	7	20	3	4	11	3	7	7	1	4	7	3	1	2	7	1	1	0	0	1	3	2	2	1	2	1	3	0	0	0	3	1	0	5	0	0	0	2	0	1	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	1203	714	3362	3621	1142	613	341	142	1077	150	294	367	105	101	269	567	546	302	143	42	56	19	16	57	48	13	14	13	77	21	48	22	12	12	21	50	12	21	4	5	3	5	8	12	2	7	5	4	0	22	3	3	18	1	3	11	3	6	3	0	1	6	3	1	2	7	1	0	0	0	1	2	0	1	1	2	0	1	0	0	0	3	0	0	4	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
