label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115
0.03	north7_active	80	4910	1228	937	1371	265	234	209	180	127	191	176	276	145	90	176	60	40	122	54	30	37	84	20	18	25	16	15	22	10	50	24	18	11	8	9	38	19	6	9	4	6	8	5	16	9	4	4	7	2	1	2	3	5	1	5	1	5	0	0	1	3	1	0	0	1	0	0	0	1	1	0	1	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	7867	2280	1606	2045	613	492	431	354	253	326	307	424	219	161	242	102	67	222	83	55	80	158	42	36	43	26	30	34	19	92	41	33	18	21	14	53	35	15	13	18	9	8	18	10	14	7	5	8	3	6	5	3	16	6	8	4	7	1	1	3	6	8	1	0	1	1	0	2	3	2	1	1	1	2	7	1	1	1	1	0	1	0	2	4	0	0	1	0	0	0	2	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	4955	1221	947	1332	262	233	221	189	119	182	191	309	141	80	171	52	33	125	46	28	42	86	21	15	24	13	14	28	11	55	19	20	10	10	9	38	22	5	8	7	4	3	6	7	8	4	3	5	2	0	1	1	13	2	6	1	5	1	0	1	6	2	0	0	0	0	0	0	3	1	0	1	0	0	6	0	0	0	1	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	7822	2245	1657	2044	611	480	462	361	263	343	321	422	221	170	230	107	70	236	85	70	78	145	42	36	38	24	28	34	24	80	40	33	23	22	15	44	30	8	12	13	7	13	18	8	17	8	9	8	6	3	4	3	15	4	8	2	9	1	1	2	5	9	1	2	1	1	1	1	3	2	3	0	1	1	7	1	0	1	2	1	1	0	2	4	0	1	1	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	4906	1246	962	1290	268	224	251	184	123	182	189	304	125	85	147	48	31	141	52	35	41	82	20	16	20	12	13	26	14	49	24	20	14	8	10	36	17	3	4	6	3	7	6	3	9	5	7	3	5	0	2	2	10	1	7	1	7	1	0	1	5	2	0	1	0	0	0	0	3	1	1	0	0	0	6	0	0	0	2	0	0	0	0	4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	7811	2312	1655	2030	630	489	446	381	268	333	338	507	245	171	237	100	71	230	91	62	67	174	43	43	35	26	27	30	27	67	34	24	20	23	17	60	28	6	14	13	10	14	12	10	21	12	13	9	6	2	5	2	18	5	5	1	10	4	3	3	3	6	0	4	0	2	3	1	2	3	2	1	1	1	9	1	0	1	1	2	1	0	3	4	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	4866	1293	990	1308	289	231	238	188	123	180	209	365	137	86	145	48	36	143	54	28	32	103	21	21	18	13	11	20	16	43	24	16	11	8	8	55	17	2	4	5	4	8	6	6	15	9	9	2	3	0	3	2	12	2	4	0	8	3	1	2	3	1	0	2	0	1	1	0	2	1	1	0	0	0	6	0	0	0	1	0	1	0	1	4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	7803	2291	1562	2085	634	453	403	331	255	354	276	367	228	163	251	140	92	170	87	68	93	145	54	41	42	39	30	48	15	50	57	43	12	21	16	49	20	11	8	12	12	14	20	15	28	5	12	9	5	3	11	3	14	7	3	1	3	3	2	2	3	3	1	2	2	3	0	6	1	0	2	1	0	0	3	0	1	0	1	1	0	0	0	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0
0.03	north11_active	80	4988	1252	840	1341	300	215	199	151	135	206	172	234	141	86	160	66	44	117	51	27	47	97	29	23	20	19	17	24	4	35	34	24	4	11	8	36	11	3	1	6	8	11	13	9	19	4	6	6	2	1	4	1	7	3	1	0	3	3	1	0	1	2	1	1	2	1	0	4	1	0	2	0	0	0	2	0	1	0	1	1	0	0	0	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0
0.03	north12_all	80	7834	2348	1569	2125	638	454	426	326	247	349	286	361	235	156	241	130	101	184	76	69	69	156	50	44	42	41	27	41	17	58	60	47	17	18	17	46	30	14	10	10	10	14	20	13	28	6	13	5	6	3	10	0	13	6	6	0	5	2	3	1	1	2	1	0	3	2	0	4	2	1	0	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0
0.03	north12_active	80	4960	1280	856	1357	300	210	211	153	114	205	183	220	148	84	144	64	53	119	41	28	38	105	28	24	21	15	14	19	8	35	38	30	4	8	10	30	18	5	2	4	6	10	12	8	25	4	7	4	2	0	5	0	6	3	6	0	4	2	1	1	0	0	1	0	3	0	0	2	1	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0
0.03	north13_all	80	7881	2298	1610	2172	635	470	460	314	254	332	290	370	254	156	201	135	110	188	62	65	62	184	44	40	49	43	31	38	26	72	54	43	17	13	17	31	25	11	11	11	9	12	10	6	23	8	21	9	4	4	6	0	11	4	10	2	5	4	3	1	3	3	2	1	3	1	0	1	1	2	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0
0.03	north13_active	80	4997	1252	897	1382	285	219	231	150	106	202	167	222	155	80	121	62	61	116	37	28	34	129	30	21	25	16	18	13	14	39	34	29	6	6	10	17	16	4	3	4	4	9	6	4	21	4	15	9	0	0	2	0	4	2	6	2	4	2	1	1	0	1	1	0	3	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
0.03	north14_all	80	7899	2321	1617	2141	622	464	415	308	261	335	298	365	258	176	232	122	99	202	62	69	59	154	46	38	47	40	25	35	35	69	73	45	21	13	16	31	30	10	10	13	9	9	10	15	21	7	13	11	5	4	6	1	15	3	14	3	5	4	2	1	2	3	1	1	1	2	2	0	2	2	3	0	2	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0
0.03	north14_active	80	4981	1257	908	1356	279	210	220	162	106	200	164	216	153	88	132	60	60	123	29	30	31	106	26	16	21	13	14	11	20	35	51	35	7	6	8	22	20	3	3	5	4	5	5	10	18	3	12	9	1	0	3	0	8	2	8	3	3	2	1	1	0	1	0	0	1	0	0	0	0	2	3	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	7787	2294	1622	2095	623	482	410	329	277	336	304	387	245	170	254	120	89	196	77	62	64	134	45	37	51	40	26	42	29	64	67	35	17	15	15	26	23	8	5	15	11	10	15	15	21	5	11	13	7	2	5	2	11	0	13	4	4	3	2	0	2	4	1	2	0	3	2	0	5	3	4	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	2	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	4845	1252	943	1330	286	226	213	173	130	205	156	229	145	87	147	57	46	121	38	29	30	92	22	13	24	19	15	16	15	37	47	25	7	10	8	17	16	6	2	7	6	5	7	10	16	2	11	10	3	0	3	1	8	0	7	3	2	1	1	0	0	1	0	1	0	1	0	0	2	3	3	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	7790	2249	1650	2074	617	508	408	345	292	336	309	420	205	174	247	104	72	194	75	68	75	137	43	43	49	34	27	43	23	60	54	34	14	15	17	29	19	10	7	13	10	11	16	15	13	1	11	10	6	2	6	2	14	2	13	4	8	3	2	0	4	3	1	1	1	2	4	0	5	2	4	1	1	1	4	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	0	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north16_active	80	4846	1225	946	1318	291	240	225	182	139	195	161	280	118	96	143	61	34	115	40	28	30	96	19	14	19	17	13	19	11	33	37	26	8	9	7	19	13	7	3	8	8	6	6	9	7	0	9	6	4	0	4	1	8	1	6	3	4	2	1	0	2	1	0	1	0	1	1	0	2	2	3	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
