label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59
0.03	north1_all	80	33437	27685	12393	9390	3460	2595	1808	1393	1362	1771	572	563	643	554	229	182	142	267	127	71	85	53	32	24	61	37	32	18	15	7	14	13	2	11	5	12	4	5	4	2	2	2	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	17656	17509	7597	5789	1785	1398	924	754	846	1182	300	313	387	346	116	91	74	183	68	40	48	23	18	11	38	22	19	6	8	4	3	12	1	8	3	9	2	4	2	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	33485	27856	12679	9739	3507	2555	1773	1429	1346	1751	570	521	687	534	208	170	130	262	127	71	92	50	38	20	57	34	26	9	15	10	13	27	4	9	6	9	5	3	5	2	1	2	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	17723	17530	7713	6010	1786	1384	910	778	835	1156	301	302	403	335	101	82	70	169	68	35	56	19	25	8	25	20	15	5	8	5	2	15	1	7	3	9	2	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	33469	28033	12643	9630	3571	2514	1802	1434	1366	1671	581	530	705	559	211	173	143	266	125	70	92	36	31	21	53	28	16	12	14	10	8	26	3	4	5	2	6	2	4	3	2	2	0	2	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	17845	17750	7611	5897	1820	1354	944	747	795	1029	309	313	417	369	101	71	70	171	73	33	55	16	19	7	29	23	9	6	8	3	3	15	1	4	2	2	2	0	1	3	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	33728	28356	12793	9600	3555	2526	1828	1404	1335	1610	593	495	767	566	221	168	163	307	127	74	85	34	32	21	52	30	19	14	15	10	6	20	2	4	2	0	4	3	3	4	2	1	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	17930	17950	7752	5918	1828	1364	979	727	758	988	318	271	443	368	104	68	82	207	76	37	47	14	18	7	26	24	7	6	7	3	2	8	0	3	0	0	0	1	0	3	2	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	33625	28026	12644	9729	3578	2552	1806	1362	1290	1445	571	528	752	546	232	180	172	328	128	81	77	30	29	31	46	29	22	22	17	13	5	21	5	1	2	0	2	5	2	3	2	0	0	2	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	17800	17824	7694	6087	1845	1371	944	699	719	881	284	297	478	353	117	82	92	227	81	43	41	11	14	14	23	19	9	13	8	5	2	8	1	0	0	0	0	4	0	2	1	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	33448	27863	12688	9698	3462	2554	1827	1340	1269	1375	562	520	739	560	214	198	165	295	121	90	79	35	33	30	34	37	24	25	16	13	4	24	6	1	6	1	2	4	5	3	1	0	2	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	17652	17670	7742	6150	1785	1358	965	704	728	861	276	292	469	341	111	105	91	195	73	49	44	8	18	18	16	19	11	14	8	6	2	18	3	0	1	1	0	4	1	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	33375	27597	12394	9445	3448	2551	1831	1378	1328	1460	530	531	728	553	206	186	164	253	124	91	89	41	33	35	32	39	27	32	17	15	8	23	7	1	6	1	1	3	3	1	1	0	2	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	17566	17562	7401	5938	1762	1363	941	734	747	896	264	307	444	365	108	102	92	154	74	49	48	7	14	21	15	13	12	22	8	9	3	16	4	0	1	1	0	3	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	33426	28104	12601	9335	3412	2539	1881	1420	1361	1467	536	531	762	620	217	181	157	227	125	80	99	38	42	25	28	37	21	30	18	14	8	17	11	1	8	2	1	0	3	1	1	0	2	1	3	0	3	0	1	0	0	0	0	1	0	0	0	0	0	1
0.03	north8_active	80	17551	17807	7618	5828	1761	1393	979	786	783	906	256	309	473	422	106	103	83	138	77	43	52	11	20	12	12	13	11	20	9	8	3	12	8	0	1	1	0	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north9_all	80	33501	27753	12646	9311	3346	2592	1899	1462	1422	1559	537	536	816	638	215	163	146	263	127	75	97	45	42	24	30	28	22	30	19	13	10	13	9	2	4	2	0	1	3	0	1	0	0	1	2	0	3	0	1	0	0	0	0	1	0	0	0	0	0	1
0.03	north9_active	80	17508	17585	7601	5824	1732	1401	988	785	841	972	253	296	509	437	102	84	72	196	77	41	50	19	17	11	16	10	10	22	7	7	3	9	6	0	1	0	0	1	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north10_all	80	33715	28186	12540	9447	3286	2620	1839	1485	1392	1695	535	529	769	636	227	162	151	268	125	70	88	45	44	22	30	21	23	31	23	11	8	9	15	4	2	4	1	1	3	0	1	0	0	1	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
0.03	north10_active	80	17613	17811	7607	5836	1674	1400	948	773	818	1058	244	272	472	432	116	80	76	202	73	40	46	21	19	9	19	12	12	22	9	5	4	5	9	2	0	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north11_all	80	31619	24798	11704	8389	3181	2530	1733	1330	1240	1636	542	517	701	530	239	146	158	233	120	75	72	52	47	29	33	33	26	22	9	14	3	10	6	16	4	4	6	5	2	2	1	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	16026	15493	7026	5123	1535	1322	907	696	679	1064	272	293	452	321	108	65	77	135	68	37	46	22	25	15	15	20	13	12	6	2	3	5	3	14	0	2	5	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	32416	26411	12128	8922	3244	2541	1802	1376	1290	1706	570	543	708	544	236	159	142	224	134	85	68	50	42	33	45	32	24	25	13	16	4	2	11	10	4	15	4	11	2	2	0	0	1	2	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0
0.03	north12_active	80	16704	16686	7335	5526	1623	1346	974	741	729	1124	301	304	454	345	108	71	74	131	78	40	43	18	22	16	23	21	11	12	6	5	3	0	5	10	0	3	2	9	1	1	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
0.03	north13_all	80	33336	27373	12419	9266	3295	2572	1804	1459	1305	1701	555	529	749	550	251	162	144	229	124	90	72	41	32	33	54	24	23	26	11	18	3	2	8	12	1	14	4	9	2	2	0	0	1	8	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
0.03	north13_active	80	17527	17373	7537	5781	1701	1370	966	760	745	1104	312	289	451	352	128	79	74	139	74	37	43	16	18	12	30	13	6	13	3	4	1	1	4	10	0	3	1	9	1	1	0	0	0	7	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
0.03	north14_all	80	33500	27608	12526	9254	3354	2570	1834	1390	1346	1635	573	539	787	573	261	166	144	262	138	74	78	44	23	33	55	24	26	20	14	14	4	3	9	6	1	14	3	9	2	2	0	0	1	7	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
0.03	north14_active	80	17725	17442	7707	5774	1738	1399	973	706	783	1046	320	285	456	384	129	88	77	169	77	34	43	25	12	14	37	13	8	11	4	4	1	1	4	4	0	3	1	9	1	0	0	0	0	6	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
0.03	north15_all	80	33403	28018	12522	9216	3371	2605	1878	1390	1350	1612	566	526	739	579	256	167	148	288	121	70	90	36	19	30	53	27	24	21	13	11	6	3	5	6	3	3	3	6	3	3	2	1	1	6	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north15_active	80	17677	17723	7708	5817	1766	1405	995	704	778	1032	309	276	412	369	139	88	79	198	67	34	43	23	11	12	39	15	9	13	4	2	3	1	3	4	0	1	1	6	1	1	0	0	0	6	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north16_all	80	33619	28098	12579	9408	3396	2680	1870	1356	1358	1589	564	562	767	570	253	174	148	279	119	69	84	43	22	26	66	32	21	24	17	10	6	6	9	7	3	3	1	1	3	2	2	2	1	5	0	2	0	0	0	0	0	1	1	1	0	0	0	0	0	0
0.03	north16_active	80	17659	17774	7715	5945	1809	1448	1006	684	779	984	294	304	431	359	133	92	72	181	65	32	43	24	12	9	49	19	14	16	10	0	2	0	6	3	0	1	1	1	0	1	0	0	1	4	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north17_all	80	33644	27939	12375	9522	3442	2629	1829	1313	1310	1607	541	546	731	598	262	171	152	274	105	71	81	42	33	36	66	38	36	21	13	8	8	7	10	7	3	5	2	1	3	2	2	3	1	1	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0
0.03	north17_active	80	17596	17575	7555	5944	1818	1453	942	654	748	1016	286	289	412	380	137	92	72	176	54	32	41	21	15	16	42	29	18	13	9	1	3	1	4	2	0	2	1	1	0	2	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	33868	27642	12282	9462	3461	2639	1827	1354	1297	1527	561	517	767	544	246	185	151	227	95	69	79	47	38	33	63	37	41	15	16	8	10	16	8	8	3	4	4	2	2	1	1	2	1	1	0	3	1	0	0	0	0	1	0	1	0	0	0	0	0	0
0.03	north18_active	80	17769	17438	7450	5911	1861	1416	910	694	751	944	299	271	474	337	128	91	68	138	50	25	46	19	18	10	43	27	21	8	13	3	1	10	3	3	2	1	3	2	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	33864	27663	12505	9374	3471	2582	1828	1404	1239	1554	576	507	743	575	235	187	136	242	116	70	75	44	40	35	64	29	43	17	13	10	11	16	8	7	5	4	6	1	1	1	0	4	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north19_active	80	17792	17479	7574	5804	1821	1408	928	740	736	992	296	272	436	368	116	81	66	171	64	25	48	23	19	12	40	18	22	10	10	5	3	12	3	3	3	1	5	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	33605	27901	12667	9340	3445	2641	1876	1417	1298	1649	586	519	726	537	236	178	146	224	108	73	71	46	34	31	62	33	35	18	9	11	10	15	8	5	7	7	8	1	0	3	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	17512	17760	7629	5786	1784	1406	958	775	759	1029	303	275	429	337	125	77	76	156	61	35	49	24	18	14	42	19	24	9	8	4	3	13	3	3	5	1	5	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	42616	15130	8972	10406	3092	2124	3345	1382	1761	1126	702	520	342	328	209	294	145	155	71	101	87	63	58	36	23	16	43	26	18	14	11	8	14	9	4	2	3	2	4	0	0	0	0	1	3	2	0	0	1	0	0	0	0	1	0	1	0	0	0	0
0.03	south21_active	80	24394	8167	4999	6768	1525	957	2075	711	1044	683	374	264	173	163	114	192	75	82	34	62	45	29	33	16	10	8	27	13	12	7	7	4	10	7	2	0	0	1	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
0.03	south22_all	80	42605	15155	8965	10496	3105	2127	3437	1357	1722	1101	707	539	368	332	201	302	152	137	76	106	74	55	54	33	29	15	36	18	24	14	12	11	9	10	2	2	3	2	2	5	0	0	0	1	3	2	0	0	2	0	0	0	0	1	0	1	0	0	0	0
0.03	south22_active	80	24563	8141	4957	6760	1492	978	2155	683	1081	687	404	277	184	170	107	189	78	77	44	63	37	22	30	14	14	7	22	7	15	8	5	5	6	7	0	1	0	1	1	3	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0
0.03	south23_all	80	42607	15214	8888	10670	3048	2176	3389	1310	1662	1112	720	544	368	340	195	278	153	138	78	108	84	50	53	31	39	12	30	22	20	10	8	9	9	4	3	4	12	3	2	5	0	2	0	1	3	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0
0.03	south23_active	80	24592	8136	4920	6856	1463	1042	2101	656	1026	686	408	288	180	175	90	169	80	84	49	66	41	18	31	13	24	5	19	11	6	5	2	6	8	2	1	3	8	1	1	3	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0
0.03	south24_all	80	42155	15082	8848	10993	2995	2256	3415	1288	1721	1123	658	549	388	343	188	299	132	136	94	128	85	36	59	34	54	21	20	22	57	8	9	11	11	3	4	3	12	4	1	5	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0
0.03	south24_active	80	24126	7999	4887	7005	1416	1104	2117	642	1072	700	365	285	189	185	84	177	64	79	56	77	51	12	34	16	36	12	13	11	44	2	3	5	7	2	2	3	9	3	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0
