label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62
0.03	north1_all	80	30693	30898	7874	7927	8441	4233	4496	1647	981	737	559	491	330	314	572	227	201	113	90	101	59	37	47	37	31	32	27	21	30	13	11	13	3	7	3	0	7	2	4	1	1	0	2	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	6797	26454	3051	6017	7472	3370	3983	1003	279	225	186	162	63	162	489	94	132	40	31	40	19	10	36	12	9	26	14	6	25	6	4	11	1	2	0	0	7	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	30760	30908	7870	7870	8401	4252	4419	1691	1017	761	553	489	356	332	542	206	196	113	83	108	57	45	57	40	30	38	27	20	33	14	7	11	4	6	2	2	7	1	4	1	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	6816	26505	3025	5924	7406	3394	3895	1047	298	227	186	155	79	171	464	92	137	35	28	50	18	9	44	12	4	32	15	5	27	6	1	9	1	2	0	1	7	0	3	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	30796	30987	7884	8065	8285	4304	4351	1612	988	755	614	490	345	358	575	212	191	105	77	109	49	46	79	32	27	42	26	22	35	11	12	18	3	4	3	4	0	3	4	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_active	80	6812	26577	2985	6065	7300	3422	3833	1005	283	233	220	158	71	189	499	97	134	28	21	54	10	7	63	9	4	36	12	6	29	3	7	16	1	1	0	2	0	1	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_all	80	30679	30928	7825	8120	8249	4309	4413	1630	952	785	612	504	328	371	526	222	200	111	77	87	47	49	78	29	25	30	20	17	31	11	12	14	5	4	3	5	0	4	2	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_active	80	6724	26618	2967	6080	7284	3426	3910	1014	271	254	212	169	75	197	455	112	141	32	18	43	13	6	63	9	4	24	9	6	25	4	7	12	2	1	1	2	0	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_all	80	30596	30554	7795	8069	8259	4297	4820	1625	965	757	638	465	320	370	552	213	213	114	76	69	50	47	68	37	20	26	19	20	27	11	14	13	4	3	3	5	0	3	1	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_active	80	6652	26193	2940	6000	7328	3380	4294	992	280	252	226	159	67	203	484	106	148	37	16	32	10	8	53	17	3	19	4	6	21	4	9	10	2	0	1	1	0	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north6_all	80	30595	30387	7863	7987	8581	4282	4844	1653	957	793	623	468	341	330	564	190	212	124	91	67	66	54	56	44	25	24	15	18	23	9	8	9	7	4	4	2	2	1	2	2	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north6_active	80	6618	26037	3026	5965	7633	3381	4298	1005	279	243	236	165	70	168	480	93	138	38	22	31	13	10	38	22	5	16	6	7	18	3	6	6	5	1	1	0	1	1	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north7_all	80	30534	30644	7902	8237	8561	4251	4703	1715	986	781	568	444	346	327	538	184	185	121	88	63	81	60	60	40	32	23	20	17	27	7	15	11	6	7	4	2	3	3	2	3	4	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	6617	26303	3086	6176	7605	3372	4171	1035	284	222	203	136	70	169	452	81	114	35	23	31	13	11	41	21	9	16	8	4	23	2	10	7	4	2	1	0	1	1	2	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	30599	30476	7876	8100	8452	4330	4371	1740	999	746	569	462	358	334	552	184	196	127	93	77	90	55	71	38	27	31	19	12	36	10	16	12	8	8	3	1	3	3	1	4	3	1	2	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0
0.03	north8_active	80	6692	26117	3061	6024	7463	3436	3830	1052	292	200	215	136	77	187	469	72	123	41	25	35	17	10	50	18	8	26	8	5	33	4	11	7	4	4	0	0	1	0	1	2	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	30563	30779	7779	8112	8228	4227	4267	1726	974	737	559	473	370	315	504	201	184	126	81	94	77	45	64	34	24	32	15	13	36	10	18	17	7	6	1	2	3	3	1	4	3	1	5	0	1	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	1	0
0.03	north9_active	80	6732	26437	3046	6020	7244	3329	3728	1056	278	199	227	135	71	179	429	86	108	38	19	43	21	8	46	10	9	26	6	3	32	3	12	12	1	3	0	0	1	0	1	2	3	0	3	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north10_all	80	30568	30855	7709	7966	8125	4361	4105	1714	961	711	593	470	383	349	480	197	176	113	90	90	63	41	58	40	26	36	16	11	31	11	11	15	5	4	2	3	0	3	1	8	5	1	5	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	1	0
0.03	north10_active	80	6742	26598	2925	5922	7127	3469	3582	1089	274	207	227	135	75	199	406	88	104	39	17	37	25	7	40	10	9	25	7	3	29	2	9	11	0	2	0	2	0	0	1	6	4	0	3	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north11_all	80	30824	30722	7808	8082	8741	4424	4724	1646	972	747	640	470	354	297	481	203	158	125	97	83	72	48	71	43	30	27	25	19	49	8	9	14	9	5	4	6	6	7	2	0	1	0	0	4	0	0	1	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1
