label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53
0.03	north1_all	80	29174	14788	14535	9647	3077	1797	2226	932	1246	1361	509	851	251	330	366	159	95	91	58	44	37	43	36	62	29	26	6	30	6	4	19	2	1	2	3	1	3	2	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	13851	7903	9223	6196	1541	837	1306	405	737	827	253	595	105	197	243	88	44	41	26	13	17	23	26	42	14	13	5	18	4	3	13	1	0	2	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	29628	15269	15161	10064	3157	1800	2302	941	1296	1351	514	893	268	392	390	173	109	93	56	48	40	42	33	67	32	21	7	31	5	3	17	1	1	2	3	1	3	1	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	14201	8300	9686	6466	1620	846	1369	416	767	826	259	623	113	253	256	99	47	43	28	16	18	18	18	48	18	19	6	19	3	2	12	1	0	2	1	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	29721	15468	15843	10156	3205	1821	2249	988	1305	1361	581	973	265	391	372	172	115	94	52	52	37	44	39	71	31	37	6	37	4	4	33	2	2	3	2	1	3	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	14484	8412	10069	6399	1694	827	1354	445	776	793	310	680	124	242	232	93	52	49	24	21	16	18	21	55	16	33	4	26	1	1	15	2	1	2	1	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	29889	15604	16102	9565	3237	1840	2267	1025	1354	1364	562	958	248	402	378	170	123	97	54	50	46	46	39	63	28	45	9	28	6	4	25	2	7	3	4	1	4	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	14646	8527	10229	5980	1682	847	1338	466	798	851	303	657	124	250	236	94	49	56	25	19	19	21	19	44	12	35	5	15	2	0	7	2	4	1	2	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	29811	15494	16011	9734	3264	1859	2275	1041	1371	1402	576	888	273	380	379	160	112	99	61	54	48	45	46	49	28	45	8	28	6	9	21	2	8	3	4	1	3	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	14597	8428	10185	6070	1666	852	1285	504	826	897	310	622	144	237	234	87	52	66	30	19	21	22	23	34	16	35	3	16	2	5	4	2	5	1	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	30020	15479	15717	9761	3232	1846	2305	1037	1371	1356	574	835	286	339	361	166	105	98	54	53	46	37	45	54	33	42	8	15	9	10	5	3	7	3	3	0	3	2	1	3	1	0	0	2	1	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	14677	8414	10067	6204	1647	867	1316	520	811	867	309	550	157	215	228	83	43	59	28	19	20	18	23	33	19	30	3	6	4	6	4	3	5	2	1	0	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	29864	15497	15570	9815	3209	1818	2307	1013	1423	1278	592	849	286	343	351	165	93	93	57	52	43	31	49	63	49	22	9	16	6	9	6	2	4	4	4	1	2	0	1	2	1	0	0	2	1	1	0	1	0	0	0	0	0	0
0.03	north7_active	80	14612	8513	10030	6193	1661	839	1320	526	861	812	314	535	152	219	234	81	43	47	29	21	19	13	28	37	35	15	3	7	3	6	4	2	4	3	1	1	2	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0
