label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56
0.03	north1_all	80	33694	14719	20501	4802	3743	2299	3064	1334	1119	1517	526	423	395	251	209	333	264	252	77	79	45	89	26	23	22	15	13	23	19	6	29	18	4	3	3	2	5	2	2	2	1	1	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0
0.03	north1_active	80	12148	6400	18238	1530	1866	782	2420	594	708	1313	178	110	252	46	47	281	216	213	33	38	8	76	4	4	2	3	2	17	16	2	28	11	3	2	1	0	5	0	1	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north2_all	80	33286	14610	20465	4832	3693	2306	2967	1296	1164	1540	538	415	381	251	202	346	283	212	80	73	45	74	34	23	29	17	9	25	21	8	25	22	4	3	4	2	6	3	1	2	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	11933	6243	18143	1499	1899	772	2345	594	722	1345	181	110	231	44	43	292	232	179	27	30	12	57	5	8	6	3	2	19	18	3	24	15	3	2	3	0	5	1	1	2	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	33301	14623	20658	4884	3750	2231	3026	1266	1203	1529	530	406	367	229	204	329	237	208	76	64	46	77	34	20	21	14	15	29	18	8	12	9	2	2	5	1	7	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	11787	6276	18403	1535	1889	732	2424	601	746	1312	178	104	215	45	37	281	197	177	25	29	17	60	4	6	7	2	3	24	16	4	10	8	1	1	3	0	6	1	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	33320	14718	21499	4839	3798	2294	2987	1289	1208	1725	568	392	418	219	184	357	234	189	76	62	45	107	38	22	25	18	16	26	14	4	13	9	2	2	3	2	7	1	0	1	0	1	0	0	0	4	0	1	0	0	0	0	0	1	0	0	0
0.03	north4_active	80	11947	6292	19262	1532	1930	739	2379	595	745	1513	211	112	258	43	35	315	197	164	27	29	13	95	3	6	7	3	5	23	12	2	10	7	1	0	2	0	6	1	0	1	0	1	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	33419	14724	21773	4767	3862	2287	3052	1323	1201	1879	541	380	407	224	178	354	198	209	78	64	45	113	32	23	26	12	15	18	11	5	12	9	2	2	1	1	9	5	0	1	0	0	0	1	0	4	0	0	0	0	0	0	0	1	0	0	0
0.03	north5_active	80	12444	6386	19549	1514	1968	753	2466	599	761	1647	188	104	257	46	37	319	168	187	33	31	11	103	5	1	8	2	4	17	9	3	9	8	1	0	0	0	8	5	0	1	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	33605	14897	22145	4766	3755	2288	3086	1301	1216	1993	541	400	419	235	164	376	258	211	77	61	48	105	30	24	25	16	11	15	12	4	20	8	2	3	0	3	6	6	2	0	0	0	0	1	0	4	0	0	0	0	0	0	0	1	0	0	0
0.03	north6_active	80	12699	6547	19951	1549	1968	782	2501	585	803	1751	194	115	272	52	35	342	232	193	38	25	11	96	5	3	8	3	3	14	9	2	18	6	1	0	0	0	6	6	1	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	33943	15028	21945	4809	3853	2179	3074	1262	1195	1801	543	396	387	249	182	338	254	232	85	64	48	103	33	20	23	15	13	16	7	6	14	8	1	3	2	2	8	7	2	0	1	1	0	1	0	4	0	0	0	0	0	0	0	1	0	0	0
0.03	north7_active	80	12953	6770	19759	1557	2094	749	2473	581	799	1587	195	103	249	47	43	301	233	214	47	26	9	89	6	4	8	2	5	14	5	2	14	7	1	0	0	0	8	7	1	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	33919	15013	21796	4760	3901	2148	3043	1274	1270	1884	561	387	384	250	187	393	288	222	96	56	44	86	30	18	26	13	11	22	17	8	13	9	2	4	2	4	8	3	2	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north8_active	80	12953	6787	19589	1564	2106	743	2426	608	850	1684	206	99	253	50	47	350	262	196	54	22	9	71	6	3	5	2	6	19	14	2	13	8	1	0	0	1	8	3	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	34160	14982	21708	4811	3949	2196	3067	1258	1298	1990	586	402	403	226	198	440	252	230	97	65	49	118	33	17	27	12	11	20	22	12	6	15	4	3	4	5	6	5	2	0	2	1	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0
0.03	north9_active	80	12984	6812	19475	1567	2093	762	2463	598	864	1800	214	106	266	38	53	388	227	199	50	27	11	103	6	2	5	5	6	16	19	1	6	15	1	0	0	3	6	3	1	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	34113	14830	21940	4738	3869	2304	3065	1314	1311	2131	567	386	422	223	194	428	265	205	94	65	49	129	26	16	31	11	12	19	28	10	8	14	3	2	2	5	3	2	1	0	2	1	3	0	1	0	1	0	1	0	0	0	0	0	1	0	0
0.03	north10_active	80	13039	6687	19679	1543	2049	814	2477	635	878	1930	212	104	270	39	49	373	235	170	44	30	7	117	4	2	7	5	5	17	23	1	7	14	0	1	0	4	3	0	0	0	1	0	3	0	1	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north11_all	80	32470	14266	19562	4811	3602	2236	2706	1269	1179	1442	510	364	398	226	196	353	307	199	82	48	46	114	23	22	17	14	18	44	15	5	4	5	3	4	3	2	0	0	1	0	0	1	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0
0.03	north11_active	80	10676	5784	17142	1358	1748	653	2050	529	724	1219	172	82	241	53	46	301	261	166	31	18	10	102	4	4	4	2	10	39	13	3	4	2	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
