label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34
0.03	north1_all	80	2427	549	294	356	211	82	61	47	32	70	25	4	7	18	16	3	4	2	3	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	1413	235	124	226	136	36	32	30	16	44	16	1	1	9	10	0	3	0	2	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	2197	561	289	333	201	88	63	48	35	64	33	6	8	16	9	3	3	2	4	5	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	1252	262	122	214	130	40	28	26	17	46	21	3	1	6	5	1	2	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	2099	554	271	313	204	73	65	53	41	44	28	8	6	12	10	5	3	0	4	4	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1198	250	123	211	124	34	29	26	22	36	18	4	1	7	6	2	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	2181	537	267	347	210	74	59	49	47	39	37	7	6	12	8	5	1	0	5	3	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	1272	234	125	212	133	31	28	22	28	29	25	3	0	8	7	3	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	2323	514	253	399	246	93	63	44	44	53	36	9	5	10	13	5	1	2	5	1	3	0	3	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	1361	225	122	224	161	45	29	19	24	43	26	6	0	5	12	3	0	2	3	1	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	2512	519	259	432	251	98	65	45	43	59	47	12	4	4	11	2	2	2	5	1	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	1524	223	127	252	164	45	33	18	27	39	33	6	1	2	11	1	2	2	3	1	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	2727	532	238	438	277	100	56	44	34	84	49	15	4	7	11	3	3	2	4	1	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	1631	220	117	245	181	47	26	22	21	50	38	7	1	2	11	1	2	2	3	1	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	2721	551	250	433	285	98	69	45	38	72	59	15	6	10	6	4	5	3	2	1	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north8_active	80	1657	236	117	264	181	48	31	18	28	41	44	5	2	5	6	0	2	3	2	1	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north9_all	80	2660	574	264	399	266	73	61	39	37	70	48	13	7	19	6	7	5	2	2	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north9_active	80	1600	256	127	242	163	29	29	14	26	43	41	5	4	13	6	1	2	2	2	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north10_all	80	2542	548	286	377	261	72	61	45	33	71	49	9	7	27	2	6	3	2	2	4	1	0	3	0	0	0	1	0	0	0	0	0	1	0	0
0.03	north10_active	80	1517	271	136	222	164	30	26	23	21	55	40	4	5	21	2	2	0	2	2	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north11_all	80	2563	550	295	437	254	79	69	48	38	60	37	14	6	28	11	1	2	1	1	2	4	1	1	0	0	2	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	1565	281	142	246	154	34	32	20	16	43	29	8	2	16	6	1	1	0	0	2	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	2405	529	288	386	236	78	71	62	37	67	35	17	5	33	14	2	1	1	1	2	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	1434	268	133	212	136	34	32	32	15	50	28	10	3	23	6	1	1	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	2402	525	282	391	226	79	55	65	32	76	31	11	3	22	12	3	1	0	1	2	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north13_active	80	1406	261	133	239	126	32	20	29	17	52	21	6	1	19	6	2	1	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	2519	504	268	397	223	81	52	63	29	85	26	11	2	20	10	3	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0
0.03	north14_active	80	1487	242	116	262	126	38	19	34	11	61	17	5	1	16	4	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	2640	495	262	431	240	72	51	58	31	113	29	15	2	15	20	2	1	0	2	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0
0.03	north15_active	80	1602	227	118	290	141	35	22	30	13	89	17	5	1	10	9	1	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	2602	561	273	420	247	71	46	40	34	98	31	16	4	19	25	1	3	0	4	14	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north16_active	80	1578	260	121	275	153	43	23	20	16	82	21	6	1	8	13	0	2	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	2660	579	284	427	271	65	47	53	33	80	28	13	5	22	27	3	6	1	6	17	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	1649	261	133	276	177	35	28	24	15	64	17	3	2	11	15	0	4	1	3	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	2743	598	307	447	280	77	52	53	33	82	40	12	5	17	15	4	7	1	5	17	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_active	80	1672	267	150	284	178	46	27	26	16	57	29	3	1	6	10	1	4	1	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	2862	607	311	416	273	80	51	49	35	82	43	8	5	30	11	5	6	1	4	4	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_active	80	1752	269	151	253	176	37	21	25	16	61	26	3	1	22	6	2	3	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	2776	590	301	410	244	85	57	50	34	107	48	7	9	36	12	6	1	2	3	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	1684	277	148	257	149	38	19	31	16	74	32	3	5	25	6	4	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	1345	628	397	330	105	202	63	34	74	17	25	37	10	9	2	3	2	1	1	2	2	0	1	1	0	1	3	0	0	0	0	0	0	0	0
0.03	south21_active	80	632	305	217	203	50	125	27	20	39	8	14	14	3	6	0	1	1	0	1	1	2	0	1	0	0	1	3	0	0	0	0	0	0	0	0
0.03	south22_all	80	1300	600	382	281	113	183	66	34	75	18	22	27	7	5	2	2	3	3	1	3	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0
0.03	south22_active	80	585	279	194	170	58	116	26	17	34	10	10	11	2	1	0	0	2	0	1	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	1298	618	393	266	119	233	66	29	79	23	25	17	12	4	9	2	4	3	2	3	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0
0.03	south23_active	80	609	289	210	168	64	145	28	14	44	16	9	11	7	1	4	1	2	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	1291	635	411	287	124	251	70	28	86	18	25	38	10	3	9	3	2	2	5	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0
0.03	south24_active	80	597	299	227	174	68	162	37	12	57	12	11	31	6	0	5	2	1	0	5	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south25_all	80	1346	650	431	330	142	284	68	31	98	19	38	40	11	4	9	3	3	1	5	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
0.03	south25_active	80	622	302	251	187	72	181	34	14	69	10	20	33	5	2	5	2	2	1	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south26_all	80	1392	634	437	335	132	297	65	34	116	15	34	48	8	5	6	2	1	1	5	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south26_active	80	658	311	241	190	59	195	32	16	85	3	19	38	3	3	5	2	1	1	5	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south27_all	80	1362	615	419	339	119	302	68	36	135	15	38	58	9	6	1	2	1	2	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0
0.03	south27_active	80	653	305	236	188	55	205	32	19	100	6	26	48	4	4	0	2	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south28_all	80	1291	652	394	326	114	289	68	38	137	16	38	46	9	3	1	3	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south28_active	80	600	323	216	192	51	204	34	18	95	7	32	32	6	2	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_all	80	1283	654	381	346	103	269	66	41	151	16	30	53	11	2	2	4	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south29_active	80	585	337	221	222	45	185	37	21	99	8	23	32	4	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_all	80	1304	639	376	333	104	276	61	36	132	15	38	54	10	4	4	9	0	1	1	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south30_active	80	596	318	215	213	48	191	39	19	86	7	19	26	3	1	2	6	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south31_all	80	1300	661	411	327	112	245	66	41	86	24	33	49	8	7	3	1	0	1	2	4	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south31_active	80	594	351	254	191	53	166	30	25	57	10	20	40	3	4	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_all	80	1301	650	430	351	123	269	61	37	88	29	24	43	10	7	5	2	0	2	1	2	1	0	0	1	0	0	0	0	9	0	0	0	0	0	0
0.03	south32_active	80	584	331	256	211	63	182	31	20	61	13	11	34	5	3	1	1	0	0	0	0	0	0	0	1	0	0	0	0	9	0	0	0	0	0	0
0.03	south33_all	80	1325	638	414	377	129	270	60	35	82	25	24	41	10	10	5	1	1	2	1	2	2	0	0	1	0	0	0	0	9	0	0	0	0	0	0
0.03	south33_active	80	590	322	248	221	61	183	30	14	59	14	10	32	5	3	1	0	0	1	0	0	1	0	0	1	0	0	0	0	9	0	0	0	0	0	0
0.03	south34_all	80	1283	638	433	380	126	278	60	36	67	28	31	60	12	6	6	1	1	2	1	0	3	0	1	1	0	0	0	0	9	0	0	0	0	0	0
0.03	south34_active	80	580	310	244	225	59	199	31	9	39	16	19	49	5	1	1	0	0	1	0	0	1	0	1	1	0	0	0	0	9	0	0	0	0	0	0
0.03	south35_all	80	1246	604	447	377	116	274	54	40	92	27	37	60	19	7	7	4	1	2	3	0	3	0	1	1	0	0	2	0	9	0	0	0	0	0	1
0.03	south35_active	80	553	285	260	219	48	188	24	15	44	15	22	46	8	2	4	2	0	1	1	0	1	0	1	1	0	0	2	0	9	0	0	0	0	0	0
0.03	south36_all	80	1245	631	461	359	116	258	62	38	138	19	40	45	20	8	6	4	2	1	4	2	1	0	4	0	0	0	2	0	0	0	0	0	0	0	1
0.03	south36_active	80	580	311	261	210	58	181	26	17	95	11	26	36	11	4	4	2	1	1	2	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0
0.03	south37_all	80	1272	613	449	349	118	261	58	41	150	15	41	29	23	10	4	4	2	0	7	3	0	0	4	0	0	0	2	0	0	0	1	0	0	0	1
0.03	south37_active	80	574	314	262	196	54	176	26	22	109	8	25	21	11	4	3	2	1	0	5	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0
