label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39
0.03	north18_active	80	5463	1296	3034	320	116	351	245	619	77	56	57	31	48	15	36	14	9	3	5	5	6	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north19_all	80	7979	2568	3553	760	451	510	347	623	133	85	78	46	58	31	42	16	16	10	10	6	8	0	0	1	1	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north19_active	80	5363	1290	3110	303	123	372	234	571	88	51	56	27	46	15	34	7	9	3	4	4	6	0	0	1	1	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north20_all	80	8080	2543	3491	764	442	489	350	632	125	79	94	51	45	31	54	14	15	11	7	4	8	0	0	1	1	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north20_active	80	5446	1303	3063	285	127	360	250	581	78	43	67	30	36	14	49	7	10	1	2	2	5	0	0	1	1	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	south21_all	80	6956	2360	1549	861	446	463	221	400	611	193	88	53	35	19	15	18	8	53	7	10	14	3	3	0	1	2	2	1	0	0	5	0	0	0	0	0	0	1	1	0
0.03	south21_active	80	4033	526	844	414	105	341	121	341	578	167	69	11	22	7	12	12	4	49	2	3	13	1	2	0	0	0	2	0	0	0	5	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	6899	2311	1573	806	451	477	237	381	641	204	79	47	39	25	18	13	12	55	10	7	10	4	3	0	2	1	0	1	0	0	5	0	0	0	0	0	0	1	1	0
0.03	south22_active	80	4017	505	889	375	104	337	125	325	611	180	64	10	20	7	13	7	8	47	3	2	9	2	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	6887	2325	1533	776	450	537	239	409	572	189	78	50	42	24	21	9	12	44	8	5	8	5	2	0	2	2	0	1	0	0	0	0	0	0	1	0	0	0	1	0
0.03	south23_active	80	3992	525	876	358	103	399	122	358	539	165	56	11	19	7	15	6	8	35	3	2	7	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south24_all	80	6885	2262	1518	781	483	514	248	394	624	176	72	46	40	31	28	6	14	69	11	8	4	3	1	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	1	0
0.03	south24_active	80	3996	486	882	364	100	379	121	352	590	154	50	10	17	12	21	3	8	62	6	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south25_all	80	6972	2185	1548	813	493	505	233	372	592	155	82	47	34	28	23	11	12	55	7	9	14	2	2	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0
0.03	south25_active	80	4026	455	880	385	108	379	105	325	560	130	51	9	17	13	17	4	7	51	3	1	14	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south26_all	80	7100	2215	1532	791	483	497	214	355	638	172	91	38	28	25	23	11	9	38	6	10	15	3	1	0	1	2	0	1	0	0	0	0	0	1	1	0	0	0	0	0
0.03	south26_active	80	4117	459	879	364	102	378	99	309	609	148	54	4	20	14	16	4	3	35	4	1	15	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south27_all	80	7053	2169	1564	840	491	537	201	402	625	183	94	35	25	20	23	15	6	36	5	5	18	2	1	0	1	3	0	1	0	3	0	0	0	0	0	0	1	0	0	0
0.03	south27_active	80	4080	456	894	391	111	408	94	351	597	165	57	4	17	11	15	8	3	32	3	0	17	2	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0
0.03	south28_all	80	7024	2245	1502	830	462	541	220	395	599	207	90	31	28	23	25	12	8	48	8	6	13	2	1	1	2	4	0	0	0	3	0	0	0	0	0	0	1	0	0	0
0.03	south28_active	80	4091	505	883	396	113	404	114	337	569	186	57	4	16	13	15	9	5	43	7	1	12	2	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0
0.03	south29_all	80	6979	2315	1509	796	450	537	206	418	570	219	82	30	29	16	27	15	9	52	8	3	8	6	2	3	4	3	0	0	0	3	0	0	0	0	1	1	1	0	0	0
0.03	south29_active	80	4102	495	882	384	106	390	103	354	539	189	57	6	16	8	18	12	6	47	6	1	7	6	0	3	2	1	0	0	0	3	0	0	0	0	1	1	0	0	0	0
0.03	south30_all	80	6919	2314	1481	791	442	530	259	418	567	206	74	51	35	23	31	14	8	41	16	4	4	5	2	3	4	1	0	0	0	4	0	0	0	0	1	1	1	0	0	0
0.03	south30_active	80	4094	500	860	383	100	377	127	355	530	172	54	12	19	11	21	10	5	35	14	2	4	5	0	3	2	1	0	0	0	3	0	0	0	0	1	1	0	0	0	0
0.03	south31_all	80	6966	2178	1521	801	488	574	236	409	589	253	117	35	48	14	24	19	5	25	8	4	8	4	2	2	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
0.03	south31_active	80	3960	442	889	409	100	404	115	354	561	223	75	10	27	3	18	10	2	23	7	1	7	4	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
0.03	south32_all	80	6985	2177	1469	773	485	564	244	422	639	274	112	47	31	16	31	19	6	38	11	8	9	3	3	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
