label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44
0.03	north1_all	80	37231	21723	7978	4866	2905	5399	1329	1213	664	459	813	248	199	326	103	138	107	59	44	48	37	31	25	4	9	5	4	10	3	6	3	4	5	1	0	3	1	0	0	0	0	0	0	0	0
0.03	north1_active	80	17755	12501	3760	2342	1373	3580	608	632	306	199	470	112	98	189	47	74	57	24	23	36	25	17	13	1	5	3	1	9	2	3	1	4	3	1	0	2	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	37258	21599	7967	4821	2860	5348	1274	1211	663	475	758	238	203	367	103	157	117	49	43	41	40	24	29	8	5	4	4	15	2	4	0	3	4	0	0	2	1	2	0	0	0	0	0	0	0
0.03	north2_active	80	17814	12439	3767	2289	1369	3628	579	620	300	207	449	105	100	231	44	87	65	17	23	30	22	15	11	3	5	3	2	14	1	4	0	3	2	0	0	1	0	2	0	0	0	0	0	0	0
0.03	north3_all	80	37014	21561	7891	4774	2858	5252	1261	1178	653	457	745	264	185	377	97	166	107	38	40	48	40	32	22	11	8	2	4	19	4	3	1	1	2	1	0	2	0	2	0	0	0	0	0	1	0
0.03	north3_active	80	17767	12295	3712	2280	1362	3511	584	605	288	198	473	121	90	238	43	102	56	13	22	36	17	15	9	3	8	0	3	17	1	2	0	1	1	0	0	1	0	2	0	0	0	0	0	1	0
0.03	north4_all	80	36792	21479	7820	4717	2897	5053	1296	1192	632	463	773	255	196	369	97	183	98	40	43	45	41	37	23	12	8	2	5	13	3	5	2	6	1	1	0	1	0	2	0	0	0	0	0	1	0
0.03	north4_active	80	17561	12239	3669	2254	1358	3401	605	633	276	200	509	120	104	238	45	116	55	15	19	32	18	22	10	4	7	1	3	12	1	3	1	6	0	0	0	1	0	2	0	0	0	0	0	1	0
0.03	north5_all	80	36477	21222	7847	4696	2928	5299	1328	1163	666	459	797	254	185	311	106	171	98	47	50	60	38	38	27	13	10	3	6	7	3	6	2	6	1	2	0	0	0	0	0	0	0	0	0	1	0
0.03	north5_active	80	17435	11988	3701	2231	1392	3503	605	611	300	210	501	118	107	204	52	101	52	24	24	45	15	24	15	5	9	2	4	6	1	3	1	6	0	1	0	0	0	0	0	0	0	0	0	1	0
0.03	north6_all	80	36319	21005	7878	4853	3015	5335	1321	1131	654	471	797	241	195	272	90	154	110	53	48	66	44	43	26	8	13	4	5	4	2	5	1	10	1	2	0	0	1	0	0	0	0	0	0	0	0
