label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79
0.03	north15_all	80	23505	4387	6482	2008	1261	2903	800	586	496	661	357	624	210	393	370	130	96	92	290	78	172	56	89	41	57	56	31	32	19	63	11	7	21	20	9	7	5	10	8	4	9	18	4	4	1	11	2	1	1	0	5	0	0	1	2	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north15_active	80	20088	1570	5612	948	417	2589	327	160	128	513	153	535	61	309	322	77	26	40	247	34	153	16	71	23	33	49	10	10	12	55	5	5	12	18	5	3	2	6	8	2	5	16	3	3	1	9	0	0	0	0	4	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north16_all	80	23590	4352	6537	2023	1268	2916	767	587	493	651	341	603	208	368	371	119	99	102	266	78	161	54	77	41	57	58	37	25	17	60	14	9	20	17	7	8	6	10	9	7	5	12	3	4	1	7	2	1	2	1	0	0	0	1	2	2	1	1	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north16_active	80	20175	1601	5657	946	411	2571	322	172	134	500	140	516	69	281	324	70	31	45	226	41	146	14	63	23	31	49	12	6	9	51	6	5	11	15	4	3	4	5	9	4	5	10	1	3	0	7	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north17_all	80	23417	4270	6547	1972	1281	2938	754	559	520	660	348	644	215	335	376	120	92	98	226	73	160	53	74	43	60	56	34	27	20	48	18	10	23	13	7	7	8	9	14	8	4	12	3	4	2	6	1	2	2	1	2	0	0	1	2	2	0	1	0	0	0	1	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
0.03	north17_active	80	20008	1563	5645	924	423	2605	317	173	141	493	145	545	71	261	331	63	31	42	199	38	144	13	63	21	35	50	10	7	11	41	7	4	12	10	3	5	5	3	12	4	4	10	1	3	1	6	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
0.03	north18_all	80	23081	4305	6365	1990	1271	2799	771	584	485	670	337	654	214	326	310	117	96	106	212	64	180	54	104	44	45	50	33	25	18	46	15	9	23	12	8	8	8	6	10	5	3	3	3	5	3	6	2	2	1	2	4	0	0	0	1	1	0	1	0	0	1	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
0.03	north18_active	80	19565	1568	5455	924	422	2466	326	172	128	497	140	551	66	250	265	62	28	45	185	39	152	20	92	20	26	42	5	8	9	41	5	4	12	8	3	3	4	2	8	3	3	2	2	3	2	6	1	0	0	1	4	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
0.03	north19_all	80	22404	4320	6372	1959	1264	2654	764	591	449	719	323	637	231	312	334	136	107	105	180	67	181	53	107	45	35	43	35	25	16	29	15	8	18	13	9	8	5	4	12	3	5	4	11	5	3	4	3	3	2	1	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
0.03	north19_active	80	18806	1543	5433	889	405	2329	322	158	117	537	128	531	70	242	288	72	28	50	159	38	153	17	95	19	21	39	7	9	7	24	4	5	9	8	1	3	3	2	9	2	3	3	10	3	2	4	1	0	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
