label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67
0.03	north1_all	80	3862	2382	1107	706	544	394	299	1229	490	150	127	123	91	109	62	49	52	41	43	53	118	19	82	19	33	21	8	12	13	15	4	8	5	4	24	9	2	5	3	2	0	1	1	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	796	1449	315	173	196	159	104	1151	437	30	43	54	21	73	17	9	31	12	24	37	110	4	77	4	29	15	5	7	8	10	1	5	2	3	21	6	0	2	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	3934	2299	1086	736	556	385	299	1031	440	142	126	114	101	112	58	55	46	55	40	46	111	14	54	21	27	21	6	7	12	13	5	7	4	4	25	5	2	3	2	3	0	1	2	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	871	1337	316	178	187	144	100	946	391	32	42	46	25	76	19	10	28	17	19	33	106	5	49	4	24	15	2	1	8	8	2	4	2	3	25	4	0	1	1	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	3922	2156	1049	754	536	374	315	848	387	139	124	99	106	95	50	57	51	48	40	44	83	13	58	18	24	19	6	8	9	13	4	7	6	3	12	4	5	3	1	3	0	2	3	1	5	1	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	994	1172	268	164	165	124	90	745	324	35	36	32	24	62	16	13	29	17	19	33	76	2	51	5	21	13	2	3	6	7	1	2	2	1	10	3	0	1	0	3	0	1	0	0	4	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	3954	2028	1054	720	527	391	311	604	302	154	118	94	107	71	59	52	45	47	27	37	71	19	39	19	18	20	8	9	6	13	5	4	5	5	13	2	6	2	1	3	0	2	2	1	5	1	1	0	1	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	1115	972	248	163	149	125	70	506	227	41	31	27	27	41	18	16	25	16	11	26	65	2	33	5	14	13	4	3	3	10	1	1	2	4	10	2	0	1	1	3	0	1	0	0	4	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	3967	1953	1074	710	540	402	291	491	273	157	115	87	107	57	60	44	46	42	25	29	55	17	31	21	20	16	5	9	7	9	5	8	6	7	9	6	4	1	3	3	1	2	1	1	5	1	1	0	0	2	0	0	2	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1
0.03	north5_active	80	1162	881	233	149	136	114	68	394	185	39	27	21	27	24	14	15	24	13	8	16	47	1	25	6	13	9	3	3	4	6	1	4	0	4	5	6	0	1	2	3	1	1	0	0	4	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	4005	2054	1102	706	516	399	294	581	352	146	112	106	89	73	67	42	40	37	26	35	58	17	60	20	24	19	12	8	10	13	6	7	7	9	6	7	3	3	5	2	3	0	0	0	2	0	1	0	0	2	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1
0.03	north6_active	80	1115	987	257	138	131	113	68	497	270	39	27	30	22	41	14	13	22	11	10	21	49	1	55	5	16	12	6	4	5	11	1	4	2	4	4	7	0	1	2	2	1	0	0	0	1	0	1	0	0	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	3927	2125	1150	720	524	410	275	847	454	144	130	131	84	77	71	40	53	33	32	47	81	17	77	19	31	19	14	8	7	23	3	9	8	8	17	7	1	2	6	3	3	3	0	0	1	0	0	1	0	2	0	0	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1
0.03	north7_active	80	997	1165	313	141	151	137	73	747	380	31	31	45	21	50	13	9	31	7	11	31	76	1	72	5	25	14	7	6	4	20	1	4	2	2	15	6	1	0	2	3	1	2	0	0	1	0	0	0	0	2	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	4006	2275	1104	725	532	413	309	1182	548	143	138	134	83	88	63	37	44	34	39	53	145	20	72	18	28	27	12	8	8	26	5	6	6	9	17	5	3	2	5	7	2	4	0	0	3	1	0	1	0	2	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	910	1385	351	153	172	150	104	1077	477	34	41	50	17	62	13	7	28	9	19	39	141	5	69	8	23	21	6	6	4	22	1	2	2	3	16	3	1	0	1	6	0	2	0	0	3	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	3989	2409	1115	717	565	395	319	1389	618	153	123	135	98	98	61	40	52	35	49	50	186	20	79	16	23	27	8	8	7	22	3	8	3	4	27	7	3	1	5	7	1	5	0	0	8	1	0	1	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	813	1559	375	156	207	157	122	1278	546	39	37	49	24	70	7	7	35	8	28	37	181	6	76	7	22	23	3	5	3	17	0	4	0	2	26	4	1	0	1	6	0	3	0	0	8	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
