label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79
0.03	north1_all	80	1759	1099	714	321	371	699	151	136	129	88	98	55	52	65	27	65	28	27	34	39	45	51	17	16	10	13	8	24	7	5	14	4	2	6	5	5	11	4	2	5	2	5	2	3	2	1	3	0	0	0	0	2	1	2	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	825	631	394	164	195	505	77	53	73	36	58	28	30	39	13	47	12	11	20	33	27	42	10	10	5	3	3	17	2	1	6	2	0	2	4	2	10	2	1	2	2	3	2	2	2	0	3	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	1736	1089	711	319	357	751	151	137	137	85	100	61	47	65	28	75	45	25	29	33	41	36	17	15	9	8	15	20	11	6	10	7	1	5	3	2	2	4	2	4	2	5	2	5	1	2	3	0	0	0	1	1	1	2	3	0	0	0	0	1	0	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	805	604	398	163	199	545	76	54	83	38	62	30	23	42	13	48	29	8	20	24	23	22	10	7	4	1	8	14	7	1	3	4	0	1	3	1	1	2	1	1	2	4	2	3	1	1	3	0	0	0	1	0	0	1	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	1742	1136	724	312	346	769	146	153	140	93	103	64	45	64	28	70	38	27	33	26	35	39	19	5	9	8	15	12	10	10	8	9	2	5	4	0	7	4	2	3	4	5	2	4	6	2	4	0	0	0	1	1	1	1	3	0	0	0	0	1	4	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	812	643	408	145	197	539	73	79	86	44	64	31	22	44	13	42	24	11	15	18	19	27	11	1	6	3	8	7	7	4	4	5	1	1	4	0	6	2	1	0	3	4	1	2	2	1	4	0	0	0	1	0	0	1	2	0	0	0	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	1731	1128	705	313	356	712	157	154	136	87	105	57	47	65	30	76	40	38	37	30	43	52	24	9	11	12	14	11	10	19	10	10	4	3	6	1	9	1	2	4	4	6	1	3	6	2	8	0	0	0	1	1	0	4	0	2	0	0	0	1	4	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	812	637	393	145	211	483	75	89	79	42	64	26	21	46	12	45	25	19	16	21	24	35	14	6	6	4	9	9	8	14	6	4	2	2	4	1	8	1	1	1	3	4	0	2	2	1	7	0	0	0	1	0	0	0	0	2	0	0	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	1746	1096	683	319	355	656	149	160	130	86	111	60	56	68	39	66	38	37	31	33	49	52	24	12	13	12	5	13	9	16	8	9	5	3	9	2	10	2	3	2	6	2	1	1	7	1	10	0	0	0	0	0	0	4	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	805	630	390	139	206	429	62	96	70	35	72	25	28	40	16	40	18	19	13	21	28	33	14	10	9	4	3	10	6	13	3	3	3	2	6	1	9	1	1	1	5	1	0	0	2	0	7	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	1754	1122	675	334	366	626	149	153	108	79	105	54	71	75	43	71	45	45	30	40	54	46	23	16	11	16	11	10	8	16	8	7	5	2	10	2	10	5	3	2	3	3	3	1	2	1	11	0	0	0	0	0	0	4	0	2	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	803	649	378	152	209	407	60	94	54	30	67	24	30	38	22	44	18	23	13	22	32	28	12	13	5	5	3	7	5	13	5	0	3	1	5	1	8	1	1	1	3	1	2	0	0	1	8	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	1777	1123	684	334	372	680	144	154	111	92	114	58	74	72	49	81	49	36	21	31	42	47	17	25	10	18	12	9	11	11	9	8	4	0	7	2	6	5	2	2	3	4	2	1	4	1	5	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	825	658	380	151	218	455	60	90	59	40	71	27	29	32	21	48	24	17	12	16	27	26	6	14	6	8	2	6	8	8	4	1	2	0	2	1	4	1	0	1	3	3	2	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	1780	1161	667	328	378	720	133	178	119	92	104	70	70	73	44	75	58	27	19	35	38	41	15	24	10	14	12	12	11	11	10	7	5	3	12	2	6	3	2	1	0	3	2	2	6	3	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0
0.03	north8_active	80	828	670	377	141	248	489	61	95	60	44	63	31	22	38	21	49	35	16	11	19	25	25	4	12	5	7	2	10	9	8	5	1	2	2	4	2	3	0	1	0	0	2	2	1	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north9_all	80	1772	1134	674	330	377	717	133	188	116	103	86	65	54	70	34	69	57	22	17	33	33	51	17	22	7	7	16	11	10	11	11	8	4	5	9	3	4	0	3	1	1	2	3	2	5	4	3	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	2	0	0	1	0	0	1	0	0	0
0.03	north9_active	80	848	618	376	154	235	458	64	96	65	49	55	27	20	41	12	41	37	13	8	20	22	35	3	10	5	5	5	8	8	7	5	2	1	2	2	2	1	0	1	0	0	2	3	2	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north10_all	80	1767	1108	644	321	392	699	139	188	120	102	95	72	47	65	36	58	54	15	25	25	42	49	17	22	8	7	9	12	8	12	16	5	2	5	13	4	6	6	3	1	1	6	1	2	5	4	2	3	1	0	0	1	0	0	1	0	0	1	2	0	0	0	0	0	0	2	0	1	0	0	2	0	0	1	0	0	1	0	0	0
0.03	north10_active	80	838	605	362	141	239	461	70	98	63	49	52	28	20	37	14	31	37	8	13	14	31	34	6	10	6	4	5	8	6	7	8	2	1	2	5	2	1	5	1	0	0	6	1	2	1	2	1	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north11_all	80	1672	1141	670	305	384	714	152	149	123	101	100	51	61	54	32	72	45	36	38	32	37	54	13	12	15	9	11	18	7	6	15	3	1	6	10	4	12	5	2	0	2	9	2	0	2	4	3	0	2	1	1	2	0	2	5	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	816	655	366	151	227	475	66	72	65	57	50	25	32	31	16	41	16	27	22	16	24	30	8	8	9	7	5	8	5	4	7	2	1	4	6	2	11	2	1	0	0	6	1	0	2	1	0	0	2	1	0	0	0	2	5	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	1714	1163	755	319	384	713	149	119	118	102	113	48	65	53	29	58	47	33	37	42	41	61	20	15	14	7	14	14	4	9	12	6	3	3	10	4	14	7	1	0	4	4	1	0	1	4	3	0	1	1	2	0	0	4	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	821	664	434	163	214	487	63	50	64	59	57	26	35	32	14	31	19	23	23	25	26	35	11	9	10	6	5	7	2	4	4	2	2	3	7	2	13	2	1	0	2	1	0	0	1	1	0	0	1	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	1750	1112	736	341	420	712	142	135	117	98	113	61	67	63	34	52	44	29	38	39	37	60	21	17	16	6	16	12	7	7	6	7	4	1	6	3	11	4	2	1	5	3	0	2	1	1	4	0	2	1	1	0	0	5	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0
0.03	north13_active	80	842	621	424	168	234	480	65	70	55	51	59	27	28	32	19	33	20	19	21	22	26	31	14	11	13	4	5	8	3	4	1	2	2	1	2	2	11	1	2	1	2	1	0	1	1	0	0	0	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	1755	1106	726	341	393	712	144	135	118	98	111	61	66	58	49	41	39	25	33	38	44	46	21	16	11	11	16	15	8	7	8	6	4	4	3	4	11	6	2	1	3	1	0	3	1	0	1	0	2	1	1	0	0	5	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0
0.03	north14_active	80	849	618	413	153	219	486	68	69	60	52	61	32	33	32	26	25	20	14	16	23	32	30	13	12	8	7	7	9	6	3	2	2	1	3	2	3	11	1	1	1	2	0	0	2	0	0	0	0	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	1772	1109	697	354	413	728	150	159	121	91	116	66	65	53	54	51	31	26	22	30	42	54	18	14	13	13	15	21	8	12	6	5	4	4	3	3	5	5	2	3	4	2	1	3	1	1	1	0	2	0	0	1	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
0.03	north15_active	80	873	608	393	163	239	459	72	86	56	47	68	36	35	32	27	38	15	10	10	16	35	34	11	9	7	8	8	15	6	9	3	3	2	3	2	2	4	1	1	3	3	1	0	2	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
