label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189
0.03	north1_all	80	2633	1246	684	1581	471	388	598	388	470	231	201	199	185	84	257	149	53	163	62	156	56	130	40	112	70	55	69	43	82	40	32	23	46	20	28	19	20	29	28	23	28	20	13	27	10	7	5	9	13	14	10	25	29	13	14	10	5	6	6	8	3	12	9	8	7	5	17	1	6	3	2	8	3	2	4	1	2	0	1	0	4	1	0	2	1	7	1	2	1	1	3	0	1	1	1	0	1	5	1	1	0	0	2	3	2	1	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	1	0	1	4	2	1	1	0	0	0	2	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north1_active	80	1427	657	343	1054	251	212	372	241	320	119	109	121	103	32	155	77	27	104	24	114	36	78	21	70	45	24	34	24	53	24	19	10	24	12	20	9	9	14	18	19	20	14	5	16	5	3	3	3	5	8	9	22	16	6	12	7	4	5	4	7	2	4	5	5	2	4	13	0	5	1	0	4	0	1	4	1	0	0	0	0	4	1	0	0	0	6	1	0	0	0	3	0	1	0	1	0	0	2	1	0	0	0	0	2	2	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	0	4	1	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north2_all	80	2669	1211	692	1537	455	385	590	415	487	238	211	188	160	80	262	152	57	165	54	134	64	125	38	117	60	49	68	52	81	46	26	21	46	25	31	17	25	19	29	23	20	19	12	30	10	5	7	5	11	15	13	11	20	12	6	10	8	3	6	9	3	12	8	8	2	7	17	3	6	6	3	6	3	7	4	1	5	1	0	0	4	2	0	2	1	8	1	2	2	0	3	0	1	1	0	0	1	5	1	0	0	0	2	3	0	1	1	0	0	1	0	0	0	1	0	0	0	1	1	1	1	1	0	0	4	2	1	1	0	0	0	2	0	2	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north2_active	80	1450	623	361	1055	225	229	387	263	353	121	111	113	82	32	164	91	22	94	24	106	37	69	18	74	37	23	37	30	53	29	15	7	26	17	22	6	13	10	18	14	15	12	6	15	4	3	3	1	6	9	12	7	12	6	4	5	4	2	3	7	2	4	5	4	0	4	11	0	5	2	2	4	0	4	3	1	0	1	0	0	4	1	0	1	0	6	0	0	0	0	3	0	1	0	0	0	0	2	1	0	0	0	1	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	4	1	1	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north3_all	80	2706	1196	686	1582	430	369	573	399	473	241	192	182	153	84	251	137	76	167	53	141	78	113	36	132	56	40	64	51	69	43	36	21	46	30	32	18	24	20	34	21	28	24	12	23	8	8	10	6	9	16	14	10	19	7	3	9	11	2	5	10	1	10	7	7	1	5	20	4	9	4	3	5	4	6	5	0	5	1	1	0	3	3	1	2	1	8	1	0	1	0	4	0	2	2	0	1	1	3	2	0	0	0	1	3	0	1	0	0	0	1	0	0	0	6	1	0	0	1	0	2	1	1	0	0	7	2	1	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1449	609	352	1057	220	220	372	258	304	122	105	111	78	39	162	85	22	95	24	95	43	53	16	90	34	23	33	32	44	27	20	8	23	20	19	6	11	10	22	12	17	16	6	12	4	4	4	2	5	9	12	8	11	5	3	5	8	2	2	8	1	3	5	4	0	2	13	0	5	1	2	3	2	4	4	0	0	1	0	0	1	2	1	1	0	6	0	0	0	0	3	0	1	1	0	1	0	1	1	0	0	0	1	2	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	1	1	1	0	0	4	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	2749	1203	673	1627	406	354	575	410	489	229	191	173	142	86	277	138	86	170	57	142	85	131	44	122	51	37	52	51	73	37	35	18	48	33	43	21	21	17	38	43	33	26	10	18	8	6	13	6	6	13	10	9	18	7	17	10	11	1	3	10	3	10	6	6	0	4	13	4	9	7	4	6	3	6	7	0	9	1	2	0	2	3	1	1	0	8	1	1	1	0	2	0	2	3	0	1	0	0	1	0	0	0	2	0	1	0	0	0	1	1	2	0	0	6	1	0	0	0	1	1	1	0	3	0	3	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	1454	606	333	1103	208	200	386	252	292	113	108	103	71	36	186	88	31	101	23	96	44	82	20	87	30	20	30	33	51	23	18	6	18	21	29	6	9	11	26	33	19	16	5	6	3	2	5	2	4	8	7	7	13	5	15	4	6	1	0	7	2	8	3	5	0	2	9	0	6	2	3	2	2	4	4	0	5	1	0	0	0	1	1	1	0	6	0	1	0	0	1	0	1	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	6	0	0	0	0	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	2704	1233	679	1634	401	371	548	402	495	218	196	171	149	86	278	133	99	175	60	132	65	111	33	138	52	43	50	50	80	37	39	16	52	33	34	19	22	22	36	55	45	25	10	21	8	8	13	6	10	11	9	11	16	2	22	8	15	2	1	8	3	11	7	7	0	5	12	5	9	4	3	7	4	7	5	2	6	2	3	1	3	3	1	1	1	2	1	2	0	0	2	0	2	2	0	1	0	0	1	0	0	0	1	0	1	0	1	0	2	1	2	1	0	6	1	0	0	0	1	1	1	0	3	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	1437	624	339	1116	203	208	362	254	295	112	112	106	76	36	199	76	41	116	25	85	38	69	18	92	35	26	29	32	57	18	23	7	24	17	24	5	10	15	24	42	23	15	5	11	4	2	5	1	8	9	5	9	10	1	19	4	10	1	0	4	1	8	3	5	0	3	9	2	6	1	1	4	4	4	3	2	5	2	0	0	0	1	1	1	0	0	1	1	0	0	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	6	0	0	0	0	1	1	1	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
