label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189	Otu190
0.03	north1_all	80	3089	1511	1024	966	739	1612	365	325	308	249	335	169	150	837	141	103	106	90	163	186	63	84	51	53	52	63	56	49	30	28	85	34	38	34	69	39	20	75	25	23	16	70	17	21	11	12	20	14	15	43	23	9	13	6	13	5	8	22	9	12	8	7	17	5	5	10	4	6	8	3	3	5	22	5	3	4	2	5	16	0	6	3	9	3	1	2	2	5	20	4	8	3	3	1	0	3	2	0	5	4	1	0	4	1	0	4	1	2	1	0	1	0	3	0	3	0	0	3	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	7	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	821	630	495	665	498	1469	146	134	154	101	238	43	43	794	66	26	38	40	119	161	13	41	10	17	16	26	24	18	10	9	67	10	13	6	62	17	4	64	13	9	10	57	11	14	4	8	10	4	2	38	18	5	11	3	12	1	3	18	5	8	8	3	14	2	3	7	1	3	5	0	1	2	22	0	2	1	2	1	16	0	2	1	5	1	0	2	0	4	18	3	7	1	0	1	0	2	1	0	3	0	1	0	3	1	0	4	1	0	0	0	1	0	3	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	7	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	3061	1561	1012	964	796	1496	359	318	326	243	314	163	160	934	134	105	116	91	147	191	59	94	46	51	56	57	62	45	29	27	92	36	37	31	85	30	13	81	28	24	25	72	16	18	13	13	22	15	18	21	26	9	12	9	20	8	7	31	9	12	4	7	19	8	7	9	5	4	9	3	4	6	17	6	4	4	4	3	14	1	5	3	7	3	1	1	3	1	16	9	13	0	2	1	1	2	1	0	5	3	1	0	4	3	1	4	0	1	3	0	2	0	3	0	3	0	0	5	4	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	7	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north2_active	80	807	648	493	643	549	1343	155	130	155	97	230	41	44	892	68	31	40	36	102	169	11	49	13	10	18	24	29	14	8	9	75	11	14	7	77	11	4	70	14	10	14	58	9	14	4	8	8	8	4	20	21	5	11	4	19	1	3	27	5	8	3	4	16	4	3	5	1	2	8	0	2	3	17	2	2	1	1	1	14	0	1	1	4	1	0	1	1	1	14	8	12	0	0	1	0	1	1	0	3	0	1	0	2	2	1	4	0	0	0	0	2	0	3	0	2	0	0	5	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	7	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north3_all	80	3002	1571	1060	1007	812	1526	366	319	317	234	311	165	157	931	125	112	102	94	149	171	57	95	55	52	59	65	59	38	34	35	86	43	34	27	93	19	12	103	23	22	30	58	20	24	12	10	17	17	15	26	28	12	12	7	21	9	5	49	8	14	3	9	11	9	7	10	3	5	9	4	8	4	15	5	6	2	5	2	11	2	4	3	8	3	1	1	4	2	14	10	13	1	2	1	1	1	3	0	2	2	1	1	2	2	3	3	0	0	2	0	2	0	1	0	3	0	0	2	4	0	1	0	0	0	2	0	0	0	0	0	0	1	1	0	0	2	0	7	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
0.03	north3_active	80	774	700	480	669	573	1379	160	140	146	92	224	38	43	888	66	30	29	35	104	153	8	40	16	4	19	27	26	11	12	9	71	14	12	7	86	9	4	90	12	9	16	46	9	20	3	4	3	9	3	24	25	3	9	2	19	2	1	47	4	11	2	3	9	4	4	7	0	2	8	0	3	3	15	2	3	0	2	1	9	0	1	1	7	1	0	1	2	1	14	10	12	0	0	0	0	1	3	0	1	0	1	0	1	1	3	3	0	0	0	0	2	0	1	0	2	0	0	2	3	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	2	0	7	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
0.03	north4_all	80	2982	1616	1039	1055	823	1641	389	312	309	239	291	165	149	840	127	119	104	102	143	185	59	86	53	53	52	60	55	45	36	41	69	45	35	29	94	14	18	95	26	20	30	58	22	20	14	15	20	16	14	24	18	13	13	10	28	8	4	46	7	8	8	10	17	10	5	10	6	3	8	3	9	4	18	5	4	1	6	1	6	3	2	2	5	3	4	1	2	4	14	16	13	1	1	1	1	1	6	1	0	1	1	1	2	2	3	3	1	0	3	0	7	0	0	0	1	0	0	9	3	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	2	0	7	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
0.03	north4_active	80	750	723	450	687	587	1500	165	131	147	90	205	35	40	800	75	30	34	42	100	159	14	37	20	12	13	25	27	12	8	12	59	15	10	10	83	7	3	82	15	9	14	51	8	16	2	6	2	7	2	21	14	2	9	3	23	3	2	44	4	6	6	6	15	5	2	6	2	0	7	0	3	3	18	2	2	0	1	0	4	0	0	1	5	3	0	0	2	2	14	16	12	0	0	0	0	1	6	0	0	0	1	0	0	1	3	3	1	0	1	0	7	0	0	0	0	0	0	9	3	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	2	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
0.03	north5_all	80	2931	1616	1044	1074	790	1643	393	294	290	255	316	177	156	764	133	114	110	106	157	183	62	86	59	60	58	56	55	52	43	37	77	44	28	29	103	8	27	75	23	22	32	53	21	20	17	18	15	13	12	31	18	14	20	13	32	7	5	47	6	16	9	9	18	7	4	6	6	3	10	5	10	3	3	3	3	2	3	2	15	4	3	4	4	2	6	3	2	5	6	8	2	2	1	1	0	1	5	3	0	1	0	1	2	0	3	3	1	0	3	0	7	1	0	1	3	0	0	8	0	0	1	0	1	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north5_active	80	714	708	464	708	559	1496	170	129	141	96	211	41	48	724	62	25	39	43	121	156	13	40	18	16	18	22	22	15	9	9	62	13	10	9	89	4	4	65	14	10	20	48	3	18	2	6	1	7	1	23	13	1	14	3	24	2	1	46	4	12	8	4	16	3	1	4	2	0	8	0	3	2	3	1	1	1	1	0	12	1	0	2	3	2	0	2	2	3	6	8	1	0	0	0	0	1	5	0	0	0	0	0	0	0	2	3	1	0	1	0	7	1	0	0	3	0	0	8	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
