label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180
0.03	north1_all	80	2737	1738	876	410	458	490	218	355	546	157	262	105	131	179	88	89	60	138	78	54	66	97	99	33	88	66	32	52	43	46	47	53	22	16	43	21	29	30	23	19	9	12	10	11	8	9	7	13	13	7	33	8	6	6	6	6	12	5	9	6	5	3	3	6	5	5	3	2	1	15	12	2	2	12	6	2	0	6	6	8	0	5	1	2	1	2	3	6	1	1	1	1	4	0	1	0	1	3	0	0	0	1	3	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0
0.03	north1_active	80	1501	1061	507	196	257	290	102	222	366	72	167	43	78	113	48	44	28	95	41	25	40	56	65	13	67	40	13	33	26	23	26	35	11	5	26	18	15	14	13	11	6	7	5	5	3	4	3	6	9	6	22	3	4	3	2	3	7	4	3	4	2	2	2	3	2	4	1	1	0	11	7	1	1	10	4	0	0	5	5	4	0	1	1	2	1	1	2	3	0	1	1	0	3	0	1	0	1	2	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0
0.03	north2_all	80	2755	1751	825	452	499	492	208	355	609	150	260	97	131	183	82	106	68	116	93	56	61	111	99	38	79	75	38	61	35	56	50	57	20	13	53	23	32	23	18	20	10	11	11	9	5	7	9	8	20	7	35	8	6	8	6	16	6	6	7	6	4	3	3	3	3	4	2	2	1	10	9	3	3	6	8	2	1	2	6	7	0	4	0	2	2	3	4	5	1	2	0	2	1	0	0	0	1	3	0	0	0	1	2	0	5	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0
0.03	north2_active	80	1523	1066	470	202	279	286	99	204	418	67	176	41	71	117	43	53	32	81	51	27	40	80	62	16	62	48	14	36	17	25	28	37	13	4	39	15	19	12	13	15	5	5	4	6	2	3	4	4	8	5	21	1	5	5	1	13	3	4	2	5	2	2	2	2	0	3	0	0	0	2	6	2	2	3	6	0	0	2	5	5	0	0	0	2	2	2	2	3	0	1	0	1	1	0	0	0	1	2	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0
0.03	north3_all	80	2753	1802	824	456	512	467	212	331	618	149	257	99	134	170	76	93	77	145	88	58	52	112	97	41	90	64	40	77	47	58	57	51	20	16	55	28	30	26	29	37	9	6	11	9	5	10	7	12	25	10	26	10	10	11	4	17	10	11	6	5	6	4	1	5	3	5	3	2	1	15	8	4	2	9	11	2	1	2	6	4	0	4	1	2	1	2	3	5	2	3	0	2	1	0	0	0	1	3	1	0	0	0	1	0	3	2	1	1	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	4	0	0	0	0	0	0
0.03	north3_active	80	1492	1090	449	201	300	267	109	179	413	60	174	45	64	114	33	47	38	92	44	26	32	76	56	21	66	42	18	42	28	30	34	36	12	5	41	18	14	14	23	20	4	1	6	5	3	4	2	6	9	2	11	5	6	10	0	12	7	5	2	4	2	3	0	2	0	4	1	0	0	8	5	3	2	3	10	1	0	2	5	3	0	1	1	2	1	1	2	3	1	2	0	2	1	0	0	0	1	2	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0
0.03	north4_all	80	2724	1804	885	474	561	439	199	356	643	130	245	96	123	174	84	96	80	154	89	66	61	107	101	47	78	51	37	78	42	54	55	51	23	15	57	27	26	18	30	63	11	7	9	13	6	11	6	9	32	11	23	9	16	16	4	18	7	10	6	4	6	3	0	6	0	5	6	1	3	15	6	3	2	9	10	3	2	2	4	5	1	6	1	2	1	1	2	2	2	3	0	2	0	4	0	1	1	2	1	0	0	0	1	0	3	3	3	1	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	1	4	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_active	80	1507	1111	496	216	309	261	98	199	419	54	161	42	53	118	40	53	39	103	40	35	37	73	54	26	55	32	21	40	24	29	33	36	9	6	49	16	14	7	19	40	4	2	5	5	4	6	2	5	16	3	10	5	12	10	1	14	5	4	2	3	2	3	0	3	0	4	4	0	0	7	3	3	2	4	8	1	0	2	4	3	1	6	1	2	1	1	1	0	1	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	2632	1794	927	467	574	455	214	364	667	129	260	97	135	173	84	84	70	172	71	71	57	100	98	45	91	54	36	70	60	51	54	49	25	18	53	23	21	18	25	66	12	8	9	15	5	11	4	11	30	13	17	7	15	18	4	10	11	9	3	11	6	2	4	3	0	3	10	0	6	11	6	3	2	7	7	6	3	1	1	3	1	6	1	1	1	0	1	0	2	1	0	2	0	4	0	1	1	2	4	0	0	0	1	2	2	2	3	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north5_active	80	1482	1090	524	223	327	270	107	206	455	49	173	42	55	115	39	43	35	111	32	35	31	56	59	25	66	37	21	35	34	30	33	28	10	9	38	12	11	11	16	43	8	4	5	7	3	6	2	6	16	4	11	5	10	12	2	6	10	5	2	4	2	2	3	1	0	1	7	0	1	6	3	2	2	2	5	3	0	0	1	2	1	6	1	0	1	0	1	0	1	1	0	2	0	2	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
