label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137
0.03	north1_all	80	15755	6214	2470	1562	1978	1328	694	651	823	457	388	354	304	398	287	298	203	208	256	197	129	180	98	114	189	91	86	65	65	54	85	58	38	41	43	30	41	102	19	26	47	18	28	21	54	8	20	23	13	13	10	21	13	46	5	15	9	18	18	6	11	7	6	4	3	4	15	3	1	4	4	6	1	5	16	2	0	0	1	1	0	1	3	0	1	3	3	1	1	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north1_active	80	13063	4879	1326	607	1514	871	201	291	587	148	141	108	85	289	183	197	100	126	178	133	38	110	33	78	163	47	42	19	19	19	67	34	15	14	15	13	22	95	3	5	32	11	21	7	51	2	12	19	11	9	3	14	5	43	2	2	0	18	13	5	8	2	4	1	1	1	13	1	1	1	3	1	1	3	16	2	0	0	0	0	0	1	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north2_all	80	14353	5696	2392	1562	1890	1249	740	625	786	479	401	357	286	383	300	263	186	203	228	185	130	174	95	97	176	86	82	79	52	56	98	47	43	35	34	29	36	81	19	28	39	22	30	27	48	10	16	25	11	14	9	14	14	29	7	14	7	10	18	6	9	8	2	5	2	5	18	2	1	3	2	7	4	5	16	1	0	0	3	2	0	0	1	1	1	3	3	1	0	3	0	0	0	1	1	1	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north2_active	80	11516	4299	1209	564	1393	783	210	260	537	159	130	100	77	271	179	161	92	126	150	114	38	102	33	63	147	37	32	23	13	20	72	28	13	12	12	14	18	74	3	6	24	17	18	9	44	2	8	20	8	9	3	8	5	25	3	3	1	9	14	6	7	3	2	0	1	1	15	0	1	1	0	1	4	3	16	1	0	0	2	1	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north3_all	80	13855	5437	2327	1569	1809	1231	761	622	761	474	375	351	294	343	278	250	186	197	218	174	125	159	99	94	149	68	81	69	52	56	92	51	41	44	31	35	35	77	21	26	28	27	30	25	49	16	18	21	13	17	8	14	7	24	5	12	7	12	13	6	4	7	1	5	1	4	9	4	0	1	3	6	7	1	11	0	0	0	4	1	1	0	0	2	1	2	2	1	0	3	0	0	0	2	1	1	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	10968	4026	1125	575	1331	750	213	243	511	145	119	94	77	224	163	150	90	115	138	104	48	99	34	54	118	26	30	21	11	20	67	34	12	15	11	20	18	66	5	7	14	22	18	7	43	5	9	17	5	9	4	7	3	21	3	4	1	10	9	6	3	3	1	0	1	1	7	2	0	0	1	1	6	1	11	0	0	0	3	1	1	0	0	1	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	13912	5415	2344	1626	1743	1252	728	623	734	461	360	342	301	355	281	233	191	213	195	176	110	152	101	113	177	69	84	78	49	61	82	49	39	39	32	31	29	100	21	26	32	36	25	17	39	16	14	17	17	18	8	9	6	22	8	9	6	7	11	7	7	4	1	4	2	5	15	4	0	3	2	3	6	2	4	0	2	0	3	1	1	0	0	3	1	1	0	1	1	2	0	0	0	1	0	1	1	1	0	1	1	2	1	0	0	0	0	1	0	0	0	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	11097	4053	1110	604	1257	766	208	233	484	140	109	102	82	227	168	126	91	136	120	103	43	101	31	70	144	26	36	29	12	24	55	33	7	13	11	19	16	87	5	8	20	32	12	3	31	7	5	11	8	11	3	4	2	20	6	3	2	5	9	5	5	1	1	0	1	2	11	3	0	2	1	1	5	1	3	0	2	0	3	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	15319	5864	2409	1606	1825	1310	703	646	789	449	367	336	312	367	297	264	209	206	218	194	109	163	94	128	225	73	82	68	57	60	88	57	37	35	36	42	26	92	23	20	35	32	21	16	38	18	15	20	18	24	11	10	6	29	7	5	5	7	14	9	14	5	1	2	4	6	15	5	0	3	2	4	5	3	3	1	2	1	1	1	2	0	1	2	1	2	2	1	2	1	0	0	0	1	0	1	1	2	0	1	1	0	1	0	0	2	0	1	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
0.03	north5_active	80	12682	4533	1214	659	1351	838	199	256	531	131	134	110	82	245	188	149	105	124	150	125	40	114	33	82	196	28	43	24	15	22	63	42	8	11	12	25	17	80	6	8	26	26	14	4	32	9	5	14	10	17	6	7	2	28	6	1	2	4	13	6	12	0	1	0	3	1	12	4	0	2	2	2	4	1	2	0	2	0	1	1	1	0	0	1	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
