label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51
0.03	north1_all	80	3787	2569	2411	1015	776	412	446	223	131	116	68	60	57	36	32	20	33	17	13	14	20	9	6	9	0	2	4	3	6	2	5	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	1775	1492	1567	621	488	203	299	120	55	53	35	20	25	17	16	8	18	8	5	7	12	6	4	5	0	2	3	3	4	1	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	3835	2619	2434	1049	787	414	434	208	126	99	72	64	58	42	28	18	25	13	12	11	21	11	8	10	3	2	2	2	5	1	3	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	1817	1549	1563	611	463	209	289	109	59	46	34	27	24	23	17	9	13	4	4	5	12	7	4	5	2	2	2	2	3	0	2	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	3781	2752	2754	1103	851	398	455	206	113	102	84	72	58	47	25	32	21	15	14	10	28	8	8	8	5	2	3	2	3	3	3	0	1	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1792	1626	1789	645	518	206	303	104	58	49	39	31	22	25	19	15	10	5	4	2	13	5	5	4	3	2	3	1	2	2	3	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	3746	2861	2949	1200	899	408	467	214	122	87	78	72	54	43	24	43	20	20	10	10	43	7	10	8	7	0	3	1	5	4	3	0	1	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	1772	1710	1934	718	541	222	299	111	63	36	36	32	19	23	15	22	7	10	2	2	13	3	6	3	3	0	2	0	5	2	3	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	3687	3063	3204	1245	938	422	483	222	115	97	87	73	48	40	25	46	22	28	9	6	44	6	9	4	7	3	6	2	7	5	1	0	3	0	1	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	1711	1850	2147	762	563	244	308	120	54	39	38	31	20	21	11	27	11	15	2	2	16	3	6	1	2	2	3	1	6	2	1	0	3	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	3720	3047	3212	1234	964	436	525	244	129	103	78	65	51	27	31	43	17	26	7	7	37	5	8	3	6	3	6	2	9	4	1	1	3	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0
0.03	north6_active	80	1716	1864	2186	760	585	247	334	140	58	43	29	30	26	16	13	29	8	16	4	2	16	2	3	2	1	2	3	2	6	0	1	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north7_all	80	3764	2984	3175	1236	950	424	512	260	122	115	90	57	52	33	39	38	23	22	10	6	19	6	5	3	5	4	5	2	10	4	0	2	3	0	1	3	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north7_active	80	1737	1815	2116	748	564	244	340	154	53	53	35	24	26	18	19	28	11	13	5	3	14	2	1	2	1	3	1	2	7	0	0	1	3	0	0	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north8_all	80	3741	2918	3140	1213	933	429	528	263	125	120	95	59	53	36	41	40	25	15	15	7	13	6	7	3	6	2	2	1	9	2	0	2	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north8_active	80	1723	1742	2053	739	555	249	340	150	55	60	47	26	28	16	19	31	13	10	8	4	9	3	1	3	2	2	0	1	7	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north9_all	80	3717	2840	3152	1149	901	424	525	251	123	122	97	62	54	37	38	28	26	17	16	11	11	7	3	5	3	2	6	1	6	3	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north9_active	80	1689	1640	2010	715	554	252	329	148	57	65	49	29	28	14	19	19	12	8	7	7	8	4	0	3	2	2	5	1	6	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	3700	2851	3056	1161	924	424	513	260	128	122	85	64	53	32	40	24	19	21	14	13	10	7	5	4	2	1	6	1	3	4	0	0	5	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north10_active	80	1663	1664	1962	732	557	261	291	149	65	65	45	28	29	13	20	17	9	10	7	8	8	4	1	2	2	1	5	0	3	3	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	3786	2601	2767	1107	809	405	460	226	120	124	74	61	46	34	32	37	13	21	10	10	22	12	6	11	3	5	2	1	3	4	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
0.03	north11_active	80	1725	1519	1775	646	485	224	300	119	56	72	35	26	24	19	15	19	7	9	3	6	19	3	2	5	3	2	1	0	0	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
0.03	north12_all	80	3733	2702	2985	1192	825	400	453	214	111	132	78	67	60	35	32	33	11	25	10	10	24	10	6	12	3	5	4	3	3	4	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0
0.03	north12_active	80	1709	1608	1945	705	506	208	288	117	55	72	35	29	28	18	14	17	4	11	4	5	18	1	2	7	3	2	3	1	1	3	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0
0.03	north13_all	80	3711	2758	3238	1273	886	420	505	212	123	136	92	67	63	39	30	30	12	23	9	12	28	7	5	18	5	3	3	3	5	6	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0
0.03	north13_active	80	1672	1631	2122	728	570	232	312	120	61	73	38	33	32	19	16	14	5	10	6	6	19	1	2	14	3	2	2	1	3	4	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0
0.03	north14_all	80	3676	2847	3203	1272	919	406	481	201	125	115	92	71	67	38	30	30	20	16	12	11	30	10	5	15	4	2	3	4	4	3	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0
0.03	north14_active	80	1642	1667	2069	731	603	231	298	111	58	61	42	36	29	21	16	16	7	8	8	6	19	1	2	14	1	0	2	2	3	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0
0.03	north15_all	80	3661	2850	3188	1266	949	398	479	212	122	123	86	68	55	35	27	41	25	13	15	11	25	14	6	16	4	2	2	3	3	3	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	1632	1652	2039	719	622	219	298	125	52	70	43	36	22	19	11	23	15	7	9	5	14	6	2	13	0	0	0	3	3	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	3612	2891	3155	1269	952	393	491	224	110	110	86	68	46	40	32	44	22	13	15	9	24	14	8	11	4	3	3	4	2	2	1	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	1615	1709	2070	760	618	207	299	138	47	56	45	34	24	21	14	25	13	8	8	4	14	6	4	7	0	0	0	3	2	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	3648	2802	3078	1199	882	386	463	235	126	130	76	73	56	40	33	53	20	15	12	7	27	14	7	8	3	4	3	5	3	0	1	0	2	0	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0
0.03	north17_active	80	1651	1650	2059	729	564	205	290	145	57	66	39	38	28	19	14	29	12	10	4	2	20	7	3	2	0	1	0	4	3	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0
0.03	north18_all	80	3774	2831	3047	1138	926	414	505	239	129	136	79	62	56	43	39	50	17	18	12	10	26	14	3	7	3	7	5	5	3	0	1	0	1	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0
0.03	north18_active	80	1710	1679	2066	690	601	230	323	137	57	63	43	31	27	22	20	28	11	13	7	2	21	8	2	1	0	5	2	4	3	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0
0.03	north19_all	80	3811	2886	3058	1133	912	436	498	247	133	145	89	74	61	42	33	32	17	21	13	9	28	16	0	4	2	8	7	4	3	2	1	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0
0.03	north19_active	80	1708	1752	2037	685	623	246	320	136	62	69	45	37	25	20	18	13	11	13	5	2	22	11	0	0	0	6	3	2	3	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0
0.03	north20_all	80	3772	2997	3100	1133	923	426	486	243	118	154	83	75	57	34	34	25	20	13	11	12	35	17	2	8	2	7	5	5	1	2	3	2	2	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	1703	1825	2031	662	605	241	318	132	56	77	43	41	26	15	22	13	12	8	5	3	24	11	1	1	0	5	3	3	1	0	1	1	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	3756	2921	2816	1181	818	417	513	211	120	120	85	62	53	49	40	22	9	18	8	10	20	8	8	7	0	6	5	1	5	2	0	0	4	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south21_active	80	1683	1765	1772	720	500	230	319	133	56	51	47	23	26	17	20	10	5	5	3	5	17	1	2	4	0	1	3	0	1	1	0	0	4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	3736	2983	2893	1088	887	427	524	219	122	116	108	50	48	44	39	22	10	15	11	13	20	4	5	8	1	7	4	1	2	3	0	0	0	1	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0
