label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31
0.03	north1_all	80	697	320	150	114	119	41	16	26	47	28	7	13	4	2	4	1	0	2	1	8	1	0	1	2	1	0	0	1	0	0	0	0
0.03	north1_active	80	337	159	70	66	76	21	6	15	38	14	3	10	1	2	1	1	0	1	1	8	1	0	0	0	0	0	0	1	0	0	0	0
0.03	north2_all	80	677	330	155	122	121	42	19	24	56	28	8	16	4	6	2	1	0	0	0	8	2	0	1	2	1	0	0	0	0	0	0	0
0.03	north2_active	80	312	177	73	71	73	22	10	16	40	17	3	12	3	4	0	1	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	662	349	155	120	146	43	20	30	49	35	7	13	2	8	3	2	0	0	0	5	1	0	1	1	0	0	0	0	0	0	0	0
0.03	north3_active	80	296	188	76	74	99	25	10	18	29	23	4	10	2	3	1	2	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	685	365	167	147	149	46	23	31	67	26	4	13	3	9	3	3	1	0	0	3	1	1	1	1	0	0	0	0	0	0	0	0
0.03	north4_active	80	309	203	82	85	94	25	11	17	39	18	3	11	2	3	1	2	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	700	378	167	153	139	42	25	32	59	33	4	9	4	11	4	2	1	0	1	1	0	1	1	0	0	0	0	0	2	0	0	0
0.03	north5_active	80	329	197	77	92	82	20	11	19	35	21	3	7	2	3	3	1	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0
0.03	north6_all	80	716	366	170	143	112	46	24	28	60	43	8	14	2	6	3	1	2	1	1	1	0	1	0	0	0	0	0	0	2	0	0	0
