label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78
0.03	north1_all	80	48045	17934	9137	5078	6529	4545	3292	1579	1966	1753	811	779	552	861	538	433	464	202	228	131	156	169	116	101	84	104	107	50	33	30	62	34	22	17	23	27	19	15	9	9	3	10	4	7	1	3	3	3	8	4	4	1	0	1	0	3	4	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	28839	10380	4972	2561	4022	2715	1931	773	1149	1119	383	427	234	513	286	251	269	88	113	45	76	106	69	49	39	70	63	19	23	13	38	14	9	8	15	15	11	9	6	4	1	3	1	3	0	2	0	3	6	1	2	1	0	0	0	2	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	48023	17793	9284	5114	6433	4497	3169	1583	1926	1722	811	757	544	842	534	457	475	215	223	146	165	201	121	92	80	91	102	52	39	26	58	32	26	20	26	29	34	19	7	9	7	16	4	7	1	3	4	3	12	2	5	3	2	2	0	2	3	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north2_active	80	28794	10390	5058	2516	4001	2700	1862	750	1125	1070	378	415	241	503	284	261	290	86	117	53	84	120	60	40	33	54	66	25	25	12	35	16	11	10	17	15	16	14	4	4	1	9	0	5	0	2	1	3	5	1	3	2	1	0	0	1	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north3_all	80	49010	18049	9490	5105	6715	4535	3190	1607	2003	1792	785	756	533	861	532	445	450	207	233	151	165	228	152	80	76	96	90	59	42	26	43	28	35	16	19	32	33	25	9	7	7	14	5	11	1	4	6	8	11	2	7	4	3	2	0	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0
0.03	north3_active	80	29578	10661	5184	2492	4118	2695	1863	802	1163	1116	370	410	251	543	300	249	270	88	122	59	83	118	75	37	31	45	63	30	23	11	30	15	19	9	11	17	15	16	3	4	1	9	1	6	0	2	1	8	5	0	5	3	2	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0
0.03	north4_all	80	51366	18938	9911	5229	6828	4622	3255	1662	2081	1884	808	769	526	884	573	420	444	203	236	158	173	223	160	95	74	103	81	56	43	18	44	25	34	16	18	24	26	24	9	9	11	15	6	10	5	6	5	8	7	2	8	4	4	2	1	0	1	0	0	2	0	0	0	0	0	1	1	2	0	0	0	0	0	1	1	0	0	0	0
0.03	north4_active	80	31557	11280	5472	2589	4216	2773	1958	852	1219	1136	375	411	254	547	344	239	264	93	129	71	87	109	88	42	34	55	55	32	24	8	33	16	18	7	12	13	13	16	2	5	4	10	3	4	3	3	2	8	1	0	6	3	2	0	1	0	1	0	0	2	0	0	0	0	0	1	0	2	0	0	0	0	0	1	1	0	0	0	0
0.03	north5_all	80	53992	19662	10012	5321	7363	4761	3432	1690	2076	1957	827	811	558	919	629	437	461	191	242	175	176	221	160	82	68	118	80	54	36	18	44	43	30	14	21	21	21	23	6	11	7	12	7	7	5	6	7	7	3	3	8	2	3	0	2	0	1	1	1	2	0	0	1	0	0	1	1	2	2	0	0	0	0	1	1	0	0	0	0
0.03	north5_active	80	33607	11707	5569	2626	4610	2915	2073	840	1242	1226	401	440	259	544	382	249	277	98	141	89	93	121	97	40	29	69	52	32	19	11	26	29	15	6	11	10	9	11	1	5	3	7	3	2	3	4	3	6	1	1	6	2	1	0	1	0	1	0	0	2	0	0	1	0	0	1	0	2	2	0	0	0	0	1	1	0	0	0	0
