label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85
0.03	north17_all	80	54074	11934	6848	6846	3270	2703	3390	2890	2265	1207	1129	840	530	495	614	285	265	296	229	300	252	156	77	77	69	173	65	45	44	43	19	22	50	24	23	35	19	16	11	18	9	15	3	9	6	3	7	4	2	3	4	1	1	3	5	3	0	0	0	1	0	2	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	33594	5712	3180	3863	1478	1264	1948	1709	1360	649	623	450	270	253	357	121	114	172	125	175	160	76	33	42	35	129	43	22	23	24	9	10	36	16	14	31	13	10	5	9	2	9	2	2	0	3	7	1	0	0	2	1	0	0	4	3	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	52638	11810	6784	6787	3252	2628	3344	2874	2234	1221	1123	875	567	484	602	281	272	275	208	244	275	161	73	68	64	157	67	49	48	32	28	19	36	25	16	20	26	14	8	16	8	13	5	7	4	2	5	7	3	3	5	3	1	1	2	1	0	0	0	1	0	2	1	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_active	80	32535	5534	3091	3820	1501	1230	1931	1690	1350	641	635	469	275	223	362	127	111	163	110	139	172	76	31	30	29	117	43	29	24	14	13	8	25	19	11	16	19	8	2	8	3	9	2	1	0	2	4	5	0	1	3	2	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	51134	11649	6754	6736	3274	2525	3313	2820	2078	1213	1062	850	588	488	621	269	274	271	205	252	270	153	64	82	61	117	62	51	45	40	30	25	25	17	14	16	25	19	10	15	9	19	5	3	3	0	4	7	3	3	5	4	0	0	2	0	0	1	0	1	0	1	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_active	80	31477	5306	3053	3805	1484	1165	1950	1649	1238	636	604	436	281	231	390	117	123	140	111	144	153	72	29	29	35	82	38	26	25	16	15	14	14	12	7	11	17	10	2	7	4	16	2	1	0	0	2	5	0	1	3	2	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	49103	11434	6559	6552	3235	2494	3208	2752	1992	1183	994	792	622	468	600	270	263	274	220	252	252	145	64	85	63	116	65	51	54	39	31	23	26	18	13	17	23	22	10	14	10	16	3	2	3	0	5	11	4	1	3	4	0	1	1	0	1	1	0	0	0	3	1	1	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north20_active	80	29747	5170	2929	3678	1489	1171	1924	1628	1170	643	563	419	300	223	383	118	120	140	112	151	139	67	30	32	34	81	35	25	33	16	12	12	12	12	6	10	15	10	1	7	4	16	1	2	1	0	3	6	0	1	3	1	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south21_all	80	56090	12117	11719	7674	3769	3629	2448	2722	1963	1863	737	1258	589	491	340	363	478	424	226	174	185	137	187	222	70	98	73	55	40	29	39	24	37	23	17	13	24	17	9	16	9	8	7	5	7	5	1	1	0	4	2	1	2	0	0	0	4	3	0	0	1	2	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south21_active	80	35098	5729	6978	4520	1860	2016	1325	1741	1095	1129	341	764	307	254	136	180	297	279	102	88	98	88	117	148	29	52	33	24	26	14	22	11	28	14	8	4	16	13	5	6	4	4	2	2	5	2	1	1	0	1	1	1	2	0	0	0	3	3	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south22_all	80	56087	12100	11464	7728	3710	3603	2440	2829	1951	1875	735	1204	613	503	320	349	449	500	222	173	162	136	184	238	79	75	82	58	49	26	32	31	41	11	20	12	20	16	9	17	10	6	15	5	3	2	1	3	0	4	2	1	0	0	1	0	4	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south22_active	80	34853	5697	6793	4637	1850	2026	1318	1750	1111	1155	371	759	315	261	117	164	281	339	108	79	84	81	122	164	38	39	42	29	31	12	16	14	32	5	10	5	11	13	6	7	7	3	12	1	2	2	1	1	0	1	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
