label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152
0.03	south31_all	80	9235	3006	3014	2552	927	830	945	880	435	562	432	366	234	539	217	577	243	191	128	127	109	250	330	89	71	72	70	55	116	84	45	56	37	60	26	34	45	24	28	34	99	29	58	20	14	23	16	10	27	18	11	42	40	10	8	20	12	6	10	7	30	6	8	3	1	9	22	2	4	3	3	2	2	2	1	2	1	2	1	3	5	0	1	4	0	0	2	1	4	1	1	3	0	0	4	1	1	1	0	10	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	1	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0
0.03	south31_active	80	6686	1396	2299	2116	324	389	687	671	222	408	294	237	92	457	46	515	187	116	25	37	39	216	299	60	20	26	19	22	77	66	19	38	9	44	9	27	39	7	12	21	87	19	51	9	7	17	12	5	21	12	3	40	32	7	1	13	7	2	2	2	30	2	4	1	0	3	21	1	2	1	2	1	0	2	0	1	1	1	0	2	4	0	1	3	0	0	1	1	2	0	1	1	0	0	4	1	1	1	0	10	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south32_all	80	9264	3028	3074	2660	935	856	962	913	451	562	445	375	268	534	201	607	252	188	123	121	107	277	353	93	70	77	67	50	120	67	47	63	36	59	26	34	40	29	28	40	80	25	59	19	12	23	16	9	30	15	12	46	27	16	9	20	9	8	8	5	19	3	6	3	1	6	26	1	5	4	4	2	3	3	3	3	2	2	1	2	7	0	1	7	0	1	2	2	7	0	4	2	0	0	4	1	0	1	3	10	1	1	2	0	0	0	0	0	1	0	0	0	0	1	0	0	1	2	0	1	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south32_active	80	6782	1421	2380	2208	339	402	707	694	236	409	295	267	110	441	47	546	198	115	22	38	46	237	320	65	21	31	12	17	90	51	18	45	8	47	10	20	32	11	15	24	69	14	51	11	7	18	11	5	24	11	4	40	24	10	1	13	7	3	1	1	19	1	2	1	1	1	24	0	2	2	2	1	1	2	1	1	1	1	1	2	4	0	1	5	0	1	1	2	5	0	4	1	0	0	4	1	0	1	3	10	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	9088	3063	3058	2636	939	876	970	881	461	612	449	415	274	502	199	606	237	195	134	116	119	256	309	91	71	67	67	54	101	63	55	56	33	52	24	48	57	26	24	40	89	26	40	20	12	17	16	10	17	18	14	54	12	14	8	21	9	8	5	5	8	3	5	5	2	5	35	0	3	4	4	2	6	2	8	4	2	2	1	6	6	0	3	4	0	2	1	3	5	1	4	2	0	0	1	1	0	1	3	7	1	1	1	0	1	0	0	2	1	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	south33_active	80	6589	1442	2324	2153	336	438	714	670	242	473	277	288	123	407	47	548	183	128	25	32	53	216	279	58	20	34	13	27	79	51	22	33	9	42	6	32	50	10	13	23	83	16	31	9	7	10	12	2	13	13	4	49	11	9	1	13	8	3	0	1	8	0	3	1	1	1	33	0	1	2	2	1	5	0	4	1	1	1	1	6	4	0	3	3	0	1	0	3	4	1	4	1	0	0	1	1	0	1	3	7	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_all	80	9231	3036	3089	2663	938	834	924	853	502	661	427	422	254	510	215	614	263	197	133	120	120	263	355	110	70	71	64	66	93	76	65	69	35	70	32	58	58	31	24	35	78	31	45	27	12	18	20	15	23	14	18	47	16	15	5	17	5	8	2	7	11	3	6	7	2	6	32	1	4	8	5	1	5	3	8	4	5	2	1	6	3	0	3	4	2	2	2	3	4	1	3	3	0	0	1	1	0	1	3	1	2	3	0	1	1	1	0	4	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	south34_active	80	6688	1401	2358	2160	325	409	675	627	269	527	264	284	129	421	46	551	195	134	26	33	50	215	325	71	13	38	10	37	76	63	26	52	14	58	7	36	50	11	16	18	74	21	35	17	7	10	13	4	17	10	11	41	16	10	0	11	4	1	0	2	10	0	3	3	1	2	30	0	1	6	3	1	5	0	4	2	1	1	1	5	1	0	3	3	2	1	0	3	3	1	3	1	0	0	1	1	0	1	3	1	1	3	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south35_all	80	9202	2994	3042	2698	898	836	956	902	527	671	471	413	247	530	208	561	263	194	129	112	121	207	399	115	76	85	61	79	95	97	56	66	36	68	32	63	67	26	23	22	74	38	38	21	15	20	21	20	20	14	13	52	14	14	5	14	7	5	4	8	16	2	5	7	2	5	19	2	4	7	5	2	5	7	7	5	5	2	1	6	3	0	2	0	2	2	1	6	2	3	0	2	0	1	0	0	0	1	0	1	3	3	1	1	1	1	0	4	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	south35_active	80	6614	1405	2291	2228	291	418	710	675	279	539	323	252	127	453	42	502	188	134	29	34	51	163	368	76	21	41	12	46	80	82	22	53	15	53	5	40	59	9	16	9	69	25	26	14	9	13	14	6	16	10	8	50	14	11	1	11	4	0	1	4	14	0	4	3	1	2	19	1	1	5	3	2	5	1	4	3	1	1	1	5	2	0	2	0	2	1	0	6	0	3	0	1	0	0	0	0	0	1	0	1	1	3	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
