label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83
0.03	north1_all	80	2274	1030	748	425	606	323	273	164	158	484	419	134	69	59	56	53	40	41	25	31	24	18	17	15	12	47	120	5	6	9	9	4	10	3	6	0	3	4	3	2	2	20	2	3	5	4	4	0	0	0	0	1	0	1	1	0	0	4	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	1020	370	406	131	467	193	169	42	36	438	384	103	19	19	16	25	19	20	8	8	7	6	12	2	6	46	116	1	2	2	4	2	8	1	5	0	2	4	1	1	2	18	0	2	2	4	1	0	0	0	0	1	0	0	1	0	0	4	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	2272	1028	703	428	599	348	279	155	155	501	403	133	68	61	65	65	38	39	24	31	26	15	15	13	17	58	128	9	7	12	9	5	11	4	5	2	4	6	3	2	2	12	2	9	3	7	5	1	0	0	0	0	0	1	0	4	0	5	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	1017	360	365	115	447	218	180	34	30	461	368	98	22	21	12	36	19	19	7	10	8	4	10	2	6	54	125	2	1	3	4	2	7	1	4	1	2	5	1	2	2	11	0	2	1	7	3	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	2201	1018	687	407	561	377	269	136	146	511	342	126	75	62	64	63	36	41	25	27	26	16	13	17	17	44	82	12	10	8	11	5	8	4	5	3	3	7	4	3	2	9	0	7	1	7	5	1	0	2	0	0	0	1	0	4	0	5	0	0	0	0	0	0	0	0	2	4	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	939	331	342	110	396	231	165	31	24	464	297	88	23	20	16	38	16	18	5	8	8	3	7	2	7	37	81	4	2	2	7	2	4	1	4	1	1	4	1	2	2	8	0	1	1	7	2	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	4	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	2209	995	684	435	488	317	284	129	130	371	279	116	70	60	55	61	32	50	26	26	26	13	12	17	16	38	50	12	10	11	11	5	5	4	5	3	3	6	3	3	2	3	0	9	0	7	3	1	0	3	1	0	0	0	0	4	0	6	0	0	0	0	0	0	1	0	2	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	868	283	323	94	322	192	164	30	19	323	240	73	23	19	11	36	17	20	4	7	13	2	5	3	6	29	49	3	2	5	7	2	2	1	4	1	1	2	1	1	2	2	0	1	0	7	2	0	0	2	1	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	2184	983	675	431	457	317	253	135	129	266	265	105	80	60	57	49	34	43	30	24	26	10	8	12	12	24	28	15	11	7	13	3	2	5	3	3	2	7	4	2	2	2	1	3	0	5	2	2	0	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	810	278	312	87	269	191	138	31	23	226	220	60	20	20	14	27	14	17	7	4	13	2	3	1	5	17	28	3	3	4	8	0	2	2	2	0	0	3	0	0	1	2	1	1	0	4	1	1	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	2195	965	659	446	478	276	266	140	120	281	216	106	81	56	50	53	37	40	32	31	26	8	8	13	11	27	52	13	11	8	9	6	2	7	4	3	2	4	5	3	3	5	1	3	0	5	1	4	1	4	5	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	781	274	300	77	306	159	148	28	20	245	180	64	23	19	17	28	18	13	10	6	13	2	4	2	6	21	51	1	4	4	3	1	1	1	2	0	0	1	2	1	1	5	1	1	0	4	1	4	1	3	5	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	2175	983	684	458	510	301	286	156	135	367	308	118	79	63	43	48	43	28	40	27	32	13	9	9	9	20	79	10	11	3	10	7	3	7	9	2	3	6	6	2	5	5	2	1	1	3	2	5	1	2	5	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	826	306	337	102	347	187	182	31	27	332	272	76	17	23	15	25	19	10	15	5	15	4	5	1	3	16	76	0	4	1	3	1	2	1	7	0	0	2	3	2	3	5	2	0	1	2	1	5	1	2	5	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	2243	1017	702	480	557	271	311	153	121	477	368	111	70	65	42	53	45	31	33	28	33	17	11	9	8	28	91	4	13	4	8	6	2	5	11	3	3	5	8	2	4	5	2	0	2	0	1	4	1	5	6	0	0	1	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
