label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76
0.03	north1_all	80	3543	2779	1134	740	681	674	1107	452	396	623	327	302	99	78	98	70	39	44	30	49	112	48	38	25	24	14	13	10	11	16	8	5	8	5	8	25	9	6	2	1	3	3	0	2	4	2	4	0	0	1	1	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north1_active	80	1569	1651	576	339	354	402	727	268	246	425	222	201	33	34	55	32	18	19	18	31	73	27	18	15	12	6	5	4	3	9	6	4	4	3	6	10	4	3	1	0	3	3	0	2	2	0	2	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north2_all	80	3473	2772	1166	784	647	661	1108	445	388	618	345	294	100	74	101	77	48	44	39	43	110	53	41	24	20	16	8	9	12	16	9	6	5	7	6	27	6	5	2	0	2	2	0	3	3	0	3	0	0	0	0	1	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north2_active	80	1552	1665	591	357	333	400	736	254	246	408	228	197	39	28	58	36	19	17	21	25	68	29	26	14	7	8	3	1	6	8	6	4	3	3	4	11	1	2	1	0	2	2	0	3	1	0	2	0	0	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_all	80	3513	2752	1150	814	632	703	1134	468	379	599	331	301	105	80	90	95	60	43	33	45	112	46	43	23	27	23	11	5	11	18	10	5	5	4	6	11	4	6	3	3	0	2	1	4	2	1	2	0	0	0	11	5	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
0.03	north3_active	80	1579	1662	600	379	339	428	720	278	254	397	215	204	46	28	47	49	21	16	17	24	75	26	29	14	10	14	7	1	7	8	4	1	2	1	4	9	2	2	2	3	0	2	0	3	0	1	1	0	0	0	0	5	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_all	80	3486	2861	1124	808	622	711	1155	442	363	565	324	294	113	70	81	89	64	39	37	47	93	56	38	19	27	19	13	7	11	15	9	5	6	5	3	20	5	4	3	3	3	2	2	2	2	1	0	0	0	0	11	5	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north4_active	80	1576	1726	558	401	346	420	739	271	245	356	214	198	57	26	46	47	26	11	19	24	62	33	30	10	12	12	8	4	7	8	3	0	4	1	1	17	3	1	1	3	3	2	1	1	0	1	0	0	0	0	0	5	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	3549	2821	1132	770	657	741	1124	474	413	548	290	305	117	75	85	74	70	41	34	44	93	61	33	21	35	15	16	8	10	19	9	7	7	3	6	14	6	4	2	3	5	2	3	2	1	1	0	0	0	0	11	4	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0
0.03	north5_active	80	1628	1702	548	387	359	441	722	291	278	343	189	203	62	26	47	38	34	12	18	25	63	39	24	8	22	9	8	5	6	7	4	0	5	1	2	11	4	2	1	3	4	2	1	1	0	1	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north6_all	80	3517	2892	1106	784	689	678	1041	464	417	563	299	309	113	60	101	64	67	45	37	45	118	65	38	20	30	11	17	14	13	19	7	7	9	3	8	14	5	4	5	2	6	6	3	3	3	0	1	0	1	0	11	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
