label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88
0.03	north1_all	80	24936	4882	2914	2276	1962	1540	943	1811	628	472	493	675	382	213	287	253	185	128	88	106	137	105	109	61	83	59	44	45	41	69	15	20	15	6	14	28	7	6	10	6	8	3	19	11	9	2	3	5	0	3	1	0	2	0	3	0	4	1	0	1	1	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	21215	1895	880	1201	1322	1040	429	1596	316	209	352	554	245	80	207	202	124	38	19	42	111	77	85	44	65	34	8	33	16	60	4	14	7	1	10	22	1	3	5	5	3	1	17	10	9	0	3	1	0	1	0	0	0	0	1	0	4	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	24587	4821	2857	2245	2004	1562	962	1848	627	482	524	693	376	198	272	267	185	133	88	102	129	97	98	71	77	55	38	53	46	76	23	14	17	7	15	29	2	6	8	5	7	10	13	6	12	4	5	4	1	3	0	1	1	0	1	1	4	1	1	1	1	1	0	3	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	20858	1884	846	1175	1339	1082	447	1622	304	200	367	574	232	73	188	209	130	34	19	46	106	70	76	55	55	29	10	38	16	69	8	10	6	1	12	23	0	3	3	4	2	4	13	5	12	1	5	0	0	2	0	0	0	0	0	0	4	1	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	24393	4843	2837	2202	2052	1658	1005	1842	617	483	540	707	356	199	271	307	189	133	86	95	132	90	98	84	77	49	35	42	37	68	28	17	13	8	20	33	2	4	5	5	8	12	15	6	11	6	6	3	1	3	1	2	1	1	1	1	4	2	1	1	1	0	0	3	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	20777	1905	848	1149	1365	1131	474	1617	308	200	366	601	226	71	193	248	122	36	21	46	102	65	78	67	52	28	8	29	14	63	8	12	5	2	14	30	1	0	2	3	2	6	15	5	11	2	6	0	0	2	0	1	1	1	0	0	4	2	1	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	23740	4814	2864	2236	2047	1601	992	1857	584	466	548	647	353	211	283	329	199	121	86	92	149	105	98	87	73	43	36	33	30	84	31	14	14	6	18	28	4	5	5	7	9	9	5	4	10	8	6	2	2	3	2	3	1	3	1	1	2	2	1	1	0	1	0	1	0	0	2	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	20158	1851	862	1127	1336	1103	464	1634	280	197	362	555	203	64	201	268	133	32	22	44	115	78	77	71	49	29	7	24	10	77	11	9	6	2	11	25	1	1	2	2	2	5	5	3	9	3	5	1	0	2	1	1	1	2	0	0	2	2	1	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	24090	4903	2869	2250	2011	1687	976	1809	563	455	519	627	349	214	305	340	222	112	84	94	150	102	118	64	75	44	34	28	25	74	27	28	12	8	24	31	7	10	6	7	6	7	10	3	5	5	7	2	1	0	2	4	1	3	1	0	2	3	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	20499	1854	900	1127	1305	1172	468	1578	264	195	340	539	189	66	217	276	153	32	19	43	115	69	98	50	49	34	6	16	10	63	9	20	5	2	18	27	4	4	3	3	1	2	10	3	4	2	6	1	0	0	1	1	1	2	0	0	1	3	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	24259	4933	2838	2275	2031	1684	942	1850	577	462	510	680	357	217	290	297	212	107	89	94	163	112	113	53	81	44	31	30	26	77	19	26	14	11	16	32	6	11	7	9	8	3	14	2	3	5	6	2	3	0	2	2	0	2	0	0	2	3	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
0.03	north6_active	80	20653	1846	877	1135	1322	1168	451	1604	259	210	340	585	188	64	215	233	148	30	17	41	133	75	93	40	54	34	6	18	12	64	6	20	4	4	12	29	4	5	4	4	3	0	12	2	2	2	5	1	1	0	1	0	0	1	0	0	1	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	24944	4920	2730	2204	1985	1627	933	1813	594	450	542	696	366	223	304	282	199	109	92	101	139	106	134	62	77	43	31	31	26	70	17	24	19	16	22	19	10	10	6	10	4	4	16	3	3	3	5	2	4	0	1	1	0	0	4	0	5	3	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north7_active	80	21284	1857	820	1088	1299	1115	435	1588	274	210	361	581	207	71	233	217	143	31	19	39	113	65	109	41	57	34	8	18	11	55	4	18	3	6	19	16	5	4	3	3	2	1	14	2	2	0	5	1	2	0	0	0	0	0	4	0	4	3	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	24969	4885	2721	2151	1982	1648	926	1833	617	447	549	707	353	222	296	251	203	112	102	97	130	103	112	78	69	45	34	37	26	53	17	17	16	18	20	23	10	11	4	8	8	2	21	4	6	5	5	4	5	1	2	0	0	0	5	0	4	7	1	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north8_active	80	21267	1821	812	1056	1336	1131	435	1620	294	195	360	599	210	75	228	184	144	34	26	44	102	70	90	53	52	28	12	23	11	39	4	12	1	8	15	23	3	4	3	2	3	1	18	2	5	0	5	0	4	1	1	0	0	0	4	0	4	6	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
