label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92
0.03	north1_all	80	20938	4713	3841	3220	1353	1623	1622	1418	940	1106	457	288	245	319	316	156	128	252	137	139	151	94	59	50	60	46	51	85	32	28	64	34	46	22	16	15	15	7	7	9	16	8	5	24	6	3	10	3	7	5	2	11	2	2	2	0	5	8	1	1	0	0	2	1	1	0	1	1	0	1	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0
0.03	north1_active	80	17437	1993	2676	2445	398	1150	1279	1172	695	950	269	87	86	212	224	43	32	212	46	90	128	55	18	25	23	15	32	76	12	3	60	26	37	8	6	6	7	3	3	1	13	5	3	21	0	3	8	2	7	1	1	10	1	1	2	0	5	8	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north2_all	80	20220	4649	3755	3067	1331	1562	1503	1389	891	1083	436	298	252	304	301	166	135	236	143	145	165	87	60	52	50	46	63	87	29	30	60	29	58	18	19	15	13	4	11	8	19	5	5	16	8	6	9	3	4	5	2	6	1	1	2	1	5	0	0	1	2	0	2	1	1	0	2	1	1	0	0	0	0	0	2	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0
0.03	north2_active	80	16611	1977	2529	2295	384	1082	1170	1133	651	922	263	87	81	195	205	40	33	191	49	97	135	47	20	23	14	14	37	75	14	4	56	20	48	6	4	7	5	3	8	0	14	2	2	12	0	5	9	2	3	1	1	6	1	0	2	0	5	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north3_all	80	20370	4663	3785	3086	1343	1583	1386	1281	887	1045	409	311	275	320	293	174	138	222	131	128	160	83	62	57	50	44	56	91	30	32	48	25	51	23	19	12	16	10	15	8	11	4	5	17	6	11	4	2	2	4	1	3	4	0	0	2	3	3	1	4	3	0	0	1	1	0	1	1	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	16651	2008	2491	2339	380	1075	1077	1037	644	879	245	89	86	204	199	40	45	170	43	89	124	46	18	24	14	13	28	76	15	5	43	15	44	6	4	5	7	4	11	2	5	2	2	15	0	9	4	2	0	0	0	3	2	0	0	0	3	3	1	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	20464	4656	3858	3183	1366	1598	1402	1359	877	1044	391	326	280	308	307	179	159	221	112	124	179	76	67	58	51	47	57	75	30	34	43	27	46	26	18	15	18	10	16	6	12	11	6	19	6	9	6	1	4	5	1	3	4	0	0	2	3	3	2	8	4	1	2	1	2	0	2	1	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	16777	2047	2560	2430	378	1086	1106	1131	648	870	223	97	88	189	215	42	51	170	41	80	136	42	17	25	13	10	29	57	14	6	36	19	37	7	3	6	8	3	13	2	7	4	3	17	3	6	6	1	2	1	0	3	2	0	0	0	3	3	1	6	1	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	21595	4749	3936	3283	1343	1613	1483	1488	877	1004	404	331	281	332	339	185	178	226	107	140	178	78	68	62	52	46	56	67	38	29	49	30	39	25	16	19	16	11	16	7	7	11	6	19	5	8	7	1	8	4	1	0	5	2	1	1	0	4	2	7	3	1	3	1	2	1	2	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	17981	2166	2681	2570	385	1103	1194	1254	666	842	236	103	93	198	250	49	55	174	33	97	146	46	20	30	17	11	31	48	18	6	40	21	30	10	3	8	12	3	11	3	4	4	3	17	3	6	7	1	5	1	1	0	2	2	0	0	0	4	1	6	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
