label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93
0.03	north1_all	80	7723	3578	2321	2332	1120	961	1611	788	645	334	352	515	263	233	280	127	92	115	76	84	94	107	84	46	94	45	31	26	48	35	21	30	13	17	20	9	7	21	11	5	8	11	2	13	4	10	4	4	4	3	3	1	1	2	1	0	0	1	0	0	4	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north1_active	80	3295	1490	1040	1381	459	447	1235	480	365	137	173	373	150	108	189	45	31	55	29	45	53	58	50	25	77	26	16	7	34	21	10	14	8	6	8	5	5	13	6	2	3	4	1	10	1	9	2	2	1	2	3	1	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	7687	3497	2173	2269	1135	974	1453	804	619	342	351	449	249	220	221	138	92	112	75	82	101	84	77	44	95	35	25	30	47	25	21	30	12	25	28	8	10	23	15	5	8	10	2	9	5	13	5	3	4	2	1	0	1	3	1	0	1	2	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	3175	1394	908	1284	464	456	1054	488	342	132	180	295	139	93	140	52	30	54	25	39	50	43	42	25	71	21	11	10	25	10	14	14	5	13	15	3	8	14	9	2	3	5	1	6	0	12	3	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	7519	3543	2200	2226	1117	948	1356	797	565	334	356	430	244	190	211	118	93	127	76	86	109	82	73	40	86	36	30	29	45	37	19	31	9	19	25	7	14	17	11	5	8	6	5	6	3	6	3	1	4	2	1	0	3	3	0	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	3056	1406	912	1230	459	441	954	473	313	129	170	267	129	78	113	44	31	60	27	37	61	42	39	20	62	21	10	12	28	21	12	17	2	10	11	3	11	9	9	2	5	2	1	4	0	6	2	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	7757	3530	2278	2252	1138	955	1503	820	556	317	382	495	262	193	265	128	97	126	70	92	115	78	87	49	97	41	29	27	62	40	18	33	13	22	20	7	13	11	13	3	10	8	7	13	4	6	5	2	4	3	1	1	2	2	1	2	1	2	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	3157	1401	972	1302	464	451	1128	507	327	124	210	339	133	81	157	47	34	62	28	32	79	39	40	20	70	24	9	13	47	27	11	18	3	11	9	2	10	5	10	2	8	4	2	6	1	5	3	0	1	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	7919	3637	2350	2275	1160	956	1710	856	600	305	408	537	288	202	292	119	96	140	78	109	127	87	100	45	105	40	31	28	87	42	18	36	13	26	17	8	10	13	15	8	9	5	7	13	6	4	5	3	2	4	4	1	2	0	2	2	2	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
0.03	north5_active	80	3239	1496	1053	1395	477	487	1372	540	353	117	228	388	172	95	178	38	34	71	31	40	91	44	49	16	85	23	13	13	75	29	10	23	4	12	7	2	7	5	10	6	7	3	2	4	3	3	2	0	1	2	1	0	0	0	1	2	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
