label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66
0.03	south23_active	80	12037	3835	3947	2382	3674	3695	1103	1070	565	2099	416	359	941	576	319	273	53	31	42	310	47	154	139	27	34	10	18	12	20	68	20	3	8	7	18	13	1	1	9	4	11	1	0	0	0	0	0	0	8	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	32389	13811	8643	5612	5330	4679	2248	1892	1285	2243	832	708	1093	711	447	381	211	159	143	372	104	199	146	51	69	32	47	26	31	54	28	8	9	7	16	13	5	4	8	7	11	2	2	1	2	7	0	1	4	0	10	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
0.03	south24_active	80	12040	3839	3964	2391	3652	3564	1117	1123	541	1958	410	373	932	534	313	284	48	31	42	332	50	156	124	21	49	9	23	9	17	50	15	2	7	4	13	10	2	1	8	5	9	0	0	0	0	7	0	1	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	32555	13707	8741	5543	5482	4759	2208	1869	1249	2277	795	739	1028	715	463	393	200	149	167	348	106	184	172	52	79	38	46	26	30	63	28	6	16	6	15	13	6	5	0	6	12	5	3	2	0	7	0	13	3	0	10	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
0.03	south25_active	80	12149	3810	3861	2369	3741	3652	1125	1121	514	1979	393	405	866	559	329	303	42	36	53	305	55	141	146	17	59	6	19	10	16	54	15	1	15	3	11	11	2	1	0	3	9	2	1	1	0	7	0	13	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_all	80	32605	13643	8727	5643	5414	4807	2249	1834	1243	2245	786	691	996	684	479	384	205	159	167	298	103	156	156	57	82	34	45	20	33	65	18	8	24	8	17	12	5	3	2	6	7	5	2	1	0	7	0	14	3	0	10	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0
0.03	south26_active	80	12110	3781	3931	2360	3646	3727	1115	1099	485	1947	411	388	826	546	331	284	46	39	57	263	54	130	124	19	66	4	21	8	17	55	7	0	21	2	15	10	2	1	2	2	4	2	1	1	0	7	0	14	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_all	80	32684	13642	8686	5638	5550	4692	2289	1778	1241	2247	834	687	913	685	497	378	209	157	171	297	114	136	187	63	84	36	35	24	30	80	15	10	26	10	21	14	3	3	3	5	7	8	3	1	0	5	0	14	0	0	0	0	0	0	2	1	1	0	0	0	0	1	0	0	0	0	0
0.03	south27_active	80	12275	3720	3861	2297	3724	3616	1102	1020	511	1969	445	353	753	561	352	257	49	45	63	257	67	107	154	21	64	6	20	12	18	68	8	2	22	2	18	9	1	1	2	1	5	4	2	1	0	5	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_all	80	32708	13651	8579	5636	5411	4620	2237	1837	1303	2232	860	710	894	681	510	371	201	173	140	307	108	133	193	68	82	35	31	24	28	68	20	14	37	14	21	8	6	1	3	5	8	6	6	2	1	0	0	14	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south28_active	80	12308	3718	3906	2330	3676	3587	1058	1057	577	1963	452	363	742	559	360	235	42	46	57	269	57	102	157	27	66	8	15	13	16	57	12	3	33	3	17	3	3	1	2	2	8	4	4	1	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_all	80	32820	13670	8451	5525	5223	4659	2223	1861	1284	2185	877	710	901	663	474	404	212	187	148	287	111	143	161	63	77	37	32	28	28	74	20	14	38	10	19	9	7	1	1	3	7	5	5	1	1	6	0	3	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0
0.03	south29_active	80	12398	3680	3754	2292	3559	3601	1037	1051	581	1913	456	381	752	537	338	245	46	47	55	250	52	114	132	30	57	14	15	16	14	64	11	4	33	3	13	3	3	0	0	1	7	3	3	0	0	5	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south30_all	80	32652	13560	8401	5452	5268	4729	2136	1927	1260	2097	804	675	975	715	508	411	219	183	147	289	112	144	128	67	95	37	43	41	34	59	17	13	39	8	14	6	8	1	2	2	5	5	4	1	2	6	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south30_active	80	12170	3711	3736	2297	3640	3689	996	1077	576	1834	409	372	828	576	350	260	56	40	55	261	57	120	106	29	76	14	18	20	17	52	9	2	35	4	9	2	4	0	1	1	4	4	2	0	1	5	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south31_all	80	32426	13600	8631	5428	5107	4770	2177	1856	1255	2442	791	671	899	723	514	375	189	168	143	293	102	146	135	69	82	29	27	32	22	44	24	15	52	9	16	6	4	5	45	7	15	4	10	4	0	26	3	0	6	1	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0
0.03	south31_active	80	12090	3622	3841	2310	3383	3737	1050	1070	569	2134	372	353	741	556	369	286	43	26	46	260	37	119	111	34	67	6	10	19	10	39	17	7	50	3	11	4	2	3	44	6	14	3	4	1	0	25	2	0	4	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0
0.03	south32_all	80	32325	13581	8676	5531	5070	4734	2224	1841	1258	2363	795	674	1014	734	487	351	190	165	152	320	118	162	126	57	62	35	27	37	28	40	18	13	33	7	19	6	4	5	50	4	10	4	10	2	0	25	3	2	4	2	0	0	0	0	1	2	0	0	2	0	0	0	0	0	1	0	0
0.03	south32_active	80	12141	3636	3882	2317	3390	3749	1103	1076	560	2084	375	372	851	564	354	267	43	29	40	289	41	140	99	28	44	8	10	23	14	35	12	8	28	3	17	3	2	3	50	3	9	3	4	1	0	25	2	1	2	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0
