label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131
0.03	north1_all	80	5527	4935	1842	1108	1879	877	479	406	399	1247	287	217	220	381	155	156	122	103	179	249	78	105	63	60	53	55	45	41	41	30	73	34	122	25	26	28	17	44	17	14	13	18	11	17	8	8	8	7	4	5	21	4	7	4	11	1	7	2	2	4	3	2	4	2	1	2	1	5	0	1	5	0	0	6	1	2	1	1	4	4	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0
0.03	north1_active	80	2941	4040	1097	514	1560	580	160	78	176	1156	106	88	96	329	85	76	38	27	136	212	20	76	27	35	29	22	15	25	20	12	60	16	116	15	14	11	5	40	6	5	3	15	4	10	2	3	1	1	0	3	17	2	2	2	6	1	4	1	2	0	1	1	0	1	0	2	1	4	0	0	4	0	0	6	0	1	1	1	4	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
0.03	north2_all	80	5588	4759	1792	1077	1851	855	479	406	386	1281	306	207	211	380	170	167	111	93	154	236	74	88	64	56	47	50	41	47	47	37	58	31	108	24	26	32	17	66	19	12	19	18	10	11	10	10	10	8	5	4	23	7	5	5	9	0	6	3	3	4	3	3	6	2	1	3	3	1	0	3	1	0	0	5	2	3	0	1	4	4	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0
0.03	north2_active	80	3004	3922	1049	487	1535	555	160	73	153	1190	104	96	94	335	94	77	32	31	110	203	22	58	32	29	27	16	9	31	25	10	47	17	100	16	16	13	6	59	8	5	4	16	3	8	2	6	3	1	0	3	19	2	2	2	5	0	4	1	3	0	0	1	1	1	0	3	2	1	0	1	1	0	0	5	0	1	0	1	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north3_all	80	5599	4773	1796	1080	1812	857	497	393	376	1400	302	216	213	403	168	164	115	100	157	223	76	86	60	65	51	48	44	45	44	40	74	26	110	21	29	33	18	73	18	14	19	17	9	8	9	12	9	7	5	5	24	6	4	8	6	1	5	7	1	5	6	2	5	1	0	4	3	3	0	4	0	0	3	4	3	2	0	1	4	5	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	2	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0
0.03	north3_active	80	3030	3930	1092	490	1506	559	175	76	144	1303	105	107	92	354	99	69	36	38	108	195	24	62	30	36	27	16	11	30	21	8	63	15	105	15	21	11	7	62	5	4	5	13	6	7	3	8	4	1	0	3	20	1	1	2	4	1	3	3	1	0	0	1	1	1	0	4	2	3	0	2	0	0	3	4	0	0	0	1	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_all	80	5663	4830	1791	1109	1706	874	484	396	371	1442	293	240	199	397	164	143	122	92	164	227	71	120	73	65	55	38	48	43	31	39	67	24	90	24	30	36	21	74	19	10	16	18	10	17	10	15	8	9	5	5	19	8	5	5	6	3	2	7	1	4	7	2	6	1	0	3	7	2	0	3	1	0	3	2	2	2	2	2	1	1	2	2	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	4	0	0	1	0	0	1	0	0	0	0	0
0.03	north4_active	80	3059	3965	1078	510	1428	569	165	75	156	1352	106	108	92	349	96	57	33	33	124	202	22	89	37	31	28	14	12	25	14	9	58	16	80	21	18	18	6	60	6	3	5	14	6	16	3	9	3	3	1	3	17	3	2	0	3	3	0	4	1	0	1	1	3	1	0	3	6	2	0	2	0	0	3	2	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	4	0	0	1	0	0	0	0	0	0	0	0
0.03	north5_all	80	5633	4913	1792	1125	1666	827	515	408	346	1459	280	233	201	410	153	135	121	97	179	231	62	126	72	62	59	35	43	44	31	35	63	30	99	30	24	34	20	63	15	14	10	18	11	19	12	14	8	11	4	5	17	4	6	4	4	3	3	7	0	4	7	2	5	1	0	5	9	3	0	4	1	1	6	1	3	2	2	2	1	3	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	4	0	0	1	0	0	1	1	0	0	0	0
0.03	north5_active	80	2999	4034	1088	503	1392	540	172	89	149	1372	114	111	91	353	85	49	31	33	138	209	18	98	34	31	29	16	10	25	13	7	56	21	89	17	15	16	5	47	5	5	4	11	7	19	4	7	3	5	1	2	16	2	3	0	1	3	0	4	0	0	2	1	3	1	0	5	8	2	0	2	0	1	5	1	0	0	2	2	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	4	0	0	1	0	0	0	1	0	0	0	0
