label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108
0.03	north6_all	80	1400	754	450	266	409	178	133	120	110	114	82	79	60	105	50	27	31	32	43	34	23	25	18	26	28	14	12	17	8	9	11	8	10	22	6	3	1	6	6	5	5	8	0	3	1	1	4	5	3	2	3	1	1	4	0	5	3	2	1	0	1	1	0	1	0	1	1	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
0.03	north6_active	80	675	366	234	115	244	83	74	55	57	63	46	42	32	60	20	11	16	16	27	18	12	13	6	16	13	8	5	9	4	3	8	2	6	18	5	2	0	4	2	3	2	5	0	1	1	1	4	2	2	1	0	1	1	1	0	2	3	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	1532	834	478	273	492	199	138	133	121	125	82	101	51	124	50	40	35	33	46	27	20	30	23	29	31	12	12	18	9	11	15	9	10	25	7	4	2	4	7	3	4	8	0	2	5	4	5	5	0	1	5	1	0	4	0	3	4	1	1	0	0	12	0	0	1	1	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
0.03	north7_active	80	767	433	258	120	307	100	70	70	61	67	41	59	22	72	25	17	18	18	37	13	11	17	13	17	10	6	4	10	2	5	9	5	6	19	4	1	0	3	3	3	2	5	0	0	4	2	4	4	0	1	4	1	0	1	0	2	4	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	1639	877	490	249	540	206	153	138	124	127	83	110	44	138	55	42	36	39	52	35	25	28	25	30	31	17	13	24	11	10	15	6	9	27	4	6	5	2	8	4	5	8	0	2	6	3	6	10	0	0	5	1	0	3	0	1	4	2	5	1	0	14	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north8_active	80	852	467	261	116	345	109	77	72	66	79	39	69	18	74	30	20	19	17	45	20	16	14	19	22	8	8	6	13	4	4	9	5	4	19	2	2	0	1	3	3	2	5	0	0	4	1	3	6	0	0	4	1	0	1	0	1	4	2	4	1	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	1731	905	538	246	651	206	151	140	146	133	99	106	42	165	55	47	35	37	63	38	26	30	34	36	34	16	12	19	19	10	17	8	8	30	7	8	8	3	4	8	4	2	1	2	7	3	5	8	0	0	5	0	0	1	0	2	1	1	4	1	1	17	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0
0.03	north9_active	80	940	496	285	113	454	111	72	72	81	80	51	68	18	94	35	21	15	14	53	23	13	15	25	24	14	6	6	10	13	6	8	6	2	19	3	2	2	2	1	4	2	0	0	0	5	1	1	5	0	0	5	0	0	1	0	2	1	1	4	1	1	5	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
0.03	north10_all	80	1646	866	527	257	673	196	144	129	128	148	106	100	45	133	63	39	31	37	66	44	24	29	30	32	29	17	11	15	18	15	9	7	9	33	5	6	8	3	4	12	8	2	1	2	5	1	5	9	0	0	2	0	0	1	0	1	1	2	5	3	1	28	2	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	3	0	0	0	0	1	0	0	0
0.03	north10_active	80	880	470	276	132	417	103	65	54	73	93	59	63	21	87	40	17	14	16	49	25	12	16	19	20	12	7	5	5	13	7	4	5	1	14	2	2	3	2	1	4	5	0	0	0	3	0	0	4	0	0	2	0	0	1	0	1	1	2	5	2	1	16	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	1	0	0	0
