label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140
0.03	north1_all	80	6323	2335	2442	1340	914	533	574	792	518	495	270	308	221	317	145	119	191	200	89	133	89	80	58	73	75	45	44	44	45	79	31	25	64	83	24	15	36	26	21	27	25	23	17	16	30	17	19	10	28	14	9	14	2	8	16	12	8	2	9	5	3	2	0	2	2	1	6	6	3	2	2	2	3	1	0	1	1	3	3	2	3	0	0	3	0	1	0	2	1	0	0	1	1	0	1	0	0	0	0	0	2	0	1	1	1	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north1_active	80	3551	1159	1440	789	525	252	312	495	310	317	134	203	121	186	67	55	125	113	41	62	43	43	24	33	46	17	22	19	29	44	17	9	49	50	17	5	22	13	11	17	16	11	9	9	21	9	9	2	19	7	5	12	1	2	8	7	7	1	5	3	1	1	0	0	1	0	4	2	1	1	0	0	1	1	0	0	1	1	1	1	2	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north2_all	80	6279	2304	2398	1329	897	558	576	711	499	470	275	313	227	307	158	121	216	201	109	134	86	68	59	78	80	46	52	58	41	61	41	31	59	79	24	19	42	21	23	31	25	17	14	25	36	21	14	8	26	17	9	10	4	14	13	8	7	2	5	4	5	4	1	3	2	2	5	10	2	4	1	1	2	1	0	2	1	1	3	4	3	0	0	2	0	1	0	2	1	0	1	1	1	0	0	0	0	0	0	0	2	1	1	1	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
0.03	north2_active	80	3509	1150	1423	794	513	253	314	429	280	290	129	192	110	188	73	51	137	119	50	64	46	33	24	38	50	21	28	29	27	37	18	12	42	45	15	10	22	11	13	21	16	10	6	15	28	12	4	2	16	7	5	9	1	7	8	3	4	1	3	2	2	2	0	0	1	1	3	3	0	3	0	0	0	1	0	0	1	1	1	3	2	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north3_all	80	6341	2229	2401	1374	929	572	565	757	509	453	275	343	214	328	162	129	202	194	109	122	95	73	66	73	81	53	41	60	38	93	45	34	57	79	23	20	45	28	25	34	25	13	9	22	39	28	12	12	18	12	7	7	4	21	14	8	5	3	1	3	4	7	4	2	2	3	4	7	3	4	2	1	3	1	1	3	4	0	4	3	3	0	0	2	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	3	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
0.03	north3_active	80	3546	1118	1464	824	524	244	282	455	289	276	136	210	115	198	77	51	118	117	52	60	49	39	28	35	51	27	22	27	22	65	18	16	36	47	16	14	21	16	13	25	13	9	2	14	36	21	2	5	7	4	3	5	1	15	9	5	2	0	1	2	2	6	2	0	1	1	2	2	1	3	1	0	1	1	0	1	3	0	2	3	2	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north4_all	80	6533	2312	2491	1475	928	563	575	866	530	490	266	343	214	318	166	142	214	189	115	106	106	78	56	67	76	49	55	62	27	111	39	32	65	67	18	18	53	34	25	38	21	21	7	26	37	31	11	8	17	8	6	13	8	21	12	16	4	3	2	2	4	9	6	1	3	2	2	5	4	4	1	1	4	2	1	4	4	1	5	2	2	0	1	2	7	0	0	0	1	0	1	0	0	0	1	0	0	0	0	2	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
0.03	north4_active	80	3682	1156	1556	861	530	250	308	552	310	317	122	206	106	195	77	64	131	118	56	46	58	39	26	35	48	25	23	28	14	82	12	17	44	38	12	13	27	19	13	25	11	16	2	18	32	23	2	3	9	4	4	11	2	19	8	5	2	0	2	1	2	7	4	0	1	1	1	2	2	3	1	0	1	1	0	2	3	1	1	2	1	0	1	2	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north5_all	80	6712	2350	2560	1526	970	552	590	904	569	484	254	318	209	322	158	127	250	190	122	105	100	86	69	68	80	58	56	59	27	138	41	33	80	71	17	16	51	29	27	44	21	30	9	30	35	28	20	7	19	10	5	9	9	17	11	29	4	3	1	2	2	15	8	2	5	2	4	3	3	2	3	2	4	3	2	5	5	1	5	2	2	0	1	0	7	0	0	0	1	0	1	1	4	0	2	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	3836	1173	1587	879	553	252	324	598	350	304	120	191	108	192	75	53	160	120	64	46	61	39	35	38	46	27	26	31	11	98	12	17	53	41	10	12	26	15	14	28	9	17	5	18	26	21	8	4	14	6	2	7	3	16	6	18	3	0	1	1	2	14	5	1	1	0	4	2	2	1	1	1	1	1	0	3	3	1	2	1	2	0	1	0	6	0	0	0	0	0	0	0	4	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
