label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142
0.03	north1_all	80	24280	7809	2914	3743	3047	3016	1145	1021	736	1139	544	465	499	363	310	300	358	486	235	205	174	186	253	197	123	319	94	88	106	75	90	62	56	64	51	69	39	101	32	36	50	20	38	47	40	21	37	23	14	18	15	8	10	15	10	19	15	17	8	6	8	13	14	9	6	10	8	5	5	5	2	1	6	1	1	2	4	4	2	2	5	3	2	5	1	1	1	0	2	1	0	1	0	1	1	0	2	0	3	3	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	20890	6033	1003	2960	2426	2569	554	563	303	911	197	154	328	116	94	110	254	401	153	86	90	113	197	144	53	281	42	36	58	36	56	35	14	24	29	46	5	85	8	22	39	6	26	43	26	5	30	13	3	5	6	2	7	7	2	14	12	14	5	2	5	11	11	5	3	9	6	4	5	4	1	1	5	0	1	0	1	0	1	1	1	1	1	2	0	1	1	0	1	1	0	1	0	0	0	0	0	0	3	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	24003	7818	2947	3764	2898	2903	1105	1058	729	1177	510	447	513	332	331	301	361	486	241	210	187	183	226	200	130	291	87	92	109	85	94	69	57	61	48	70	32	103	32	31	40	22	27	63	39	18	38	21	18	17	20	9	10	15	11	32	13	22	10	6	13	8	9	10	8	7	10	4	6	12	2	0	9	3	2	2	7	4	2	1	5	3	3	6	1	1	2	0	1	1	0	0	0	1	1	0	2	1	0	4	1	0	0	3	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	20736	5963	1000	2991	2295	2474	520	594	288	958	187	134	334	114	90	96	266	408	163	97	92	114	173	146	57	256	41	40	58	39	59	33	14	24	29	44	6	88	7	19	28	15	17	57	27	4	29	13	6	5	8	3	6	6	0	25	12	20	6	3	8	6	6	4	5	6	6	3	5	9	1	0	7	0	2	0	2	0	1	0	1	1	1	2	0	1	2	0	1	1	0	0	0	0	0	0	0	1	0	3	0	0	0	2	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	24155	7795	2973	3650	2941	3047	1098	1001	695	1216	505	432	494	359	324	291	383	513	247	213	166	207	222	207	149	267	88	103	90	86	88	68	52	56	55	74	33	99	28	37	39	25	23	46	33	13	46	24	13	15	18	10	10	16	8	34	17	15	16	5	13	6	7	11	7	2	11	7	6	9	3	0	6	2	3	2	6	2	2	4	5	3	2	5	3	1	2	0	1	1	0	1	0	1	0	0	3	2	0	3	2	0	0	3	0	1	0	1	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	20939	5948	974	2903	2357	2623	502	590	270	973	186	132	308	115	95	96	286	440	178	94	79	131	168	152	68	230	35	39	40	42	45	31	14	23	28	44	6	82	5	22	28	18	17	40	22	3	35	14	4	5	8	3	4	5	0	28	16	14	6	4	7	4	4	6	4	2	7	5	2	6	2	0	3	0	3	0	1	0	1	2	1	1	1	2	1	0	2	0	1	1	0	1	0	1	0	0	0	2	0	2	0	0	0	2	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	24408	7937	2911	3670	2852	3026	1079	1009	682	1220	493	445	516	364	317	287	408	491	267	191	164	187	208	215	152	266	88	112	86	88	92	63	47	59	66	69	32	98	25	37	44	31	21	52	33	14	51	28	12	17	17	12	10	15	11	30	20	15	14	6	11	10	9	8	7	11	13	9	8	9	1	2	6	2	3	0	5	4	4	3	3	3	1	5	2	2	1	0	1	1	1	1	0	1	0	1	2	3	0	2	1	1	0	2	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	2	0	2	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_active	80	21210	6048	957	2954	2296	2620	482	592	265	1002	184	132	335	114	100	94	292	413	195	74	73	118	145	157	74	231	33	41	41	36	54	26	11	22	36	43	9	87	4	23	34	22	12	45	21	5	40	17	5	8	7	2	3	5	2	24	16	14	3	4	5	7	4	4	4	11	9	6	4	6	1	1	4	0	3	0	1	1	3	2	1	1	0	2	1	0	1	0	1	1	0	1	0	1	0	0	0	3	0	2	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	24096	8037	2872	3720	2950	3094	1074	1001	697	1205	535	453	523	384	307	283	415	448	275	201	179	178	234	195	162	218	85	107	77	91	98	64	48	61	64	54	38	87	23	36	50	33	33	49	34	15	50	25	12	20	10	12	9	13	13	31	21	15	12	7	8	10	6	5	7	18	10	11	5	5	2	6	2	0	3	1	1	3	8	3	3	3	0	3	2	3	2	0	0	1	1	1	0	1	1	2	1	2	0	1	1	1	0	1	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_active	80	20840	6125	951	2961	2392	2662	486	576	295	976	202	142	344	120	101	99	295	379	197	82	78	107	167	144	73	177	34	33	28	40	68	26	13	22	36	33	8	75	4	22	41	18	24	43	24	6	40	15	6	12	5	1	5	4	4	23	15	13	3	2	5	7	2	3	3	17	7	8	2	2	2	4	1	0	3	0	1	2	6	2	2	1	0	2	1	0	1	0	0	1	0	1	0	1	1	1	0	2	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
