label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68
0.03	north1_all	80	3058	1371	1180	1467	446	327	618	262	397	127	93	64	129	150	71	63	31	33	31	23	18	21	33	10	16	30	8	7	5	5	18	3	3	2	3	1	0	1	1	1	0	2	3	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north1_active	80	1520	665	686	936	228	170	396	140	274	72	48	33	87	107	44	44	15	21	24	14	6	10	22	4	8	13	5	5	3	5	16	2	1	1	0	0	0	0	1	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north2_all	80	3060	1384	1107	1410	493	314	601	273	371	135	104	86	145	114	67	53	30	34	32	22	17	21	34	8	18	33	14	6	6	5	19	3	5	3	2	0	0	1	1	0	0	1	3	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_active	80	1557	665	619	891	264	169	377	147	251	77	49	45	100	74	33	32	14	25	24	14	5	10	24	4	8	14	10	3	2	4	18	2	4	1	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north3_all	80	3089	1391	1096	1460	500	312	556	256	408	141	115	77	149	107	51	42	22	34	31	19	14	15	28	6	13	26	18	11	5	5	27	1	5	4	1	0	1	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north3_active	80	1601	687	622	909	290	174	367	150	272	76	51	42	97	64	25	17	9	27	23	12	3	7	15	3	5	9	15	5	2	2	24	0	4	2	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north4_all	80	3098	1405	1090	1474	499	310	558	227	410	154	110	86	127	110	52	56	23	34	38	20	12	18	26	10	6	16	16	20	3	7	17	0	4	4	0	0	2	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north4_active	80	1600	668	616	910	296	181	365	131	275	83	52	44	81	65	29	28	10	22	30	11	4	9	16	3	2	9	13	8	1	3	13	0	3	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north5_all	80	3154	1347	1103	1394	487	323	571	230	432	151	100	79	130	122	50	52	17	25	43	21	16	16	36	9	7	16	20	23	5	9	15	0	2	2	0	1	2	3	0	2	1	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north5_active	80	1620	642	645	868	285	177	383	135	283	88	47	40	92	68	33	29	8	14	34	13	6	8	26	4	4	8	14	10	2	3	10	0	0	2	0	1	0	0	0	1	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north6_all	80	3064	1295	1065	1297	482	332	514	226	434	152	89	69	108	134	62	51	17	19	40	24	18	21	42	10	7	15	17	21	4	10	9	1	1	0	0	1	2	3	0	3	1	0	0	0	0	1	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north6_active	80	1522	629	631	820	281	170	344	116	285	87	42	38	69	76	43	33	6	6	27	15	8	11	32	5	5	9	12	11	1	5	6	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north7_all	80	3009	1262	1056	1171	451	332	498	232	419	143	76	69	96	135	52	45	21	26	35	31	15	20	44	8	12	17	16	15	6	9	11	5	1	0	0	1	1	1	1	3	1	0	0	0	0	0	1	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north7_active	80	1477	613	604	727	246	161	307	122	274	78	36	36	57	80	37	29	8	13	23	20	5	13	37	6	6	9	9	10	1	4	8	4	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north8_all	80	2919	1269	987	1111	447	315	441	212	372	138	84	70	94	114	53	39	28	24	26	26	16	23	33	7	8	18	11	11	7	6	8	5	0	1	0	2	1	2	2	1	1	0	0	2	0	1	1	2	1	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0
