label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68
0.03	south28_active	80	1353	252	389	176	208	168	594	139	211	30	64	50	7	14	9	12	8	28	9	63	5	10	4	3	4	1	0	17	1	2	7	6	1	12	0	0	10	0	3	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_all	80	3499	1401	933	544	448	371	852	221	267	111	107	96	55	52	40	49	34	40	27	79	15	19	15	13	10	7	16	21	7	2	6	3	2	11	0	3	10	2	2	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
0.03	south29_active	80	1489	283	398	185	215	198	761	134	206	35	69	46	12	12	11	13	7	31	8	73	5	12	4	4	3	2	13	21	3	0	6	3	2	11	0	0	9	0	2	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south30_all	80	3499	1419	961	558	480	391	1004	223	313	132	134	98	58	47	37	47	38	35	23	117	10	18	14	17	8	8	21	16	6	4	5	6	4	33	1	4	7	4	1	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0
0.03	south30_active	80	1590	308	442	201	261	232	922	144	255	50	95	50	14	11	13	12	14	27	8	112	5	8	2	8	1	4	19	16	2	1	5	3	3	33	0	0	7	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south31_all	80	3492	1371	1025	603	512	365	1219	251	322	101	128	114	68	48	40	44	34	34	22	135	15	14	12	13	9	6	4	18	8	7	9	5	7	34	1	3	16	1	2	1	2	3	0	5	1	0	0	0	1	3	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_active	80	1615	333	518	226	284	205	1150	156	259	48	81	60	12	13	14	14	13	24	6	130	5	11	2	5	4	1	4	16	3	4	7	2	6	32	0	0	16	1	2	1	0	2	0	5	1	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_all	80	3489	1433	1010	576	518	388	1224	237	368	111	145	111	64	60	43	42	33	41	28	158	17	18	13	10	13	7	8	24	6	6	8	3	7	46	2	3	23	1	3	1	3	3	0	5	1	0	0	0	1	3	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_active	80	1619	369	518	219	297	249	1145	159	299	51	100	60	16	20	15	12	13	32	9	153	7	13	4	6	5	1	8	22	2	5	6	1	5	44	0	2	23	1	2	1	0	2	0	5	1	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	3509	1455	984	568	498	409	1167	235	362	118	152	109	60	57	34	43	29	37	27	168	19	23	8	5	12	6	14	26	5	6	6	2	3	42	1	6	16	1	3	1	1	4	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
