label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67
0.03	north1_all	80	39308	28764	9331	5803	5322	5278	2273	1886	1997	1222	845	768	505	863	575	344	224	384	151	189	146	95	109	75	50	57	27	45	27	23	23	17	8	21	16	6	11	13	7	11	4	1	2	1	3	0	3	0	4	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	18616	23197	3715	1641	3263	4126	777	848	1421	665	273	452	185	709	422	215	60	309	49	136	86	40	84	34	20	41	4	25	16	14	7	10	3	13	13	3	3	12	3	9	3	1	1	1	3	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	39461	29114	9303	5736	5328	5231	2245	1915	1943	1236	822	811	499	905	589	362	222	426	136	192	140	101	108	86	56	52	34	50	27	25	22	18	11	20	13	9	9	14	8	9	3	6	2	3	0	1	3	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north2_active	80	18681	23381	3704	1615	3208	4075	786	860	1320	695	266	479	183	743	429	224	58	351	51	141	80	44	80	35	24	38	4	28	19	15	5	11	3	14	11	3	1	13	4	7	2	6	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north3_all	80	39487	29285	9286	5670	5401	5167	2222	1814	1887	1252	856	828	529	823	600	360	202	427	125	173	151	106	88	76	54	48	38	42	30	22	22	18	12	13	21	8	8	11	8	8	2	11	1	2	1	2	2	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0
0.03	north3_active	80	18739	23589	3655	1610	3266	3968	774	776	1276	706	267	510	193	652	439	221	54	355	52	126	89	39	59	28	25	33	7	26	24	15	4	10	3	10	18	2	3	9	3	5	1	11	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
0.03	north4_all	80	39217	29118	9356	5769	5370	5074	2275	1839	1940	1249	861	891	534	822	606	367	188	422	132	165	146	104	84	71	55	51	49	42	39	15	16	17	11	8	29	9	9	10	10	2	2	13	1	3	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0
0.03	north4_active	80	18686	23422	3646	1661	3303	3936	794	790	1321	710	259	540	211	655	450	220	52	355	48	114	86	38	51	21	26	28	10	24	31	8	5	9	1	6	26	2	5	8	4	1	1	12	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
0.03	north5_all	80	39226	29256	9298	5806	5419	5258	2293	1824	2018	1240	850	898	570	776	553	397	199	388	133	165	149	94	79	71	54	40	43	42	37	18	18	14	11	7	30	6	6	10	9	14	1	13	3	2	1	4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
0.03	north5_active	80	18664	23588	3524	1651	3356	4130	805	804	1412	677	251	532	231	613	398	233	54	316	39	118	90	37	46	27	24	21	9	25	25	11	4	6	2	4	26	2	4	7	4	11	1	10	1	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north6_all	80	39129	29107	9396	5925	5315	5341	2293	1830	2117	1163	836	867	573	799	572	393	216	379	160	155	134	93	92	61	57	43	50	44	41	22	17	13	14	13	24	7	7	4	8	18	3	6	4	2	1	4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0
0.03	north6_active	80	18704	23497	3566	1684	3274	4217	780	840	1523	604	246	502	240	646	417	243	50	310	50	106	85	42	57	26	28	21	14	27	26	16	5	4	4	10	20	3	2	2	2	15	2	1	1	2	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north7_all	80	39414	29473	9386	5924	5357	5386	2296	1862	2033	1175	804	830	587	806	531	435	229	412	171	183	139	98	107	52	60	45	48	43	42	27	14	12	16	20	23	7	6	3	7	18	3	5	4	4	0	3	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	18772	23830	3538	1670	3300	4245	805	868	1436	623	248	456	269	650	374	282	50	350	47	124	78	41	58	24	31	26	15	22	25	22	4	5	5	18	17	6	1	1	3	14	2	1	1	4	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	39335	29349	9393	5975	5315	5254	2268	1839	2007	1158	776	767	575	823	553	424	235	437	187	173	135	100	111	48	69	44	44	39	50	29	11	13	15	18	22	8	8	8	4	8	6	5	2	3	0	1	1	2	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	18708	23690	3604	1718	3206	4032	780	855	1435	608	237	413	268	670	407	287	43	383	53	109	71	41	69	22	36	24	10	19	32	21	3	3	6	17	16	4	2	4	1	6	4	3	0	3	0	1	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	39421	29681	9380	5857	5300	5323	2278	1800	1897	1181	792	752	531	779	532	398	230	482	166	187	116	99	111	49	66	52	44	30	41	27	9	15	14	18	25	8	11	6	3	5	4	3	0	3	1	0	2	2	0	1	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	18727	23895	3608	1658	3221	4122	802	797	1327	606	252	398	248	625	387	269	47	427	44	120	55	40	71	17	34	27	8	14	27	18	1	5	6	13	19	3	4	3	1	2	3	3	0	3	1	0	1	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	39282	29416	9318	5934	5360	5277	2308	1787	1858	1179	809	748	512	820	536	394	220	406	156	185	117	94	131	54	57	52	39	28	42	33	11	15	11	12	29	9	7	11	3	4	4	4	0	0	3	0	3	2	2	1	5	0	1	2	0	0	0	0	0	0	0	2	0	0	0	1	0	0
0.03	north10_active	80	18745	23674	3638	1633	3286	4044	806	785	1315	639	234	405	234	652	393	245	52	352	43	119	53	39	100	21	28	25	4	18	27	19	1	6	5	7	24	2	4	8	1	3	2	3	0	0	3	0	2	1	2	0	4	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0
0.03	north11_all	80	38987	29482	9343	5895	5354	5288	2319	1898	1928	1190	830	828	550	957	522	349	217	300	158	181	122	85	100	70	58	68	31	43	32	26	21	18	8	10	14	9	7	5	3	5	3	18	2	5	1	2	1	1	2	0	0	0	0	2	1	1	0	0	1	0	0	0	1	0	0	0	0	0
0.03	north11_active	80	18472	23668	3679	1701	3337	4230	791	857	1379	633	257	510	230	804	393	242	60	241	52	115	64	42	65	36	19	55	6	23	20	14	6	6	0	4	11	5	4	0	0	1	1	14	1	5	0	1	0	1	1	0	0	0	0	2	1	0	0	0	1	0	0	0	1	0	0	0	0	0
