label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69
0.03	north1_all	80	33249	15304	10767	5499	6146	3199	1995	3287	1347	1831	734	796	916	758	620	336	317	225	186	195	102	106	119	62	84	56	47	48	25	44	13	19	11	8	22	7	8	3	3	7	2	5	4	1	2	2	2	1	0	1	0	0	0	4	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	15883	7560	5852	2543	3683	1650	962	2024	705	1134	339	449	597	469	375	197	176	127	99	121	49	51	69	36	55	31	31	25	14	26	10	9	4	5	14	4	6	1	1	4	2	2	3	0	2	0	1	1	0	0	0	0	0	4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	33347	15368	10676	5481	6084	3220	1953	3285	1300	1859	735	777	965	712	651	333	316	227	206	198	93	103	136	66	82	46	51	48	23	45	14	22	14	13	17	4	7	4	2	8	3	6	4	1	1	1	2	1	1	1	0	0	0	4	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	16052	7687	5759	2543	3550	1645	887	2034	672	1150	353	434	623	450	398	200	170	138	110	121	42	45	82	36	52	24	35	25	14	19	8	10	4	6	10	2	4	1	2	5	3	3	3	0	1	0	1	0	1	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	33360	15503	10601	5417	6048	3249	1987	3307	1355	1831	727	772	935	747	671	359	316	228	183	170	86	82	160	81	69	45	45	55	23	48	18	26	12	15	16	3	4	5	3	5	4	4	3	2	2	1	1	2	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	15973	7789	5688	2475	3533	1647	885	2121	699	1150	349	420	561	469	409	204	168	136	99	95	36	38	101	41	49	23	32	34	14	24	9	13	5	7	7	1	1	2	2	2	4	2	2	1	2	0	1	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	33172	15524	10531	5310	6099	3169	1992	3325	1343	1740	722	767	950	777	656	362	325	225	189	176	81	77	168	78	58	48	38	40	25	38	21	24	10	19	13	2	16	8	3	4	4	4	2	2	4	1	0	3	3	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_active	80	15889	7851	5659	2440	3504	1631	891	2073	693	1096	347	425	560	490	380	191	174	134	104	106	39	35	113	40	37	27	19	27	15	18	10	12	5	10	7	0	4	3	2	2	3	4	2	1	3	0	0	2	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	33143	15642	10545	5368	6007	3173	2036	3130	1362	1740	729	795	975	771	594	381	318	235	179	174	87	91	145	79	68	47	40	43	31	34	21	19	10	17	19	5	17	9	1	6	4	3	3	2	4	0	0	4	2	2	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0
0.03	north5_active	80	15770	7790	5690	2466	3435	1644	915	1922	687	1084	345	450	524	474	356	202	173	148	92	93	37	46	99	51	48	22	20	33	14	24	12	11	6	9	13	3	4	2	0	3	3	3	2	1	3	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
