label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109
0.03	north1_all	80	2975	1367	1124	708	444	934	312	509	202	176	152	148	111	99	147	141	152	62	63	48	89	41	34	54	57	17	98	20	21	22	20	14	66	12	14	20	16	8	6	10	9	6	11	9	6	6	4	5	1	5	1	4	1	2	6	2	1	1	2	1	2	0	1	2	1	0	1	0	1	0	0	0	1	0	0	2	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north1_active	80	1058	419	751	386	126	822	74	403	69	35	47	82	54	36	115	98	132	33	17	22	69	8	12	45	44	4	95	11	10	12	11	7	58	7	0	13	9	1	1	9	1	3	10	5	3	3	4	3	1	1	1	1	1	1	1	1	0	1	0	1	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	2943	1321	1178	756	448	1099	286	591	192	174	157	155	117	105	158	171	182	53	56	54	101	40	30	59	65	14	80	22	29	28	22	15	55	10	14	17	16	8	5	10	7	7	16	5	6	6	1	3	13	1	1	4	2	1	7	3	3	1	1	1	2	2	1	1	1	0	8	0	1	0	0	0	1	0	0	2	1	4	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north2_active	80	1106	421	787	442	131	998	65	480	68	39	42	84	51	43	127	132	167	35	13	31	81	5	15	49	53	4	76	13	11	19	11	6	51	7	2	9	10	1	1	8	0	2	13	3	4	3	1	1	12	0	1	1	1	0	3	2	1	1	0	1	0	2	0	0	1	0	7	0	0	0	0	0	0	0	0	2	1	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	2971	1315	1366	779	436	1317	275	674	197	159	155	156	119	98	167	177	217	65	52	53	103	41	32	67	79	21	103	17	27	28	28	17	87	10	12	25	14	9	6	24	5	7	20	7	5	9	2	2	23	1	1	2	2	1	4	3	4	0	1	0	2	2	2	2	1	1	8	0	0	0	0	0	1	0	0	2	1	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
0.03	north3_active	80	1201	454	967	476	143	1208	73	556	78	35	33	84	64	35	138	150	205	46	10	31	82	9	14	55	65	14	98	10	10	21	17	8	84	4	3	15	9	2	0	21	0	2	18	4	3	6	1	0	22	0	1	0	1	0	2	2	1	0	0	0	0	2	0	0	1	0	7	0	0	0	0	0	0	0	0	2	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north4_all	80	2970	1288	1451	783	465	1571	252	725	209	136	148	170	117	82	170	200	283	71	46	57	115	44	38	79	75	21	109	12	25	39	22	16	82	9	9	19	12	8	6	22	4	5	24	5	6	10	3	4	25	1	1	2	3	3	3	1	3	0	1	0	3	2	2	2	1	1	10	1	1	0	0	0	1	0	1	3	0	4	0	0	4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
0.03	north4_active	80	1276	469	1050	492	166	1461	69	628	98	39	27	97	61	29	145	177	269	46	8	35	101	12	16	66	62	16	104	7	13	32	12	7	81	3	4	13	7	2	1	19	0	1	22	2	3	6	0	1	23	0	0	0	2	1	2	1	1	0	0	0	0	2	0	0	1	0	7	0	0	0	0	0	0	0	1	2	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north5_all	80	2961	1363	1482	794	430	1622	261	738	221	132	154	170	125	83	192	189	313	80	57	63	123	38	39	71	70	27	124	18	24	40	21	11	119	13	7	19	11	9	8	23	2	2	44	6	5	9	4	5	30	3	2	1	6	3	2	1	2	0	0	1	8	1	1	2	2	1	2	1	1	0	0	0	0	1	1	1	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
0.03	north5_active	80	1258	479	1098	498	144	1506	70	650	102	34	28	95	64	30	163	166	293	52	9	35	108	11	14	58	58	20	119	8	12	34	11	5	117	8	3	12	5	3	2	20	0	0	43	3	2	5	1	2	29	1	0	0	4	2	1	1	1	0	0	0	6	1	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north6_all	80	2972	1347	1397	783	458	1558	277	684	214	142	153	182	115	76	193	179	328	84	59	62	122	47	41	67	79	22	95	28	29	35	15	9	119	11	11	11	8	13	7	24	2	6	56	5	5	5	4	8	15	5	2	1	5	4	2	1	1	0	0	1	8	0	1	0	2	2	2	1	1	1	0	0	0	1	1	1	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	1248	468	1003	488	145	1437	76	611	101	48	27	105	61	29	161	149	304	53	13	33	105	11	13	57	58	15	92	13	16	29	8	3	117	8	4	8	3	4	2	21	0	2	54	3	2	2	1	3	14	2	0	0	4	2	1	1	0	0	0	0	7	0	0	0	2	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	2894	1353	1305	749	442	1287	274	628	204	165	153	168	117	94	194	158	299	82	61	58	122	34	42	52	58	17	97	25	31	38	11	7	115	10	9	12	7	13	8	22	7	8	51	5	4	8	1	9	14	5	3	1	5	3	1	2	1	1	1	1	8	0	0	0	1	1	0	4	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
