label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99
0.03	south29_all	80	36461	11265	8765	8289	7754	2592	2310	1678	1645	1141	951	1644	1020	559	597	558	707	450	480	318	338	269	178	217	199	134	89	163	99	81	65	102	82	57	37	55	27	57	23	33	23	18	35	11	14	12	15	5	10	11	8	4	4	14	4	5	2	3	3	6	2	4	2	0	4	0	1	0	2	1	1	1	0	0	1	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_active	80	20528	4991	4708	5019	4905	1168	1085	721	819	479	460	940	600	243	309	304	419	255	268	173	175	155	92	121	109	71	45	101	43	53	25	53	39	36	19	32	7	31	17	18	11	8	23	5	8	7	10	2	5	5	3	2	2	8	2	2	2	2	0	4	2	1	1	0	4	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_all	80	37554	11566	9014	8555	8162	2630	2371	1704	1660	1104	956	1681	1016	565	621	566	688	463	490	301	343	268	166	226	205	132	100	162	115	88	67	120	84	59	42	67	25	50	26	33	23	18	33	8	15	12	12	14	7	11	6	6	4	14	6	3	2	5	2	6	1	4	3	1	4	0	0	1	2	1	2	1	1	0	2	0	0	0	1	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south30_active	80	21366	5272	4880	5230	5235	1190	1176	750	852	466	473	968	602	246	312	299	397	253	258	166	189	144	79	129	127	72	50	98	57	58	25	64	57	33	21	36	9	24	20	20	9	6	20	4	8	5	6	12	4	6	2	2	2	8	3	2	2	3	0	4	0	1	2	0	3	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_all	80	40097	11699	9604	9297	8638	2646	2398	1682	1858	1140	1008	1824	1133	583	585	620	800	478	553	331	479	290	238	207	240	133	102	147	126	100	52	88	109	54	49	72	28	58	33	16	27	23	31	9	13	13	9	11	13	12	8	20	2	6	4	2	2	4	3	2	2	3	4	2	1	0	9	0	6	0	0	1	2	2	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south31_active	80	23643	5434	5214	5722	5570	1241	1175	773	962	495	476	1144	636	277	293	347	485	288	349	180	304	179	132	116	165	65	44	96	76	67	18	54	71	32	20	44	17	45	16	8	15	11	18	5	9	7	5	6	5	7	5	16	2	3	1	1	0	4	2	1	1	0	0	1	0	0	9	0	5	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south32_all	80	39842	11716	9450	9364	8476	2700	2380	1712	1834	1204	1073	1787	1088	568	585	618	734	497	547	335	470	284	230	225	225	134	107	143	112	110	58	76	79	50	52	69	26	40	30	15	16	18	30	9	11	14	8	14	13	12	8	16	9	11	5	3	0	4	2	2	2	2	4	1	0	0	0	0	1	0	0	1	1	2	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south32_active	80	23255	5497	5183	5747	5496	1300	1170	805	959	514	540	1123	593	284	286	322	437	306	350	169	287	179	132	135	149	62	51	99	62	60	28	44	54	30	26	49	15	28	12	9	7	8	21	3	6	8	3	5	5	8	4	12	9	7	2	2	0	4	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	39674	11839	9198	9444	8550	2701	2354	1669	1837	1175	1086	1791	1053	576	651	628	734	528	559	368	462	295	237	215	235	133	107	167	109	114	64	124	66	46	51	73	30	46	29	15	16	16	33	6	12	10	9	13	13	9	8	7	10	14	6	3	0	5	5	3	3	2	2	1	0	0	1	0	0	0	0	2	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south33_active	80	22947	5569	5055	5885	5537	1298	1182	790	993	515	536	1110	590	281	344	345	432	331	345	198	277	170	131	116	146	70	53	121	63	59	31	66	37	18	28	48	14	33	12	10	5	6	23	2	4	6	2	6	6	4	4	3	9	9	3	3	0	4	2	2	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
