label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103
0.03	north1_all	80	28293	12829	12634	11422	10128	7931	2373	4964	4038	1167	1730	1265	1352	718	638	532	1287	477	341	241	299	290	172	311	194	156	136	231	93	192	133	51	45	77	41	27	37	24	26	49	20	21	17	17	13	14	32	7	13	4	14	19	15	3	0	2	2	4	11	0	7	8	2	2	1	3	4	9	3	0	0	3	1	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north1_active	80	8704	3102	9154	9588	8880	7027	852	4367	3561	319	1299	791	1021	308	350	222	1170	294	111	54	186	225	46	250	107	107	85	192	56	175	117	18	17	65	16	11	11	13	18	40	8	9	3	7	5	3	29	5	9	2	7	13	13	1	0	2	1	0	10	0	6	6	0	1	0	0	1	8	3	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	28425	12850	12430	11628	10057	8015	2454	4980	4156	1168	1742	1281	1348	720	655	518	1289	493	338	242	308	351	197	315	176	164	143	246	100	197	163	55	48	82	35	29	31	32	30	56	23	19	21	20	15	12	14	6	13	4	13	15	6	1	2	1	1	8	10	3	2	8	1	2	2	2	6	1	3	0	0	3	1	2	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
0.03	north2_active	80	8751	3073	9059	9748	8850	7139	862	4380	3686	309	1302	820	1012	306	370	213	1172	303	112	57	186	280	54	257	93	111	97	210	60	177	140	21	16	69	12	13	8	16	23	46	7	9	6	9	5	3	12	4	9	1	6	10	5	1	1	1	0	2	9	1	1	6	0	2	0	0	3	0	3	0	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	28535	12762	12273	11385	9949	7935	2456	4933	4035	1189	1647	1234	1271	729	694	528	1165	478	319	255	320	343	199	291	163	175	128	263	107	234	167	51	51	93	35	31	36	37	28	54	15	25	23	21	18	11	18	8	9	4	7	14	6	3	2	0	1	5	7	5	1	8	1	1	3	1	4	1	0	0	3	3	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0.03	north3_active	80	8557	3037	8892	9476	8728	7070	871	4329	3561	307	1187	777	949	312	392	224	1039	286	111	54	181	271	54	240	82	119	91	228	59	209	144	24	16	77	17	13	3	23	19	44	2	14	8	10	5	1	16	5	6	2	4	11	5	2	1	0	0	2	5	3	0	6	1	1	1	0	2	0	0	0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north4_all	80	28683	12747	11884	10945	9531	7716	2475	4648	3977	1255	1595	1192	1226	697	705	508	1154	471	306	249	349	334	189	301	159	214	144	261	111	225	147	53	51	85	41	33	35	41	27	57	18	21	22	23	19	6	25	9	9	4	6	12	8	2	3	5	0	6	6	7	1	6	3	1	4	2	3	0	0	0	3	0	3	0	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0.03	north4_active	80	8208	2979	8425	9009	8242	6831	848	4049	3505	312	1100	763	886	294	378	209	1029	264	90	60	210	240	45	238	78	145	98	229	73	198	121	28	11	69	21	12	2	25	19	46	4	10	9	12	4	0	21	4	3	1	2	8	8	1	2	4	0	2	5	3	0	6	1	1	1	0	2	0	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north5_all	80	28649	12737	11443	10257	8819	7195	2386	4416	3854	1297	1542	1130	1105	697	661	490	1104	466	298	242	313	274	177	311	158	185	124	259	108	208	122	58	51	86	44	32	38	37	22	42	19	20	18	22	17	7	26	16	13	3	4	10	10	3	4	7	0	2	7	6	2	2	3	0	2	1	3	0	0	0	4	0	2	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0
0.03	north5_active	80	7671	2882	7808	8227	7495	6251	785	3783	3364	301	1046	670	751	244	353	197	966	248	79	55	182	186	38	247	81	123	76	226	70	181	92	30	12	63	22	12	5	22	11	31	2	6	8	15	3	0	21	9	5	1	1	7	9	1	2	4	0	0	5	3	1	2	1	0	1	0	2	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
