label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103
0.03	north1_all	80	32187	24217	11569	5492	3358	2534	3146	1674	1701	1866	1092	1493	666	843	479	470	410	583	345	378	225	211	285	184	221	206	194	80	117	63	75	74	53	46	59	34	58	40	53	30	21	28	30	19	14	15	21	14	10	10	1	4	2	4	9	11	5	3	5	3	4	2	4	0	0	3	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	17394	15001	6781	2740	1547	1148	1775	783	890	1102	564	902	315	484	218	239	191	395	189	205	107	103	178	99	124	125	127	33	70	20	40	37	19	19	35	18	27	25	40	17	15	18	15	8	4	10	15	7	1	7	1	2	1	2	3	6	5	0	3	3	3	1	3	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	31264	22947	11343	5429	3371	2505	3107	1701	1644	1789	1058	1471	646	805	505	474	386	537	359	379	217	205	296	179	206	184	186	74	130	59	86	76	52	57	60	36	56	39	50	27	21	27	26	23	23	14	21	10	12	13	5	6	1	4	8	9	7	4	3	7	6	2	3	1	4	4	2	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	16642	14067	6564	2637	1508	1122	1708	800	873	1051	554	866	304	462	227	248	181	356	203	215	105	95	168	92	114	107	131	37	77	21	44	40	25	21	34	19	26	23	41	15	14	17	11	11	5	9	14	4	2	9	2	2	1	2	3	5	7	0	1	6	4	0	3	0	4	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	30752	22818	11080	5335	3355	2465	3088	1669	1611	1753	1064	1447	670	833	479	499	389	551	374	369	209	177	320	185	203	179	220	83	113	60	87	68	50	57	51	36	58	37	41	32	25	40	18	14	28	13	17	12	12	15	6	12	0	4	8	10	6	1	3	7	5	3	4	2	4	5	2	0	0	0	0	1	3	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
0.03	north3_active	80	16200	13987	6404	2606	1461	1108	1686	787	837	1038	551	868	317	446	229	251	189	358	211	228	112	86	189	97	114	88	162	41	71	23	41	35	21	23	29	17	29	18	28	17	12	26	10	5	7	7	11	7	2	9	2	8	0	2	3	6	6	0	2	6	3	1	4	0	4	3	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	31528	23847	11442	5325	3457	2569	3140	1689	1696	1909	1111	1476	668	842	490	518	397	603	380	390	223	174	318	211	202	200	283	86	120	67	94	63	44	50	55	29	78	51	49	33	25	28	21	14	26	8	19	12	11	10	7	14	0	4	2	6	22	2	2	5	5	3	2	2	7	2	8	0	1	0	2	1	3	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north4_active	80	16859	14792	6758	2604	1540	1156	1736	803	880	1182	589	923	301	467	222	266	189	382	215	256	125	79	177	121	105	106	201	45	70	30	46	37	18	25	33	14	55	26	33	15	16	13	12	10	9	3	12	8	4	6	3	10	0	1	0	3	13	1	1	4	3	1	2	0	7	1	7	0	1	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	32277	25052	11712	5440	3600	2638	3222	1698	1717	2013	1144	1558	655	868	481	544	417	627	365	431	223	177	341	196	214	205	346	87	129	65	83	59	41	41	60	38	84	51	50	28	24	38	23	14	28	7	18	13	11	10	4	17	6	4	0	7	18	3	4	9	1	4	4	2	4	3	8	0	1	1	2	1	2	0	5	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north5_active	80	17409	15611	7008	2756	1638	1207	1803	798	923	1219	621	996	286	477	207	280	201	391	203	257	121	83	201	105	108	117	230	46	78	31	44	30	17	22	34	15	65	28	34	13	11	22	12	8	14	2	12	9	5	3	2	11	2	2	0	5	9	1	3	9	1	2	3	0	3	1	7	0	1	0	2	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
