label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100
0.03	north1_all	80	44946	24021	8327	5930	5684	3067	2627	3217	1593	2133	1372	956	852	846	1092	477	707	389	546	340	250	236	197	263	163	135	96	202	145	86	76	64	50	73	40	65	43	22	42	34	32	27	31	14	12	12	26	14	15	10	6	7	13	5	3	6	2	6	0	4	4	2	2	2	3	1	0	3	1	0	3	0	4	0	1	1	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north1_active	80	33192	19188	3414	2507	3834	693	1183	2405	484	1630	800	385	386	459	885	123	568	195	425	194	105	110	84	198	37	38	27	163	107	18	50	41	19	48	10	49	36	5	18	26	12	14	17	5	1	2	17	8	5	4	2	1	10	4	1	2	1	1	0	1	4	0	0	1	0	0	0	0	0	0	2	0	3	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	44472	23621	8210	5860	5601	3051	2627	3092	1582	2077	1358	886	826	814	1022	498	669	417	523	335	259	227	196	273	149	137	99	199	116	81	82	72	42	77	38	52	68	33	34	31	21	21	21	15	11	18	22	21	13	8	9	6	12	4	4	3	5	5	1	3	5	2	3	2	4	1	6	3	0	1	0	0	3	0	0	1	0	1	1	0	0	1	4	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	1	0
0.03	north2_active	80	32714	18735	3269	2433	3701	684	1175	2288	466	1584	790	364	359	442	813	116	522	216	399	192	107	96	89	207	34	32	24	145	79	25	56	49	13	54	9	40	57	13	25	23	10	9	11	4	1	8	14	16	3	3	3	2	8	4	1	2	1	3	0	0	5	0	1	1	1	0	6	0	0	1	0	0	3	0	0	1	0	0	1	0	0	0	4	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north3_all	80	46366	25234	8493	5929	5955	3014	2663	3461	1598	2208	1345	946	819	792	1090	486	757	407	520	349	272	238	181	288	133	130	108	219	100	78	91	80	43	102	40	79	69	29	49	29	18	25	20	15	12	19	18	24	14	6	11	4	3	9	3	2	4	7	3	3	7	2	3	2	3	2	6	1	0	1	0	0	3	0	0	1	0	1	1	0	0	2	4	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	1	0
0.03	north3_active	80	35097	20510	3531	2621	4142	724	1272	2614	503	1706	824	393	374	441	883	105	623	227	407	207	127	106	92	233	33	27	28	173	59	26	65	52	15	78	10	70	59	12	38	19	10	19	10	5	3	8	14	19	2	3	2	1	0	7	1	0	1	5	1	0	3	0	1	2	1	0	6	0	0	1	0	0	3	0	0	1	0	0	1	0	0	1	4	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_all	80	48700	26636	8647	6009	6281	3041	2691	3592	1654	2369	1349	958	845	799	1058	482	817	409	511	361	283	248	188	324	139	128	115	230	111	66	89	79	45	108	39	70	61	33	57	35	19	39	21	13	7	21	6	24	15	5	10	6	2	8	3	3	3	7	5	2	5	1	5	3	1	2	6	0	0	1	1	0	0	0	0	1	0	0	0	0	2	1	4	0	1	0	0	2	0	1	0	0	1	0	0	1	0	0	0	0	0
0.03	north4_active	80	37735	22143	3781	2794	4553	807	1314	2780	530	1879	844	399	394	474	858	102	668	226	408	224	142	116	88	263	39	29	27	186	76	26	65	53	19	89	8	60	49	12	45	27	14	33	12	3	4	9	5	20	4	3	2	3	0	6	1	1	0	4	1	0	1	0	2	3	1	0	6	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	4	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north5_all	80	50336	27604	8790	6028	6450	3095	2671	3713	1666	2597	1380	979	890	842	1058	468	854	403	510	357	257	244	204	309	145	135	121	214	122	67	88	77	44	105	40	95	48	27	55	33	23	38	17	15	14	23	5	25	17	4	7	7	2	8	11	3	1	6	5	4	5	1	4	2	2	1	7	0	0	0	1	0	1	0	0	0	0	1	0	0	2	1	0	0	1	0	0	2	0	1	0	1	0	0	0	1	0	0	0	0	0
0.03	north5_active	80	39597	23233	3933	2889	4792	849	1333	2912	567	2092	898	416	443	522	865	97	725	212	413	226	132	110	99	246	42	27	28	185	94	25	63	50	20	87	7	83	32	5	40	26	15	31	8	5	4	9	4	23	4	1	2	4	0	5	8	1	1	4	1	0	0	0	2	2	1	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	50450	27618	8703	5951	6367	3090	2698	3723	1674	2594	1375	973	893	846	1165	461	820	412	548	325	250	233	185	292	144	125	123	193	127	64	96	81	48	87	38	91	37	29	47	34	23	36	23	13	16	15	4	13	15	6	7	6	2	8	11	6	3	4	5	3	1	1	3	2	1	0	1	0	2	0	1	1	1	1	0	0	0	2	0	0	2	1	0	0	1	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0
0.03	north6_active	80	39640	23247	3902	2868	4755	859	1350	2962	565	2092	887	410	440	525	972	105	680	213	442	206	129	108	82	230	41	31	28	160	105	20	68	57	21	75	6	77	16	3	33	27	14	31	14	5	2	7	3	12	5	0	3	3	0	3	9	1	1	2	1	0	0	0	1	2	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	50411	27400	8650	5915	6298	3108	2675	3680	1710	2537	1351	1020	891	901	1185	482	808	441	521	347	260	217	191	295	151	110	124	195	131	74	119	90	50	76	37	84	39	34	44	31	23	34	23	13	17	16	7	17	13	9	8	8	4	9	12	10	3	1	4	3	1	1	4	2	1	1	1	0	2	0	1	1	1	1	0	0	0	2	0	0	1	1	7	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	39661	23014	3930	2781	4647	899	1368	2947	567	2051	866	452	421	565	1000	112	669	215	407	215	118	108	100	224	42	29	30	155	110	24	86	62	24	65	5	72	19	4	32	26	12	27	12	5	1	9	6	12	4	0	4	2	2	5	10	2	1	0	1	0	0	0	2	1	0	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	50290	27344	8796	5915	6324	3143	2711	3720	1697	2547	1368	1003	879	838	1189	481	802	432	521	346	252	226	185	275	139	101	121	199	127	79	134	86	49	74	33	60	41	38	47	43	39	27	29	17	19	18	10	9	9	16	7	8	14	7	9	8	9	2	4	2	0	0	2	1	1	2	2	1	3	0	0	1	1	2	0	0	0	1	1	0	0	1	7	1	0	0	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0
0.03	north8_active	80	39436	22967	4025	2777	4645	906	1386	2971	553	2066	866	451	402	515	1007	110	655	223	412	208	112	111	86	209	31	24	32	158	108	34	99	60	24	66	3	49	22	5	37	38	30	19	17	4	2	10	7	5	2	3	3	1	12	4	7	1	6	0	1	0	0	0	1	0	0	2	2	0	2	0	0	0	1	0	0	0	0	1	0	0	0	1	6	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	50488	27660	8866	5989	6385	3148	2715	3576	1698	2549	1357	999	909	839	1175	472	831	429	540	343	265	238	187	319	162	100	120	180	142	81	115	77	44	83	35	111	38	37	43	49	48	31	26	16	22	14	12	11	8	13	8	10	13	9	7	6	8	2	3	2	0	0	2	2	1	2	2	1	1	0	1	1	1	1	1	0	0	1	1	0	0	2	7	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north9_active	80	39652	23295	4074	2833	4699	893	1382	2834	520	2073	848	446	411	501	976	111	686	212	414	200	123	117	100	247	39	23	34	140	112	35	92	58	17	73	3	96	27	7	37	43	38	21	17	2	4	6	7	5	2	3	4	1	13	7	5	1	6	0	1	0	0	0	1	0	0	2	2	0	1	0	1	1	1	0	1	0	0	1	0	0	0	1	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	50486	27447	8693	5987	6466	3205	2695	3551	1622	2550	1350	990	908	799	1138	486	853	417	594	313	292	248	202	337	159	105	104	187	159	70	96	77	57	83	32	102	44	36	42	63	46	26	24	16	25	12	17	18	8	10	9	8	16	4	12	2	11	3	2	3	2	0	0	4	2	3	3	1	2	0	2	1	1	1	1	0	0	0	1	0	2	1	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north10_active	80	39619	23057	4017	2848	4731	881	1337	2786	500	2072	832	426	423	466	946	114	708	200	473	183	140	128	104	268	34	26	31	152	124	35	77	60	23	70	3	83	29	7	33	56	36	16	13	2	5	2	9	14	2	3	5	0	16	4	8	1	8	0	1	0	1	0	0	1	1	3	2	0	1	0	2	1	1	0	1	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
