label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96
0.03	north1_all	80	10627	4175	6680	1978	1161	870	1848	515	412	429	307	265	182	175	169	259	327	113	129	181	67	94	56	48	95	32	88	33	26	34	24	27	67	20	25	8	12	7	17	6	6	3	6	1	4	4	5	12	3	6	4	1	0	5	6	1	4	5	1	0	2	0	1	0	0	1	0	0	4	1	1	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
0.03	north1_active	80	7073	2269	5939	1253	521	266	1607	116	133	230	93	73	67	51	78	191	286	38	79	139	15	73	28	27	76	14	80	9	8	20	20	20	59	10	17	4	9	0	15	3	3	2	2	1	1	1	4	12	0	4	0	0	0	4	5	0	1	1	0	0	0	0	1	0	0	0	0	0	4	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	10780	4244	6445	1971	1204	862	1870	517	397	399	308	261	176	188	169	253	348	117	150	156	64	108	49	43	94	25	90	30	25	33	30	23	57	17	21	9	13	8	19	6	5	3	5	0	7	4	10	8	2	5	3	0	1	6	5	1	3	7	3	1	1	0	2	0	0	1	0	2	0	1	1	3	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north2_active	80	7150	2308	5721	1249	535	245	1641	125	126	215	95	65	62	48	84	193	304	33	98	120	14	87	21	25	77	8	82	9	9	17	22	17	50	9	13	1	9	2	13	3	2	1	2	0	1	0	9	8	0	3	0	0	0	6	5	0	0	4	2	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	10746	4141	6581	2010	1174	899	1828	528	405	389	309	258	179	176	182	228	348	110	139	166	55	95	50	45	102	31	101	32	29	29	37	25	56	14	20	8	13	10	20	8	3	3	2	0	7	5	10	9	0	7	3	0	2	5	6	1	3	6	3	1	1	0	2	0	1	1	0	2	0	0	1	2	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_active	80	7123	2309	5864	1260	513	281	1607	141	132	217	94	60	60	44	95	171	299	31	92	135	10	72	23	27	86	12	91	13	9	13	29	18	50	7	11	2	6	3	14	2	0	2	2	0	2	0	10	9	0	5	0	0	0	5	5	0	0	4	2	0	0	0	0	0	1	0	0	2	0	0	0	2	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	10752	4188	6739	2026	1139	908	1799	523	428	397	326	263	189	177	185	222	332	105	131	155	57	97	50	44	92	41	75	31	30	25	47	22	48	17	21	12	15	8	20	11	1	4	4	2	5	3	8	9	3	6	3	2	2	2	6	2	1	5	2	1	0	0	2	0	1	1	0	2	1	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	7179	2380	6007	1301	489	302	1583	135	136	221	94	58	55	50	95	169	285	24	90	118	14	72	22	23	76	18	64	15	5	10	37	19	44	9	13	3	5	3	13	4	0	2	3	1	1	0	8	9	2	5	1	2	0	2	4	0	0	4	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	10757	4217	6822	2041	1121	881	1836	521	433	426	309	274	200	170	188	219	270	87	112	159	54	112	59	45	90	46	87	29	28	23	37	28	32	12	24	13	12	9	14	13	2	7	4	2	5	4	4	11	5	6	3	2	2	2	3	3	1	3	1	0	0	0	2	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	7102	2397	6102	1348	494	311	1621	136	147	238	95	65	60	51	89	164	238	16	68	127	13	85	32	21	71	21	77	17	5	9	31	24	28	8	14	7	2	1	12	4	1	5	2	1	2	0	4	11	3	6	1	2	0	2	1	0	0	3	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	10745	4178	6693	2068	1146	864	1868	523	440	427	317	270	204	177	188	233	254	87	101	127	57	113	62	37	87	45	86	26	24	22	45	34	41	10	26	13	14	7	11	12	6	8	4	3	6	4	3	16	7	5	3	2	2	2	1	3	1	2	0	0	0	0	3	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north6_active	80	7114	2376	5958	1370	510	305	1645	123	137	226	91	74	55	50	77	172	222	20	50	101	14	82	32	17	71	22	78	16	5	12	37	29	35	4	17	6	8	1	9	4	4	7	2	1	1	0	3	15	4	5	1	2	0	2	0	0	0	2	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	10658	4141	6761	2073	1174	861	2032	486	462	434	298	254	218	172	199	242	263	86	101	134	62	99	70	45	82	41	90	24	25	23	48	40	56	12	22	13	16	7	12	11	9	8	4	4	5	4	3	21	4	10	5	2	2	3	0	4	2	2	0	1	1	0	3	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north7_active	80	6957	2352	6042	1377	522	307	1792	118	154	232	82	70	60	46	89	180	231	25	54	104	17	72	39	19	69	22	78	13	5	15	40	31	49	5	15	6	9	1	9	6	4	6	1	1	1	0	3	20	2	8	1	2	0	3	0	0	1	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	10597	4166	6735	2063	1187	883	2012	449	468	409	275	245	224	181	197	226	256	97	106	135	62	103	69	48	85	38	81	21	19	21	52	39	56	18	25	12	20	4	16	7	8	9	4	5	5	3	4	22	3	9	5	0	1	1	0	3	3	1	0	1	1	0	2	1	0	1	1	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north8_active	80	6925	2370	6043	1328	512	304	1785	96	161	210	82	62	63	39	86	173	216	33	60	106	17	73	32	22	71	20	72	8	5	15	42	30	49	8	19	3	12	1	12	4	4	5	1	1	2	0	4	20	2	7	0	0	0	1	0	0	1	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	10778	4190	6885	2066	1268	918	1946	459	462	408	296	257	251	170	198	229	302	107	117	158	69	98	67	53	84	44	92	25	26	22	64	42	60	23	21	11	16	6	17	12	5	6	3	5	4	7	6	17	3	9	5	0	1	1	0	2	3	2	1	1	1	0	0	2	0	1	1	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
