label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89
0.03	north1_all	80	8168	2619	1474	1247	818	782	840	379	337	329	263	178	230	153	215	76	110	124	106	166	84	43	44	26	47	47	38	21	23	18	28	26	28	19	8	7	5	11	6	8	4	16	4	2	2	11	2	4	1	2	2	5	0	4	0	6	3	1	1	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north1_active	80	4701	1298	669	704	428	412	526	203	162	179	136	92	127	90	149	38	56	73	62	111	55	17	28	10	25	33	14	6	8	9	17	20	22	15	3	5	2	8	5	5	2	8	1	1	2	9	1	2	0	0	1	2	0	4	0	4	1	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	8305	2594	1487	1288	811	838	828	396	329	319	253	191	219	163	232	92	98	143	96	165	86	43	49	33	39	42	28	17	21	10	28	33	26	17	8	9	9	11	4	10	5	15	5	2	3	13	0	2	1	2	2	6	0	8	2	6	2	1	0	1	0	0	0	0	1	1	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_active	80	4780	1277	682	713	438	448	507	197	165	177	135	98	115	97	153	49	51	84	58	117	56	16	31	15	22	30	12	6	9	5	21	21	19	14	4	7	3	8	3	4	2	7	2	1	2	12	0	1	0	0	1	2	0	8	0	4	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	8312	2565	1523	1295	820	860	853	397	317	320	255	189	237	156	229	92	107	111	104	166	84	40	51	34	38	53	32	26	23	10	32	31	22	10	10	8	10	7	5	8	6	11	5	3	3	10	1	1	1	2	2	6	0	8	3	6	4	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	4817	1271	725	699	449	472	521	197	173	177	143	98	132	87	144	50	56	63	60	124	50	20	27	16	21	32	17	11	14	5	24	19	11	9	5	6	4	5	3	3	2	5	2	1	2	10	1	0	0	0	1	3	0	8	1	2	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	8504	2597	1563	1379	834	897	851	430	313	293	228	202	217	163	215	91	109	116	105	142	105	38	47	31	35	46	33	19	25	14	42	27	15	6	8	8	9	6	7	6	6	4	3	2	3	9	1	1	0	3	1	3	0	4	4	2	2	0	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	5021	1281	761	742	445	507	508	206	165	163	119	104	132	86	138	51	66	68	68	100	61	18	24	13	18	29	16	9	17	5	32	16	6	6	3	5	4	5	5	3	3	2	1	0	2	9	1	0	0	1	1	1	0	4	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	8379	2611	1534	1385	858	895	859	420	336	284	236	194	217	157	199	88	136	113	101	152	99	30	54	25	30	52	30	23	30	16	43	20	31	9	10	7	6	8	10	6	4	6	2	3	1	3	1	2	0	3	1	2	0	2	2	2	2	0	2	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	4924	1308	733	757	451	515	519	198	183	155	123	98	130	90	134	46	85	62	65	107	56	16	26	9	16	32	16	15	17	4	33	14	18	9	5	3	3	6	5	3	3	3	2	1	1	3	1	1	0	1	0	1	0	2	1	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	8374	2595	1462	1399	868	870	850	401	338	266	228	205	234	159	201	83	145	108	98	131	107	31	47	25	35	63	34	19	26	17	49	26	53	13	11	7	5	9	11	6	3	9	2	2	0	4	1	3	0	3	1	6	1	3	2	0	1	0	2	0	0	1	0	2	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
