label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35
0.03	north1_all	80	145	61	47	17	13	6	8	3	7	13	18	2	6	3	5	1	1	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
0.03	north1_active	80	82	36	27	6	8	1	5	2	6	5	16	2	4	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	144	65	37	17	17	5	12	3	6	12	23	1	5	3	5	2	1	1	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
0.03	north2_active	80	81	37	19	8	10	3	6	0	5	8	20	1	4	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	158	62	31	18	20	4	13	7	6	15	11	0	3	3	4	1	2	1	2	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_active	80	92	35	14	9	12	3	7	3	4	9	9	0	2	0	3	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	149	51	28	21	20	7	11	8	7	20	10	0	2	1	2	1	2	2	3	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_active	80	72	26	14	11	10	4	6	3	5	14	8	0	1	1	0	0	1	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	144	48	28	24	21	7	10	10	4	25	9	1	1	1	3	0	2	1	3	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	74	22	13	12	10	3	6	6	3	16	8	0	0	1	1	0	1	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	138	59	35	31	21	8	10	8	5	20	11	2	0	1	3	2	2	1	2	4	1	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0
0.03	north6_active	80	63	28	18	15	11	2	7	4	4	12	10	0	0	1	1	1	1	0	0	4	1	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0
0.03	north7_all	80	134	56	47	29	16	11	16	8	9	22	26	3	0	0	2	2	1	1	1	4	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0
0.03	north7_active	80	68	29	22	14	7	4	9	5	8	17	24	0	0	0	1	1	0	0	0	4	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0
0.03	north8_all	80	155	64	53	26	11	13	15	9	10	22	24	2	0	1	3	2	1	0	1	4	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0
0.03	north8_active	80	87	29	25	12	6	5	9	4	8	19	22	0	0	1	1	1	0	0	0	4	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0
0.03	north9_all	80	152	57	56	25	10	15	18	8	14	30	31	3	0	1	2	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	89	28	27	13	6	7	11	3	11	17	24	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	168	51	47	26	11	12	17	9	16	26	14	1	1	1	3	0	0	0	0	1	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	96	22	23	12	6	5	9	3	14	12	8	1	1	1	0	0	0	0	0	1	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	159	65	39	22	23	18	15	14	11	30	19	1	2	2	2	4	2	0	3	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1
0.03	north11_active	80	88	34	27	11	17	11	11	6	7	24	19	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	149	60	42	22	24	16	17	10	7	25	13	0	2	3	2	3	3	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1
0.03	north12_active	80	85	32	29	12	18	10	10	5	5	21	10	0	2	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	139	53	53	29	23	14	19	4	5	31	10	0	4	1	2	2	2	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1
0.03	north13_active	80	82	23	33	14	12	9	11	1	3	26	7	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	157	51	53	34	23	17	18	7	3	19	11	0	3	1	1	0	1	2	1	9	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0
0.03	north14_active	80	98	20	29	18	12	9	12	3	2	17	8	0	1	1	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	158	51	50	34	27	15	17	9	1	28	7	0	2	1	1	2	0	2	0	9	1	1	1	0	1	0	0	0	1	0	1	0	0	1	0	0
0.03	north15_active	80	89	21	26	17	11	6	12	6	0	26	1	0	0	1	0	2	0	1	0	4	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0
0.03	north16_all	80	166	60	52	25	30	10	19	8	4	24	6	2	2	2	1	2	0	2	4	9	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0
0.03	north16_active	80	94	25	26	16	16	4	12	5	3	22	1	0	0	2	0	2	0	2	4	4	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0
