label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104
0.03	north18_active	80	1417	553	438	219	88	294	230	43	43	59	42	26	114	29	71	35	17	19	12	18	27	7	23	16	17	10	15	11	9	5	5	14	9	3	1	2	4	2	3	3	0	3	1	2	2	0	1	0	4	6	1	0	0	1	1	2	1	0	2	0	0	2	0	0	1	0	0	0	1	0	0	4	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	2441	1019	669	429	212	474	359	107	107	115	82	62	167	57	103	58	39	38	29	34	41	18	33	31	27	17	25	18	16	21	8	8	14	9	6	7	9	3	5	7	2	9	2	3	4	1	1	0	6	6	2	1	1	2	2	2	1	1	2	0	0	0	1	0	1	1	0	0	2	2	0	4	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north19_active	80	1431	593	379	224	92	306	213	44	44	59	42	28	109	25	61	28	15	20	14	18	21	11	20	16	14	11	15	10	10	9	4	5	4	2	2	3	7	2	1	4	0	4	1	1	3	0	1	0	6	6	1	0	0	1	1	2	1	0	2	0	0	0	1	0	0	1	0	0	2	2	0	4	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	2426	1033	637	369	209	459	336	117	106	89	86	65	165	66	104	58	37	36	32	29	35	19	32	31	26	11	26	16	11	17	7	8	11	7	8	6	10	4	12	7	1	8	2	2	3	1	1	1	9	8	0	0	2	1	4	1	1	1	1	0	0	0	1	0	0	1	0	0	2	2	0	4	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	1405	607	352	188	96	284	210	46	36	50	39	27	107	31	67	30	12	19	15	15	22	11	20	15	15	8	17	10	8	7	3	6	2	2	4	3	7	1	5	3	0	3	1	0	3	0	0	1	8	8	0	0	1	0	1	1	1	0	1	0	0	0	1	0	0	1	0	0	2	2	0	4	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	2314	899	674	332	218	435	294	118	86	88	62	74	173	98	125	50	31	34	29	35	43	20	25	53	53	19	32	9	11	19	9	20	11	6	8	14	12	5	10	10	1	4	3	4	5	2	2	2	4	11	4	3	1	1	2	0	0	0	0	1	1	2	0	3	2	0	1	0	1	0	0	1	0	3	0	4	0	1	0	3	3	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	1	0	0	0	0	2
0.03	south21_active	80	1324	501	409	166	92	300	193	49	45	39	23	41	124	59	80	26	12	15	6	15	26	10	19	33	34	15	20	5	6	13	4	16	1	3	6	8	9	3	6	5	0	2	2	3	3	2	2	2	2	9	3	1	0	0	1	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	1	0	3	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
0.03	south22_all	80	2298	885	671	350	231	451	252	118	75	98	65	73	155	80	121	49	37	36	33	34	35	25	29	44	36	17	24	9	20	19	7	20	8	4	11	10	10	7	8	8	4	3	4	4	4	1	3	4	4	10	4	2	1	3	1	3	0	0	0	2	2	2	1	3	2	0	1	0	0	0	1	0	1	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2
0.03	south22_active	80	1333	489	408	189	100	308	156	49	38	43	28	40	107	51	73	25	17	16	8	15	22	12	19	21	18	11	17	4	12	14	4	17	3	3	7	7	8	4	5	3	1	1	3	2	3	1	3	3	2	7	3	1	0	2	1	3	0	0	0	1	0	1	1	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
0.03	south23_all	80	2143	896	686	365	239	456	266	107	74	104	70	74	135	63	114	55	32	29	35	27	42	30	25	44	28	14	29	10	18	18	8	18	10	4	8	7	8	7	11	5	5	2	5	3	6	1	3	4	4	4	2	2	0	3	1	3	0	0	0	2	2	2	2	2	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2
