label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111
0.03	north1_all	80	3675	1722	1864	693	1990	441	295	229	213	191	971	150	127	359	151	69	82	72	92	54	79	38	45	36	57	32	38	28	37	87	11	74	21	15	15	50	23	23	16	14	6	10	10	13	18	7	2	3	5	1	6	21	3	14	2	3	4	4	3	0	3	1	0	2	1	1	1	2	4	1	1	0	0	1	0	1	0	1	1	1	1	0	0	0	5	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north1_active	80	2099	999	1531	284	1819	237	95	51	53	35	920	39	59	322	102	15	43	30	48	10	52	12	26	18	44	9	14	16	13	79	2	68	11	7	6	42	20	20	10	9	2	7	5	6	11	1	1	0	5	0	2	18	1	13	1	0	1	4	1	0	2	0	0	1	0	1	1	1	4	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	5	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	3682	1743	1894	705	2016	452	303	249	194	193	1002	148	114	345	157	59	87	68	92	52	69	40	51	44	61	31	38	29	34	78	13	66	27	18	14	49	16	27	17	13	6	7	10	16	10	9	6	3	3	5	5	19	2	13	3	3	6	3	1	1	5	2	1	2	1	3	2	1	4	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	5	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north2_active	80	2087	1050	1543	301	1858	244	95	51	47	31	946	38	54	311	98	13	52	28	53	13	38	14	28	24	40	9	15	22	16	73	6	55	20	11	5	44	14	24	13	7	2	5	4	8	5	1	3	1	3	0	2	16	2	12	2	0	3	3	1	0	4	0	1	1	0	1	1	1	4	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	5	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	3705	1821	1944	693	2061	479	299	268	183	190	1037	151	121	328	150	71	95	57	87	57	71	40	58	41	66	30	36	25	31	104	13	68	29	17	11	54	28	22	15	15	6	11	12	16	3	10	7	2	3	8	4	16	5	17	3	3	4	3	1	1	4	2	2	2	1	2	2	1	4	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north3_active	80	2153	1119	1612	299	1902	262	88	56	44	28	987	38	53	299	93	15	54	22	54	14	45	17	29	20	48	8	12	15	13	100	7	55	21	10	4	52	27	21	13	6	1	5	4	10	0	1	3	1	3	0	1	12	3	16	2	0	3	3	1	0	3	0	1	1	0	0	1	0	4	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_all	80	3637	1848	2007	650	2079	473	301	272	171	180	931	138	131	340	143	70	97	54	79	58	64	41	59	34	51	31	32	31	25	144	15	62	30	22	11	59	33	14	19	11	6	8	12	13	4	11	9	3	4	8	3	12	5	13	2	3	3	8	1	1	3	1	3	1	0	2	2	1	0	0	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_active	80	2157	1176	1671	284	1917	270	93	68	42	29	890	37	64	315	97	17	53	22	49	19	47	16	28	19	36	8	8	17	12	142	6	52	23	14	4	57	30	13	17	2	1	3	2	8	1	1	4	2	3	0	2	8	3	11	1	1	2	8	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north5_all	80	3616	1866	2057	626	2059	470	292	274	173	176	888	130	130	329	142	77	91	47	67	61	74	41	55	37	58	35	28	32	16	137	18	64	24	17	10	72	32	13	25	7	4	10	8	6	3	7	6	3	5	6	3	10	5	8	3	3	3	11	1	0	1	0	2	1	2	0	1	3	1	1	2	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north5_active	80	2189	1144	1714	277	1891	276	85	69	42	41	852	31	61	303	97	21	50	16	41	21	56	17	23	17	41	9	8	15	6	134	5	54	18	9	3	70	29	13	22	0	0	4	1	3	1	0	2	2	4	0	2	6	2	5	0	1	2	11	0	0	1	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
