label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102
0.03	north1_all	80	1129	527	422	267	197	156	111	306	71	97	63	49	39	153	22	34	37	127	33	36	16	20	16	12	10	10	23	8	13	6	7	10	7	8	7	27	3	4	7	19	2	3	2	10	5	8	2	1	0	1	5	2	28	6	4	1	2	5	0	0	6	5	1	0	21	2	0	0	1	0	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	372	110	267	128	52	49	46	261	23	51	16	8	13	134	5	24	24	117	21	24	5	7	7	6	7	7	18	6	9	2	3	5	4	2	5	25	3	3	1	17	0	3	2	10	4	8	0	0	0	1	1	1	28	0	2	1	0	4	0	0	6	4	0	0	21	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	1148	501	422	287	191	167	142	341	72	92	72	47	30	157	26	28	37	144	37	34	17	14	12	14	12	9	21	13	10	7	6	13	6	5	12	38	3	4	6	16	2	3	4	16	4	17	2	1	1	1	4	1	27	6	3	1	2	4	0	0	6	4	1	0	16	1	0	0	1	0	0	1	0	2	0	1	2	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	392	95	272	140	61	42	70	297	21	53	23	10	8	144	5	18	26	136	24	24	2	7	6	6	7	6	19	9	8	3	3	9	3	0	11	36	3	3	1	16	1	3	3	14	2	16	0	0	1	1	1	1	26	1	1	1	0	4	0	0	6	4	0	0	16	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	1167	530	424	297	195	161	145	342	68	87	68	43	32	147	31	32	45	147	40	36	16	16	14	8	16	10	25	13	8	4	6	16	6	3	9	36	7	12	7	18	3	2	5	12	5	13	3	1	2	1	3	1	29	2	2	1	2	2	0	0	1	0	1	0	23	3	0	0	0	0	6	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	429	114	267	138	68	35	81	295	18	55	20	12	11	135	6	18	31	139	27	26	3	6	7	2	9	7	23	10	6	1	2	12	2	0	8	33	4	10	1	18	1	0	3	10	3	11	0	0	1	1	0	1	28	1	1	1	0	2	0	0	1	0	0	0	23	3	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	1164	523	426	296	195	156	151	366	74	88	66	45	37	161	38	32	50	141	46	32	16	16	15	14	22	11	22	16	10	6	5	10	6	3	12	24	6	8	2	33	3	3	5	14	4	26	1	2	2	1	3	0	26	1	1	2	0	0	0	1	1	0	0	0	19	2	1	0	0	1	9	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_active	80	432	116	270	138	64	40	80	315	22	56	21	12	13	153	7	15	33	131	32	25	5	2	7	2	16	7	20	10	7	2	0	8	2	0	12	22	3	7	0	32	1	1	3	12	3	23	0	1	1	0	0	0	25	1	0	1	0	0	0	0	1	0	0	0	19	2	0	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_all	80	1221	556	442	291	190	136	136	330	78	91	58	39	31	155	40	40	39	136	38	24	21	18	16	15	27	14	18	13	22	7	7	7	6	3	6	24	6	8	2	46	3	4	4	12	1	30	1	4	3	1	4	0	25	0	1	1	1	0	2	1	0	0	0	0	9	2	1	0	0	1	9	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_active	80	442	125	281	137	60	38	67	281	20	57	15	9	14	146	8	23	27	127	24	21	8	4	8	2	20	8	17	10	19	3	0	6	3	0	6	21	2	7	0	44	1	1	3	12	1	25	0	3	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	9	2	0	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0
