label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109
0.03	north1_all	80	2215	1136	551	1029	587	213	160	220	209	96	71	234	46	109	73	108	102	63	47	28	27	33	20	26	22	52	19	12	7	15	58	7	8	5	8	9	8	10	6	6	4	15	8	5	2	2	3	3	2	3	4	3	1	3	1	2	1	4	1	0	1	0	3	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	1214	621	287	701	368	97	69	124	123	45	35	150	20	54	31	58	59	35	27	12	12	11	11	17	13	35	8	3	4	8	47	5	6	2	2	4	4	6	4	5	3	12	4	4	1	0	1	1	2	1	3	1	0	2	0	2	0	3	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	2177	1180	581	1057	584	219	156	224	218	83	66	226	51	127	78	90	76	58	48	28	19	29	18	23	22	63	30	11	8	19	40	4	11	9	7	9	8	4	6	5	9	14	7	5	2	0	2	1	2	2	9	3	1	4	1	3	1	3	1	0	1	1	2	0	0	0	5	0	1	0	0	0	0	0	0	2	1	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	1179	648	304	686	365	100	64	131	127	41	29	135	22	66	34	45	43	35	25	12	8	8	9	13	15	50	18	3	4	10	27	2	6	3	1	4	6	2	3	4	5	11	5	4	1	0	0	1	2	0	3	2	0	3	0	2	0	3	1	0	1	1	1	0	0	0	4	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	2177	1177	598	1077	576	198	157	235	204	92	66	236	46	118	68	92	79	65	33	34	19	25	18	27	17	64	32	6	13	16	39	8	8	9	6	6	11	3	7	2	9	6	6	5	3	2	5	2	2	1	10	1	1	4	1	3	1	1	2	0	2	1	2	0	2	1	4	1	1	0	0	0	0	0	0	3	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1211	663	313	680	340	94	66	140	115	49	29	133	20	65	34	54	52	37	22	16	10	9	10	19	10	50	21	0	8	9	29	6	4	1	1	2	5	2	5	1	4	3	4	4	2	1	3	2	2	0	3	1	0	3	0	2	0	1	2	0	1	1	1	0	1	0	3	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	2194	1180	593	1146	558	207	173	225	215	105	73	227	50	119	56	103	85	63	41	26	24	25	18	22	19	57	26	5	11	13	40	8	7	10	8	8	10	5	6	3	8	6	3	5	2	3	6	3	1	3	9	2	1	1	2	5	0	1	2	2	1	1	1	0	3	1	8	1	1	2	1	0	0	0	0	3	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	1248	684	308	727	327	101	77	134	122	49	34	128	17	74	28	65	60	38	25	12	11	13	11	15	10	43	19	1	8	8	27	6	3	1	2	6	3	3	4	2	3	3	2	3	1	2	4	3	1	2	0	2	0	1	0	4	0	1	2	0	0	1	1	0	1	0	2	1	1	1	1	0	0	0	0	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	2208	1170	546	1132	538	202	187	231	208	112	84	202	44	104	58	113	77	59	34	25	32	21	20	24	21	57	22	3	15	11	28	9	8	9	8	10	11	7	3	3	4	9	4	5	2	4	6	3	0	3	4	3	1	1	1	4	0	0	5	2	2	1	0	0	4	1	5	1	1	2	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
0.03	north5_active	80	1225	697	292	734	312	103	84	131	119	52	42	122	19	62	34	72	52	38	17	11	17	10	10	17	12	41	13	1	11	5	23	6	4	0	2	6	2	2	3	1	1	6	2	3	1	3	5	3	0	2	0	2	0	0	0	2	0	0	2	0	1	1	0	0	2	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
