label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125
0.03	north1_all	80	3687	3080	1430	1183	1288	667	401	334	270	251	531	169	156	439	119	157	121	93	75	79	63	102	69	105	73	35	32	41	86	65	20	16	18	18	22	9	62	93	16	13	8	10	10	17	10	13	24	7	14	4	4	4	9	10	12	7	2	11	1	15	3	15	2	1	3	0	2	1	0	4	4	4	7	1	1	0	0	0	0	1	3	3	0	0	0	0	10	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north1_active	80	797	2235	861	766	1031	441	84	129	66	60	453	52	66	396	30	120	68	54	36	40	24	80	46	90	46	10	11	17	80	54	10	1	10	3	17	0	55	91	10	5	0	3	1	13	3	9	21	2	14	2	1	3	5	6	10	2	0	8	1	12	2	14	0	0	0	0	2	0	0	4	4	2	7	1	1	0	0	0	0	0	3	3	0	0	0	0	10	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north2_all	80	3721	3008	1402	1137	1267	686	401	318	276	256	513	172	132	459	125	165	131	97	82	79	68	102	64	108	64	38	32	41	87	71	24	18	15	20	24	12	56	82	16	13	11	11	11	21	8	16	24	3	16	5	5	4	11	12	10	6	4	8	1	15	5	14	0	1	3	0	0	1	0	5	2	7	12	1	1	0	2	0	0	1	3	3	0	0	1	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north2_active	80	826	2211	832	752	1005	454	87	127	72	58	431	54	59	413	34	121	74	58	42	40	26	77	46	95	44	12	10	19	80	62	13	1	6	4	18	1	47	80	11	6	2	5	2	18	4	13	22	1	16	3	1	2	5	8	9	2	2	5	0	12	3	13	0	0	0	0	0	0	0	3	2	5	11	1	1	0	0	0	0	0	2	3	0	0	1	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north3_all	80	3783	2964	1385	1118	1219	699	405	321	273	218	487	180	134	541	120	154	110	104	78	68	70	101	63	103	54	41	31	35	79	72	25	21	19	20	25	14	62	43	19	13	9	13	12	20	7	15	22	5	31	4	5	7	9	10	11	5	4	27	3	9	5	6	0	0	3	0	5	1	0	3	2	6	12	1	1	0	2	1	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north3_active	80	831	2167	830	728	949	458	88	133	74	55	407	62	54	486	31	104	62	59	45	33	27	86	45	95	36	14	12	15	75	64	8	1	8	4	22	2	55	42	12	4	2	5	3	19	4	12	21	2	30	3	1	3	4	10	9	1	2	24	0	6	2	5	0	0	0	0	4	0	0	1	1	5	11	1	1	0	0	1	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_all	80	3763	2967	1371	1039	1221	689	401	334	277	217	481	184	142	531	130	164	108	97	74	68	67	114	61	95	53	44	28	38	80	79	24	23	16	18	23	15	64	34	18	14	9	15	10	26	13	18	22	3	30	2	3	7	3	11	7	1	4	36	3	6	5	3	1	1	2	0	5	1	3	2	2	5	20	0	0	0	2	2	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_active	80	811	2162	820	653	963	450	95	134	74	70	392	69	60	480	30	116	66	53	39	30	26	97	39	87	39	18	12	18	76	75	7	1	8	3	20	2	57	30	13	3	3	7	2	26	7	16	17	1	29	2	2	2	0	11	5	0	2	34	0	6	1	3	1	1	0	0	4	0	2	0	0	5	19	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north5_all	80	3759	2956	1375	1035	1221	637	367	320	270	192	481	181	146	539	128	190	110	96	58	66	71	117	68	129	47	43	24	28	68	87	23	19	19	18	20	13	72	39	16	11	9	11	11	22	11	10	20	2	30	1	3	9	3	5	5	1	3	37	3	1	2	3	1	1	2	0	6	1	4	1	3	1	8	0	0	0	2	3	2	0	0	1	0	1	0	1	0	2	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	783	2165	827	647	963	410	85	128	70	60	389	73	55	490	27	146	73	51	35	27	26	97	49	117	35	18	9	13	62	83	9	1	12	1	18	2	63	36	11	1	2	4	2	21	4	9	16	1	28	0	3	4	0	4	4	0	2	35	0	1	0	3	1	1	0	0	5	0	2	0	0	1	8	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	3727	2982	1406	1041	1245	614	362	319	259	193	491	178	149	520	122	190	106	107	76	68	74	120	70	121	42	33	27	33	61	79	24	18	23	17	28	10	61	35	11	9	11	8	11	33	12	10	21	5	15	2	4	6	1	8	4	1	3	19	3	2	4	3	1	2	2	0	2	0	4	1	3	2	11	0	0	1	1	3	3	0	0	3	1	0	0	1	0	2	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north6_active	80	768	2188	836	662	985	394	79	131	68	60	393	63	60	473	33	158	73	57	35	29	26	96	47	110	25	10	9	14	54	72	12	2	17	0	26	3	56	32	5	1	4	3	2	31	5	9	17	0	14	1	3	3	0	6	3	0	1	17	0	2	0	3	1	1	0	0	2	0	2	0	0	2	11	0	0	0	1	1	1	0	0	2	1	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	3710	3018	1468	1064	1282	636	361	315	269	192	516	186	151	514	116	186	110	109	84	73	71	102	90	132	59	27	28	36	63	67	29	16	27	18	34	10	65	30	11	6	11	8	11	37	10	10	22	7	8	3	7	5	4	16	3	3	6	31	7	3	3	2	1	1	2	0	3	1	3	1	3	3	5	0	0	1	1	1	2	0	0	3	1	1	1	1	0	2	0	0	1	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north7_active	80	789	2235	871	679	1042	418	77	120	71	53	427	65	68	474	36	155	71	58	37	32	26	81	63	116	38	7	5	16	56	60	17	4	15	1	28	4	60	29	4	1	4	2	1	34	5	8	16	0	6	1	4	3	0	14	1	2	1	28	3	3	0	2	0	0	0	0	3	1	1	0	1	3	5	0	0	0	1	0	1	0	0	2	1	0	1	0	0	1	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	3702	2992	1426	1142	1283	642	373	309	245	188	525	199	133	513	102	160	106	114	90	76	68	101	92	121	73	25	37	37	63	44	24	20	28	19	36	11	56	39	14	6	11	7	9	35	10	10	16	9	13	5	6	2	5	22	3	8	6	15	6	3	2	2	1	2	1	1	3	3	0	1	2	2	3	1	0	1	1	1	1	0	0	5	1	1	1	2	0	1	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north8_active	80	807	2242	850	743	1038	415	80	109	67	52	422	64	71	471	28	127	62	59	39	36	28	83	66	100	49	5	10	17	56	36	13	5	14	2	30	4	51	38	4	0	4	2	2	31	6	8	13	0	12	3	2	1	0	20	1	3	0	13	3	3	0	2	0	0	0	0	3	2	0	0	1	2	3	1	0	0	1	0	0	0	0	3	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	3555	3036	1449	1157	1273	679	385	333	248	213	585	197	140	510	104	167	105	108	83	80	62	107	95	139	68	28	40	37	84	52	28	25	27	21	39	12	40	44	16	7	10	9	8	36	13	7	15	9	16	4	6	5	6	23	3	9	6	14	4	2	4	2	1	1	0	2	3	3	0	0	3	3	0	1	0	1	0	0	1	0	0	4	0	1	1	2	6	0	0	1	1	0	1	0	1	0	0	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	774	2268	868	756	1040	443	96	117	66	65	493	61	72	467	23	130	54	66	31	31	27	95	67	114	47	6	12	16	74	47	16	7	11	3	34	4	35	43	7	0	4	2	2	33	5	4	12	0	15	3	3	2	1	22	1	4	0	13	3	2	1	2	0	0	0	0	3	2	0	0	2	2	0	1	0	0	0	0	0	0	0	3	0	0	1	1	6	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	3553	3034	1479	1166	1250	675	388	342	251	206	530	201	149	564	107	177	99	114	86	75	60	98	83	150	51	33	46	31	83	61	25	24	19	16	35	13	44	84	16	5	7	6	5	29	12	6	25	8	20	3	5	5	5	22	4	10	6	15	5	1	3	3	1	1	0	3	3	3	0	0	5	2	3	1	0	1	0	0	1	0	0	2	0	0	0	2	6	0	0	1	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north10_active	80	756	2251	894	746	1012	449	108	133	58	64	438	63	70	521	20	134	39	69	34	25	25	83	62	125	31	6	19	14	74	55	13	6	7	2	28	2	39	80	6	0	3	1	4	26	3	4	22	1	19	3	4	1	1	20	2	5	0	14	3	1	1	3	0	0	0	0	2	2	0	0	4	1	3	1	0	0	0	0	0	0	0	1	0	0	0	1	6	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	3665	3010	1382	1132	1255	659	349	325	265	217	463	166	133	497	117	180	98	80	79	59	64	81	96	95	62	38	31	37	107	70	25	17	28	17	15	16	55	136	9	11	6	6	10	17	5	12	18	5	35	6	4	10	4	13	7	6	8	27	3	10	4	14	2	0	2	1	9	3	3	1	1	4	0	0	0	0	1	0	0	0	0	1	0	3	2	0	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
0.03	north11_active	80	805	2246	865	785	1025	442	78	112	73	44	404	68	55	461	27	136	63	43	33	30	21	54	71	78	31	10	10	16	103	63	11	4	18	4	14	5	50	134	6	1	1	6	4	17	1	5	16	0	32	4	2	6	1	13	6	5	2	24	2	10	1	13	1	0	2	0	9	0	3	1	0	4	0	0	0	0	0	0	0	0	0	0	0	3	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
0.03	north12_all	80	3622	2997	1361	1155	1243	643	356	311	273	220	490	180	128	464	112	178	99	81	92	76	63	93	100	120	63	45	33	34	129	68	29	14	24	20	22	14	55	91	8	15	8	13	7	22	6	13	14	4	27	6	4	7	5	17	4	3	5	24	5	9	3	8	2	1	1	2	6	2	1	1	1	8	0	0	2	0	1	0	1	0	0	1	0	3	1	0	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
0.03	north12_active	80	759	2224	846	774	1010	421	79	111	79	54	428	66	44	417	30	134	59	44	47	35	24	70	78	105	36	10	12	12	115	60	15	5	13	6	17	2	49	89	5	2	2	9	4	19	2	5	12	0	25	4	2	6	2	14	3	3	1	20	4	9	0	7	1	0	1	0	6	0	1	1	0	8	0	0	0	0	0	0	0	0	0	0	0	3	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
0.03	north13_all	80	3659	2965	1386	1093	1285	670	370	314	287	206	504	183	130	471	109	168	107	77	94	70	52	100	91	98	81	42	31	30	117	68	28	15	20	17	20	14	51	78	13	12	6	17	11	16	7	14	24	6	38	6	5	4	7	11	6	3	2	8	4	8	2	8	2	1	1	1	4	3	1	2	2	10	0	0	2	0	1	0	2	0	0	0	0	3	1	0	10	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	7	0
0.03	north13_active	80	759	2179	858	707	1047	431	87	119	75	51	432	69	49	420	33	133	65	41	45	30	22	72	63	86	46	9	12	13	104	59	14	7	10	4	12	2	46	75	10	2	2	11	8	13	1	7	20	1	35	4	2	3	3	7	4	2	1	5	3	8	0	7	0	0	0	0	4	0	1	2	2	10	0	0	0	0	0	0	0	0	0	0	0	3	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
0.03	north14_all	80	3744	3033	1400	1059	1350	658	366	330	282	223	484	183	139	488	112	167	113	82	92	73	58	106	74	126	76	43	32	25	93	55	24	15	17	16	27	12	38	49	15	11	7	14	10	35	5	11	20	6	30	5	6	5	7	15	3	3	1	17	5	9	1	6	3	2	1	1	0	4	1	1	2	6	1	0	3	0	0	0	3	0	1	0	1	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
0.03	north14_active	80	764	2223	835	659	1106	410	91	124	79	65	404	58	51	441	32	131	69	42	47	30	29	78	47	115	43	10	10	10	77	49	12	4	8	2	16	0	34	44	11	3	2	7	6	28	1	7	17	1	28	4	4	3	4	10	2	2	0	15	3	9	0	5	1	0	0	0	0	1	1	1	2	6	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	3787	3113	1452	1087	1303	694	363	325	289	224	511	185	134	526	134	180	108	85	84	61	56	91	73	99	71	37	32	24	100	58	21	20	20	16	29	18	41	59	12	13	8	10	10	33	6	9	14	5	26	3	6	6	5	16	5	4	0	13	1	9	0	5	4	1	1	1	0	3	1	3	2	9	1	0	4	0	0	0	3	1	1	0	1	1	2	0	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
