label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131
0.03	north9_active	80	3230	1969	627	1236	895	235	205	183	165	170	331	83	171	188	65	53	66	71	120	48	40	41	43	47	22	17	15	15	74	13	13	17	16	34	10	10	9	17	3	7	8	7	10	6	4	2	8	6	8	2	2	4	5	0	1	3	2	1	3	4	3	1	0	4	0	1	0	2	8	2	0	1	2	0	2	2	0	2	1	2	2	0	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	5907	3294	1346	1990	1459	558	440	391	342	318	508	183	280	352	121	129	135	133	176	97	108	73	75	77	53	37	31	36	95	25	28	35	28	39	15	19	21	24	8	16	16	5	13	10	9	6	14	8	17	9	3	8	5	3	5	6	2	2	9	9	8	2	0	6	3	3	1	0	11	2	1	2	2	1	5	1	0	4	1	2	2	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	3220	1938	644	1239	919	242	211	191	164	176	310	83	169	198	61	61	67	65	118	48	46	37	43	50	26	22	14	16	66	10	16	16	15	29	3	11	9	16	4	9	8	2	11	7	2	1	6	5	8	1	3	4	3	0	2	4	2	0	4	5	8	1	0	4	1	1	1	0	8	2	0	1	2	0	4	0	0	2	1	2	2	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	6766	4008	1334	2404	1852	536	509	368	348	326	708	194	308	433	131	140	141	155	185	110	100	93	89	79	68	36	38	40	96	28	33	68	19	48	22	23	21	31	9	12	9	15	9	13	6	14	12	9	17	4	10	3	7	3	2	3	2	5	2	8	0	4	2	6	1	1	4	3	1	2	3	4	4	3	2	0	0	0	3	0	0	1	8	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north11_active	80	3948	2456	673	1528	1166	243	245	191	189	192	481	100	201	266	58	68	81	84	115	65	60	50	58	45	34	18	20	19	63	13	19	34	10	28	7	8	9	20	3	3	4	7	2	5	2	13	9	7	11	0	8	2	5	0	0	2	1	3	0	6	0	3	1	3	1	1	3	1	0	0	0	2	1	0	2	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	6724	3845	1372	2286	1815	530	507	377	345	316	677	226	299	422	136	147	138	159	182	96	98	82	80	85	66	32	38	36	94	31	34	66	19	40	20	24	21	25	12	11	14	18	5	12	5	14	15	8	21	5	6	1	7	4	3	9	5	5	3	8	4	4	2	4	1	2	4	3	1	1	2	3	4	2	1	0	1	0	3	0	0	3	9	0	1	0	0	2	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	3858	2352	672	1413	1151	246	250	192	196	182	443	109	189	250	60	76	75	87	114	53	60	46	53	53	35	19	21	15	61	19	20	35	10	25	8	7	10	15	7	2	7	9	2	4	2	10	10	7	15	1	4	1	4	1	1	4	1	2	1	7	3	2	1	2	1	2	2	1	0	0	0	2	0	0	1	0	0	0	0	0	0	1	8	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	6516	3686	1402	2208	1702	517	492	361	348	299	677	227	307	383	133	143	136	155	172	95	90	75	74	80	69	35	45	30	81	33	31	54	21	37	19	25	23	25	17	13	14	15	6	16	4	18	16	6	13	8	3	4	5	3	4	8	4	5	3	6	4	3	2	1	2	4	4	3	1	4	1	2	1	3	0	1	1	0	4	1	0	3	5	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	3679	2234	714	1400	1050	248	244	178	189	164	408	113	192	242	61	76	76	85	107	48	56	40	48	45	39	16	22	13	54	21	19	28	9	26	8	11	10	15	10	3	7	9	2	6	2	12	11	4	9	2	2	1	1	1	2	3	1	2	1	5	3	1	2	0	1	4	2	1	0	2	0	2	0	1	0	0	0	0	0	1	0	1	4	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	6420	3512	1327	2134	1665	524	478	376	354	278	662	240	267	359	145	144	129	146	190	94	94	70	69	88	71	39	46	30	84	33	28	50	16	35	12	23	18	28	17	14	13	12	9	11	3	16	13	8	11	8	5	7	5	3	3	10	4	8	3	5	6	3	2	5	3	7	3	2	2	5	1	6	1	2	4	2	2	0	2	1	0	3	1	0	2	0	0	1	0	0	1	0	0	0	1	0	1	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
