label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106
0.03	north1_all	80	919	1306	308	197	154	145	180	120	80	56	52	45	44	52	75	37	46	19	25	30	24	20	12	24	47	13	9	5	10	23	7	13	7	5	4	3	11	4	3	4	2	7	2	0	4	9	4	3	0	3	1	5	3	2	1	1	11	0	2	1	0	0	0	2	2	2	0	0	0	2	0	0	0	2	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	3	0	0	0
0.03	north1_active	80	425	826	131	90	65	88	95	64	32	22	24	24	22	35	55	13	26	8	12	21	16	12	7	11	38	6	5	0	9	6	5	10	4	0	0	3	2	3	2	1	2	6	1	0	2	7	4	0	0	1	0	0	2	1	1	0	10	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	956	1328	291	198	161	152	184	126	83	58	67	42	48	57	71	36	39	17	26	27	26	19	15	24	62	16	10	7	13	21	7	12	6	7	5	7	11	3	2	2	4	3	1	0	3	7	2	4	4	2	1	6	2	2	2	1	10	0	2	0	0	0	0	2	2	2	0	1	0	2	1	0	0	0	1	0	1	1	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north2_active	80	428	855	122	87	74	91	97	69	34	29	34	24	24	34	52	16	20	7	16	17	16	10	7	11	45	9	6	0	13	5	5	9	2	2	0	4	2	2	1	0	3	3	1	0	1	5	1	1	2	0	0	1	1	1	1	0	10	0	2	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	939	1354	319	196	152	161	173	119	82	58	75	51	41	47	81	46	48	22	20	35	32	19	17	24	55	13	10	8	14	18	8	10	5	7	3	13	7	4	1	3	5	4	1	1	3	5	3	2	6	1	0	2	2	1	1	1	1	1	2	0	0	0	1	1	1	2	0	1	0	3	1	0	0	0	1	0	1	0	0	0	3	6	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	409	869	150	88	74	91	95	64	31	30	38	29	19	25	64	24	20	9	13	22	17	12	9	13	38	8	6	2	14	7	6	10	2	4	1	8	2	2	1	0	2	3	1	0	1	2	1	1	2	1	0	2	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	923	1383	318	197	152	177	182	135	85	55	79	50	36	54	66	52	63	22	20	22	40	10	18	27	68	14	12	7	16	19	8	8	3	7	7	21	5	2	4	3	5	4	1	3	1	3	6	2	6	2	0	2	0	1	1	0	5	1	1	1	1	0	3	1	0	0	0	1	0	1	1	0	0	2	1	0	1	0	0	0	2	5	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	398	890	149	89	73	90	105	70	34	28	40	28	15	33	49	27	33	7	11	10	18	4	9	20	45	9	10	2	15	9	7	6	2	5	3	14	1	0	3	1	2	3	1	2	1	0	3	2	2	1	0	2	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	919	1434	308	200	147	185	186	149	72	53	72	53	34	60	54	62	69	24	17	26	37	12	19	22	51	12	10	3	16	20	5	8	8	7	9	25	4	1	4	4	5	2	0	5	3	2	7	1	5	2	0	2	0	0	0	0	5	1	1	2	1	0	4	1	0	0	0	0	0	1	2	0	0	2	1	0	1	0	0	0	1	5	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north5_active	80	397	913	148	96	67	103	113	84	24	27	33	29	16	36	40	33	43	9	11	14	15	8	9	16	36	7	7	2	14	15	4	5	5	5	6	17	3	0	3	2	2	1	0	4	3	0	3	1	1	1	0	2	0	0	0	0	1	0	0	1	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
