label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126
0.03	north1_all	80	4467	2498	1442	1173	737	568	925	1605	1005	331	344	608	213	158	167	138	116	120	108	100	71	75	57	55	58	39	33	47	51	70	26	32	31	27	20	23	21	18	15	27	29	10	16	29	6	6	7	11	7	29	8	4	6	5	8	15	3	3	8	4	4	11	2	3	2	1	8	6	3	1	3	1	2	1	2	2	3	0	1	0	1	2	3	0	6	1	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	5	1	0	1	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	1234	1299	578	667	324	261	731	1467	892	184	195	541	128	60	62	46	45	61	60	64	28	28	22	26	43	5	15	14	28	61	16	10	17	10	6	11	12	7	4	18	25	5	12	26	3	3	4	10	1	27	4	3	5	2	3	14	2	3	7	1	3	8	1	0	1	0	7	5	2	1	3	1	1	1	1	1	1	0	0	0	1	0	3	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	1	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	4445	2466	1417	1157	769	566	914	1773	1014	349	349	584	222	163	185	140	122	108	102	88	59	61	60	57	62	44	43	47	54	69	24	31	26	21	23	20	21	20	16	21	22	10	16	37	7	7	9	5	8	23	11	6	1	5	6	12	3	3	7	4	5	8	2	4	2	2	7	6	3	1	3	0	0	1	2	3	3	0	1	1	1	3	4	0	6	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	5	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	1212	1247	538	679	334	243	723	1638	903	207	198	519	141	74	71	47	42	49	55	50	22	22	24	23	46	7	19	12	30	57	17	6	11	10	7	9	10	6	5	14	18	3	12	33	3	5	6	2	2	21	5	4	1	1	4	11	2	3	6	1	3	6	1	0	1	0	6	5	2	1	3	0	0	1	1	1	1	0	0	1	1	0	4	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	4481	2440	1373	1144	803	577	893	1772	1023	346	362	588	209	162	162	136	119	102	123	91	62	64	69	58	66	43	45	54	54	73	27	31	23	29	24	26	19	15	14	9	27	11	18	34	10	7	6	6	7	24	10	4	0	3	5	8	6	3	11	3	5	6	4	2	2	4	7	3	3	2	2	0	0	1	2	2	1	0	1	1	1	3	3	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	5	0	0	1	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1199	1233	514	620	356	233	713	1645	927	200	207	524	137	76	64	46	39	47	70	52	19	22	23	22	49	9	17	11	27	65	15	7	7	18	7	13	9	3	4	6	20	3	13	31	5	4	3	3	3	21	4	2	0	0	5	8	1	3	10	1	3	5	1	0	1	1	6	2	2	2	2	0	0	1	1	1	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	4498	2426	1363	1148	809	610	969	1756	1146	350	329	682	211	150	145	122	119	88	124	92	48	66	65	60	79	53	42	43	55	80	34	26	21	25	26	23	13	18	12	15	24	13	15	35	9	9	7	10	8	28	12	5	4	5	6	27	8	3	12	2	5	3	5	2	2	4	6	3	0	1	0	2	0	2	1	2	0	0	0	1	0	2	3	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	8	0	1	1	0	0	0	4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	1214	1199	517	601	338	246	791	1631	1040	199	195	609	125	67	61	42	36	39	73	48	15	24	20	22	62	15	13	15	32	69	17	8	2	15	6	11	5	7	2	10	16	4	10	31	4	6	4	6	5	26	5	3	4	0	3	27	1	3	12	1	4	3	1	0	0	1	4	2	0	1	0	1	0	2	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	1	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	4523	2485	1382	1143	784	623	956	1661	1256	331	323	692	219	162	148	112	118	95	119	96	53	64	68	62	82	56	49	43	58	73	40	28	25	31	22	24	10	23	8	14	23	11	12	36	10	11	9	9	5	25	6	4	4	6	5	28	9	3	11	2	5	7	5	0	2	3	5	3	1	4	0	2	0	1	1	1	0	1	1	0	0	1	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	3	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1
0.03	north5_active	80	1208	1188	546	594	340	251	790	1554	1151	177	187	625	133	63	63	45	36	38	70	48	14	23	25	24	60	15	16	13	34	65	22	12	3	21	5	14	6	12	3	10	16	3	6	32	4	8	7	6	3	23	2	3	4	0	1	28	1	2	11	1	5	6	1	0	0	1	4	2	1	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north6_all	80	4511	2484	1376	1181	750	643	990	1585	1210	314	301	691	225	170	144	107	111	85	122	99	62	60	71	61	80	52	38	42	61	63	37	31	22	28	21	26	9	19	7	20	17	11	15	33	9	11	6	9	4	19	7	5	8	7	6	32	8	3	10	2	6	10	3	1	6	2	8	5	2	3	0	3	0	1	1	2	0	1	1	1	0	1	1	0	0	1	2	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	4	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1
0.03	north6_active	80	1237	1167	551	638	335	260	813	1483	1086	173	171	619	139	67	68	42	36	35	72	44	20	19	24	26	52	14	10	13	39	53	21	16	4	16	5	15	6	11	3	14	10	3	7	30	5	8	5	7	2	18	4	4	5	0	2	32	1	2	10	1	6	9	1	0	3	2	7	4	2	2	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north7_all	80	4586	2493	1404	1156	748	630	963	1507	1194	298	310	635	242	181	168	119	117	103	114	103	67	53	77	61	87	47	44	44	79	84	29	29	27	29	24	28	11	17	10	19	20	9	17	25	8	12	6	8	2	15	5	5	9	7	6	9	3	3	3	2	5	10	2	1	10	3	4	7	2	3	1	5	1	2	1	1	0	1	1	2	0	1	1	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
0.03	north7_active	80	1226	1207	571	649	314	256	781	1405	1075	172	166	562	153	69	83	49	35	44	66	50	18	14	21	27	57	11	14	16	58	73	19	15	8	13	9	18	6	11	6	13	12	1	9	24	5	9	5	6	0	14	3	4	5	2	2	9	1	2	3	0	5	9	1	0	7	3	3	7	2	2	1	4	0	2	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north8_all	80	4623	2461	1421	1198	744	630	956	1456	1089	308	308	663	233	188	166	125	119	107	121	112	85	60	69	57	60	45	48	45	69	82	23	31	32	29	21	22	13	20	13	22	18	11	16	27	8	17	4	5	3	13	4	4	7	5	6	12	4	4	2	5	7	8	2	1	9	3	3	5	2	0	2	7	2	2	3	1	0	0	2	2	2	1	1	2	0	1	1	0	0	1	0	0	0	0	0	2	2	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north8_active	80	1284	1223	570	673	315	259	771	1343	978	184	169	587	150	77	81	45	34	52	74	50	26	16	25	24	36	10	18	17	55	72	12	14	12	11	9	14	6	12	6	13	11	1	10	26	6	13	3	3	2	12	2	4	2	3	3	12	1	2	2	1	7	8	1	0	7	3	3	5	2	0	2	7	1	2	1	0	0	0	1	2	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north9_all	80	4658	2411	1429	1197	745	598	980	1544	974	332	310	645	222	179	158	123	107	120	112	104	77	67	64	49	61	39	45	41	76	78	25	29	28	32	22	20	16	22	15	25	18	8	13	18	10	15	6	7	5	16	2	3	4	7	6	15	4	3	0	5	10	3	1	1	6	5	2	4	1	0	2	12	2	2	2	0	0	0	1	3	3	1	1	2	1	1	1	0	0	1	0	0	1	0	0	2	2	0	0	2	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	1288	1211	572	669	319	246	797	1430	874	186	179	568	144	70	77	47	36	60	67	46	19	20	25	22	40	8	18	17	63	65	12	10	12	14	9	12	8	13	5	14	11	1	8	18	6	9	2	5	2	15	1	3	1	4	4	15	2	2	0	1	10	3	1	0	5	5	1	3	1	0	2	12	1	2	1	0	0	0	1	1	3	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	4605	2421	1407	1152	728	575	963	1497	871	332	300	625	212	169	154	118	106	115	104	103	78	60	61	51	54	36	50	36	61	75	29	30	26	25	23	17	18	24	13	25	13	12	16	18	8	12	10	12	8	16	5	6	6	5	4	8	3	5	1	5	15	3	1	1	4	4	2	6	0	0	1	10	1	1	3	0	0	0	1	3	5	0	1	1	1	0	1	1	0	1	1	0	1	0	0	3	2	0	0	2	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	1237	1190	525	638	303	252	770	1378	769	184	175	543	125	63	66	40	32	61	55	42	22	18	28	25	38	9	15	14	49	62	12	11	10	12	8	9	9	12	3	15	9	1	11	17	3	8	5	9	2	15	4	6	2	3	3	8	2	3	1	1	14	2	0	0	4	3	1	5	0	0	1	10	1	1	1	0	0	0	1	1	4	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	4461	2431	1434	1224	773	562	1025	1662	1079	342	291	659	251	150	164	117	95	92	107	99	75	56	57	48	81	45	56	29	88	68	25	19	19	24	18	18	18	13	14	23	18	15	18	44	11	12	8	10	5	18	1	7	5	6	2	21	5	1	5	4	6	13	5	4	2	2	4	2	2	1	1	1	1	0	0	0	1	0	1	1	1	0	1	0	0	1	0	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0
0.03	north11_active	80	1222	1218	577	691	327	245	858	1552	955	199	177	585	135	63	60	41	30	43	58	65	33	16	15	20	57	17	29	4	71	60	15	8	7	9	10	9	11	6	6	17	16	8	13	41	3	10	4	4	5	15	1	5	3	3	2	20	0	1	3	0	6	12	2	0	0	1	4	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north12_all	80	4443	2395	1416	1221	772	564	1066	1685	1149	355	285	636	241	167	151	129	108	98	119	89	72	63	68	42	56	44	52	28	67	64	24	18	21	26	21	17	23	10	16	24	31	13	16	53	9	12	9	7	5	16	2	7	6	6	5	22	4	1	5	5	7	13	5	4	2	3	4	7	2	0	0	3	2	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0
0.03	north12_active	80	1194	1209	566	703	328	236	889	1581	1016	206	166	571	151	67	56	40	35	45	59	55	23	15	21	14	37	18	24	5	56	55	15	6	9	14	11	10	16	6	5	17	29	4	10	47	4	8	4	0	5	13	1	4	3	2	4	21	1	1	3	0	7	12	2	0	0	1	4	6	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north13_all	80	4473	2434	1374	1194	769	587	1024	1659	1089	379	269	607	240	159	140	124	116	94	125	95	72	65	65	52	72	47	52	28	66	66	27	22	29	27	25	20	26	8	12	28	32	16	17	46	6	12	10	4	7	10	2	6	7	4	4	13	4	2	6	6	2	15	2	3	1	2	4	11	3	1	1	3	2	2	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	1205	1222	551	679	328	245	841	1548	971	225	154	549	142	68	51	32	39	44	66	63	22	21	21	19	50	18	17	5	54	58	16	6	13	14	11	11	19	2	3	22	30	3	7	39	4	5	5	0	5	8	1	4	3	0	3	13	1	1	2	0	2	12	2	0	0	1	4	10	2	1	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	4444	2440	1387	1151	781	592	1016	1570	1056	369	275	633	207	163	141	134	114	111	128	102	76	64	66	51	71	49	43	25	54	51	30	21	36	25	27	12	23	9	13	23	44	21	15	42	7	12	9	8	5	11	3	8	8	4	5	5	3	2	7	2	4	7	2	1	1	1	6	12	5	2	2	4	2	2	2	1	0	0	0	0	2	0	1	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	1195	1207	554	621	331	252	843	1434	953	202	158	573	122	80	53	33	34	40	67	63	23	21	19	25	50	20	10	6	41	43	15	7	18	12	13	5	16	2	2	18	42	3	7	35	5	5	4	5	2	8	2	6	4	0	4	5	1	1	2	0	4	5	1	0	0	0	5	12	5	1	2	2	1	2	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	4548	2415	1371	1151	778	619	977	1535	1100	348	264	625	223	155	141	125	102	116	118	97	63	56	78	49	84	55	42	30	49	78	37	21	40	16	29	11	24	12	14	15	37	17	11	50	9	11	9	8	8	16	4	9	4	7	5	10	2	2	7	1	5	18	1	0	0	1	15	8	8	3	3	4	2	4	1	1	0	0	0	0	2	1	2	1	0	0	1	1	3	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	1207	1182	529	639	332	265	790	1392	1010	187	147	558	117	77	59	36	30	48	66	60	16	21	17	25	60	22	11	8	38	70	17	7	20	6	13	4	16	2	4	12	29	2	4	46	5	6	1	5	3	11	2	5	2	4	3	10	1	0	4	0	4	16	0	0	0	1	14	7	8	2	3	3	1	4	0	1	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	4532	2406	1356	1130	780	603	998	1610	1153	326	282	583	200	155	148	126	92	104	121	98	64	57	73	46	77	50	34	25	56	82	37	26	32	25	21	13	21	12	13	23	35	13	13	50	9	8	8	8	8	20	5	6	2	8	6	9	2	1	5	0	13	14	1	1	0	2	15	6	7	3	3	3	2	5	1	0	0	0	0	0	2	2	2	0	0	2	2	1	3	0	0	0	1	1	1	0	1	1	0	0	0	2	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	1181	1193	512	625	332	247	803	1463	1063	183	167	521	94	76	64	46	28	43	68	63	19	22	19	23	51	20	10	8	44	70	21	7	18	9	9	3	11	2	5	19	24	1	4	47	4	6	0	5	2	12	3	4	1	4	3	9	1	0	4	0	12	13	0	0	0	1	14	5	7	2	3	2	2	5	0	0	0	0	0	0	1	2	2	0	0	2	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	4593	2376	1377	1111	758	613	1015	1622	1228	317	284	593	194	162	163	121	82	97	119	87	60	61	70	47	93	52	43	29	51	81	33	22	21	20	19	16	20	14	10	20	40	6	13	55	9	12	9	11	7	29	6	6	4	10	8	11	4	1	7	3	12	16	4	1	0	2	15	3	8	3	2	4	2	3	1	0	0	0	0	0	1	2	1	0	0	2	2	1	3	0	0	0	1	1	0	0	1	2	1	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0
0.03	north17_active	80	1180	1209	540	613	330	248	809	1492	1133	169	157	526	92	69	74	46	27	40	67	55	17	25	20	23	60	20	17	8	40	68	21	4	13	8	5	6	10	5	5	15	24	1	8	52	2	7	2	8	3	22	4	2	1	5	2	9	1	0	5	2	11	14	0	0	0	1	14	2	8	2	2	2	2	3	0	0	0	0	0	0	1	2	1	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
0.03	north18_all	80	4564	2385	1415	1093	775	583	1021	1758	1220	310	267	597	199	180	154	115	92	96	114	104	66	68	64	58	89	46	42	37	61	68	30	21	21	29	19	20	23	19	15	21	26	5	19	50	7	11	6	7	6	21	6	9	4	7	10	9	4	1	4	4	11	4	3	3	1	2	3	2	4	3	2	1	2	3	1	0	2	0	0	0	0	1	2	0	1	2	1	1	1	0	0	0	1	1	0	0	1	1	1	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0
0.03	north18_active	80	1189	1213	574	585	324	243	829	1649	1113	176	150	536	102	70	68	44	27	52	67	71	16	27	20	29	58	16	16	10	48	57	16	3	11	12	7	9	13	7	6	15	12	1	13	46	1	4	3	5	2	17	5	4	1	3	2	6	1	0	3	3	11	2	0	0	1	0	2	2	4	3	2	0	2	3	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
0.03	north19_all	80	4569	2403	1471	1105	765	600	1005	1786	1161	311	276	614	196	182	146	120	96	96	114	98	68	67	64	67	91	43	48	34	65	65	30	18	20	21	22	23	19	21	16	19	28	5	22	60	5	11	4	9	8	18	6	11	5	6	7	6	3	1	4	4	1	6	3	2	1	4	6	6	3	4	0	1	2	0	1	1	2	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	2	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0
