label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80
0.03	north1_all	80	9672	3162	3128	1024	713	615	557	339	293	600	236	138	134	128	237	79	50	71	54	46	41	40	34	91	25	55	15	20	12	16	6	16	11	7	7	18	7	4	5	1	1	3	1	14	0	0	1	14	0	1	2	1	1	1	4	2	1	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	7285	1957	2536	267	185	242	351	143	139	518	113	37	45	61	194	33	18	29	33	12	18	15	11	74	9	50	4	15	5	10	1	9	2	4	3	18	1	4	4	0	1	3	1	14	0	0	1	13	0	1	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	9690	3246	3221	999	729	634	582	364	305	588	212	159	124	123	214	72	58	66	66	45	38	32	38	95	25	46	21	25	12	16	5	13	8	8	9	9	7	7	1	1	3	2	1	14	0	0	2	14	0	1	3	1	1	1	2	2	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	7249	2031	2617	264	177	270	363	146	143	522	103	52	46	58	177	24	17	29	43	14	17	18	10	81	7	42	9	16	4	11	0	10	2	7	4	9	2	5	1	0	3	2	1	14	0	0	2	14	0	1	2	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	9659	3320	3267	1021	728	611	603	364	309	615	217	169	117	127	210	63	63	69	79	46	35	32	38	104	22	44	21	28	11	10	6	13	5	7	8	20	5	7	2	3	5	0	2	21	1	0	3	4	0	2	1	1	0	0	1	1	1	0	1	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	7260	2081	2676	271	169	252	380	137	149	542	100	56	48	61	168	25	17	28	56	14	13	17	12	90	4	37	11	17	3	8	1	9	1	4	4	19	2	4	2	1	4	0	2	21	0	0	2	4	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	9851	3336	3236	1027	700	644	622	375	352	623	220	167	131	114	173	77	71	55	83	40	31	30	35	72	25	32	24	29	10	6	8	10	7	12	7	26	8	5	2	4	5	0	4	21	1	0	3	2	0	2	2	0	1	0	1	1	2	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	7400	2096	2652	254	159	249	397	117	153	552	109	56	53	47	137	26	18	22	59	13	9	15	9	60	8	27	15	17	3	6	1	6	1	4	3	25	2	2	1	1	4	0	3	21	0	0	2	2	0	1	2	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	9697	3345	3190	1032	689	611	600	357	324	675	224	161	129	111	189	98	75	52	80	45	35	39	33	82	29	28	24	27	10	8	6	9	6	9	7	29	9	2	2	3	3	2	3	8	1	1	2	2	0	2	1	0	1	0	1	1	2	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
0.03	north5_active	80	7282	2108	2598	262	152	215	392	122	151	600	102	49	50	45	150	42	22	19	53	19	9	18	7	68	9	24	11	17	1	8	1	4	1	1	2	28	1	0	1	1	2	0	2	7	0	1	1	2	0	1	1	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north6_all	80	9613	3289	3172	1046	684	617	633	348	336	754	224	163	138	108	185	99	59	44	71	35	40	36	25	69	30	26	19	22	11	11	6	9	3	11	10	24	8	0	1	6	2	2	3	1	2	2	1	1	0	0	1	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0
0.03	north6_active	80	7282	2047	2567	253	163	214	408	115	168	676	105	46	43	42	145	42	18	22	49	18	10	14	5	57	12	22	8	10	2	9	1	4	0	2	4	23	2	0	0	2	0	0	2	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north7_all	80	9624	3272	3092	1048	651	601	627	352	291	687	192	152	137	103	200	101	61	45	65	39	52	29	25	72	24	43	19	33	12	12	5	10	5	5	8	25	4	1	2	5	2	2	0	1	1	2	2	12	0	2	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
0.03	north7_active	80	7303	2019	2450	270	163	214	388	132	154	609	83	38	45	40	169	43	21	24	43	17	16	11	6	63	7	40	5	25	2	9	2	5	1	1	2	24	1	0	1	2	1	0	0	0	0	1	2	12	0	2	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north8_all	80	9642	3225	3075	1035	656	583	602	339	277	648	191	143	132	99	193	103	54	50	67	37	52	30	21	64	18	43	16	40	9	14	9	16	7	8	8	26	4	1	4	7	2	2	0	6	3	1	1	12	0	2	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
0.03	north8_active	80	7326	1968	2463	273	177	228	359	129	143	571	83	39	41	40	166	38	18	24	43	15	14	10	6	59	3	37	4	30	3	9	5	11	1	4	2	25	1	0	3	3	1	0	0	6	1	0	1	12	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
0.03	north9_all	80	9553	3126	2994	1013	674	548	576	344	281	625	174	150	127	98	172	92	62	57	71	44	57	24	25	59	18	49	12	36	7	14	10	14	12	7	5	16	3	3	5	3	1	2	2	7	2	1	1	12	1	2	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north9_active	80	7153	1858	2378	265	170	216	329	133	136	544	72	46	40	39	143	30	20	22	46	8	11	5	8	53	5	40	4	30	3	9	4	11	3	3	2	15	1	0	3	1	1	0	1	7	1	0	1	12	0	2	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north10_all	80	8931	3019	2901	1031	703	543	552	333	315	561	192	153	125	90	158	99	60	58	66	51	50	27	26	60	21	41	10	21	10	19	10	18	10	5	4	8	1	5	4	4	0	3	4	8	2	0	1	0	1	3	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north10_active	80	6489	1717	2277	257	159	210	302	108	145	468	85	52	38	38	130	31	17	23	43	9	11	5	7	53	8	28	2	15	3	12	4	13	2	4	0	7	0	0	3	1	0	1	2	7	1	0	1	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north11_all	80	9660	3280	3060	1044	767	562	575	335	315	602	229	166	140	115	189	72	63	62	71	40	38	29	16	61	24	51	24	21	8	14	15	5	9	3	6	15	3	9	5	3	4	2	2	7	4	1	1	4	4	0	1	1	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north11_active	80	7295	2056	2478	274	214	227	350	136	151	535	120	61	54	43	153	28	28	26	42	6	14	13	6	51	9	48	9	15	1	6	6	3	2	1	4	15	2	5	3	1	3	1	0	7	1	0	0	4	3	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north12_all	80	9870	3386	3115	1030	767	570	575	334	306	635	215	171	123	125	185	69	65	64	72	38	35	35	22	69	26	52	25	22	8	12	10	4	11	6	9	19	3	8	7	2	5	2	2	3	4	1	2	3	3	0	0	2	3	4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north12_active	80	7490	2143	2537	272	203	228	357	127	132	564	96	53	52	39	154	26	24	25	39	8	15	14	10	58	12	41	8	13	1	7	6	3	2	3	5	18	2	4	4	1	4	0	0	3	1	0	1	3	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north13_all	80	9847	3343	3270	1055	759	567	635	340	311	613	201	166	109	128	176	74	62	67	72	40	31	36	25	68	25	57	23	27	12	9	12	5	8	6	9	18	5	7	5	2	3	2	2	5	4	1	3	4	1	0	0	2	2	4	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	7435	2127	2686	282	187	240	402	119	127	547	84	49	32	43	147	28	20	26	38	11	13	15	11	59	12	45	7	19	3	5	6	3	2	3	5	17	2	3	3	1	3	0	0	5	1	0	2	4	1	0	0	2	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	9890	3263	3305	1014	764	587	625	359	328	652	183	160	114	124	205	69	62	69	68	38	24	34	35	73	30	73	16	31	12	9	8	13	9	5	7	15	6	3	3	3	2	1	1	5	1	2	5	4	4	0	0	1	3	3	0	0	1	0	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	7514	2055	2707	261	181	249	407	114	141	574	74	50	37	43	167	24	17	31	31	9	9	13	12	66	13	56	5	21	2	5	4	8	2	3	4	14	3	1	1	1	1	0	0	5	1	1	4	4	4	0	0	1	3	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
