label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43
0.03	north1_all	80	8861	6508	4199	2166	1272	1007	530	694	475	229	120	105	103	45	61	24	53	33	27	19	7	9	6	12	6	5	5	4	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	3982	3886	2675	1278	720	581	281	449	276	132	57	50	65	21	40	8	37	16	20	12	5	5	1	9	2	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	8836	6474	4259	2185	1309	982	530	683	484	227	108	97	96	45	57	23	59	31	32	17	6	9	7	11	3	3	5	6	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	3931	3829	2744	1289	750	586	281	450	284	129	54	49	55	19	39	6	40	11	26	8	4	6	3	6	2	1	0	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	8837	6283	4287	2242	1332	932	517	676	466	227	120	95	86	55	60	22	58	27	39	13	8	9	5	16	2	1	4	3	2	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	3924	3709	2717	1356	763	556	269	426	290	135	60	47	45	27	40	8	35	11	29	5	5	6	4	7	1	1	0	2	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	8903	6321	4328	2247	1358	908	516	631	467	242	110	94	91	55	55	35	49	27	33	17	4	8	4	15	4	1	1	5	4	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	3907	3773	2711	1352	786	553	273	391	306	142	56	49	46	24	36	16	28	11	18	9	2	5	4	6	1	1	0	2	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	8998	6110	4214	2217	1337	891	528	637	432	243	113	82	95	56	61	38	39	37	37	17	4	11	4	19	3	1	4	4	3	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	3969	3664	2590	1345	799	535	273	406	284	136	54	40	49	23	38	20	22	22	19	10	2	5	4	10	1	1	3	2	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	9118	6035	3972	2129	1271	823	508	637	424	230	117	87	108	59	57	42	36	44	25	20	5	11	3	14	6	4	4	2	2	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north6_active	80	4076	3597	2420	1276	765	504	267	416	282	124	59	47	58	26	32	21	25	29	10	13	4	5	3	10	3	4	4	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	9162	5901	3737	2004	1220	800	506	600	399	218	121	91	107	65	53	36	26	46	22	19	4	11	5	9	5	5	5	1	1	2	1	0	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north7_active	80	4211	3496	2290	1188	744	480	268	394	255	110	57	48	60	26	28	20	17	29	8	10	3	6	4	7	2	4	5	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	9149	5944	3736	2018	1187	764	506	597	379	202	129	96	109	66	46	30	30	40	11	18	8	11	4	5	7	5	2	1	0	2	0	2	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north8_active	80	4263	3500	2300	1194	716	467	278	372	240	109	66	56	61	31	25	17	19	25	5	7	6	5	3	3	2	4	2	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	9027	6070	3877	2071	1214	822	506	594	382	206	125	102	100	68	53	37	36	36	18	20	8	9	5	7	8	2	1	2	0	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0
0.03	north9_active	80	4137	3593	2374	1220	718	502	275	373	235	118	62	54	59	29	32	18	23	14	14	12	6	5	2	3	3	1	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north10_all	80	8982	6365	4187	2208	1285	875	493	633	410	195	134	106	102	65	69	36	40	38	21	19	11	12	6	8	8	1	1	2	0	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0
0.03	north10_active	80	4066	3749	2651	1320	740	541	277	393	255	112	64	58	59	26	43	19	25	18	14	12	6	8	2	4	3	1	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north11_all	80	8838	6540	4241	2245	1303	983	500	743	480	241	151	103	119	48	63	23	50	29	13	25	8	18	7	10	6	1	3	1	3	1	4	2	1	0	0	0	0	0	0	0	1	0	0	0
0.03	north11_active	80	4063	3950	2651	1357	715	583	274	481	286	135	79	55	66	28	33	9	32	18	4	11	6	8	3	5	5	1	2	1	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	8827	6446	4199	2221	1261	996	504	743	477	234	138	112	108	52	50	23	50	34	15	21	11	18	10	9	6	1	3	3	3	3	2	2	1	0	0	0	0	0	0	0	1	0	0	0
0.03	north12_active	80	4026	3876	2614	1331	706	571	247	471	297	128	70	58	69	35	29	12	31	21	4	13	6	12	4	4	4	1	2	3	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
