label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79
0.03	north1_all	80	24438	10472	9663	4399	4461	3569	2042	1299	1330	1325	761	828	524	856	336	524	262	203	192	169	110	152	136	128	77	127	67	35	41	37	32	23	54	24	32	21	27	36	17	12	8	20	1	6	6	3	0	12	2	1	3	17	1	1	2	0	0	2	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
0.03	north1_active	80	11293	4682	5443	2064	2492	2003	1007	599	650	786	377	452	261	493	150	316	134	88	109	69	52	92	83	78	40	74	41	11	21	11	19	8	36	10	22	16	12	23	11	10	6	8	1	4	2	2	0	10	2	1	2	15	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_all	80	24012	10308	9403	4347	4410	3401	2021	1288	1279	1257	745	782	546	850	352	490	254	206	186	158	114	144	119	132	78	130	68	46	36	43	28	19	47	18	23	29	26	29	12	20	5	19	2	3	7	3	1	14	4	2	2	7	1	0	0	0	0	2	8	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0
0.03	north2_active	80	10949	4565	5341	2014	2423	1927	1005	580	625	708	357	414	249	518	156	297	131	83	99	63	53	89	68	88	36	85	43	17	18	16	16	6	29	7	14	22	16	21	7	15	2	18	2	1	2	3	1	10	3	2	1	6	1	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north3_all	80	23836	10394	9415	4302	4513	3403	1994	1308	1309	1265	763	714	602	857	356	461	264	219	209	140	121	139	103	137	75	110	56	50	41	42	27	22	43	18	22	27	31	25	15	20	4	26	3	4	8	2	4	3	4	4	1	3	2	4	0	0	1	2	8	1	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0
0.03	north3_active	80	10925	4612	5326	2014	2561	1946	1022	592	646	728	348	375	277	527	153	271	136	92	108	62	54	86	49	91	36	76	32	21	21	16	13	7	30	7	16	21	26	17	9	13	2	25	3	1	2	2	4	1	3	1	0	2	1	3	0	0	0	0	8	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
0.03	north4_all	80	23819	10486	9636	4301	4499	3369	2034	1353	1298	1275	771	712	605	895	372	453	267	216	216	131	124	130	93	155	69	114	56	45	42	45	28	22	48	17	24	31	32	18	10	24	5	24	5	4	6	1	5	2	5	7	1	0	2	7	0	0	1	2	8	0	2	0	1	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0
0.03	north4_active	80	10924	4570	5485	2020	2550	1928	1072	607	646	726	348	370	294	556	170	261	148	92	113	61	57	78	47	94	26	79	34	21	22	16	15	5	25	9	12	21	26	9	6	16	3	23	4	2	2	1	5	0	2	3	0	0	1	4	0	0	0	0	8	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
0.03	north5_all	80	24336	10611	9878	4385	4718	3512	2030	1370	1318	1323	772	722	558	905	373	506	278	236	222	129	136	129	96	151	71	121	46	42	51	36	34	24	58	20	21	16	31	16	13	18	6	16	10	8	7	2	6	4	3	7	2	0	2	7	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0
0.03	north5_active	80	11227	4754	5663	2064	2726	1974	1064	644	663	787	363	387	276	552	159	284	143	110	115	69	63	79	50	85	27	79	25	20	28	14	20	10	38	13	10	8	25	6	9	12	3	14	5	6	3	1	5	3	1	3	0	0	1	4	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0
