label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51
0.03	north1_all	80	6407	1841	1896	2000	481	680	418	281	386	107	94	185	77	99	29	29	53	47	15	18	23	33	10	31	6	9	2	6	9	1	1	0	1	0	1	2	0	2	1	3	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north1_active	80	4257	503	1423	1737	200	539	318	191	337	29	55	163	53	86	6	9	50	44	8	15	19	32	2	29	1	8	2	5	8	0	1	0	0	0	0	2	0	2	1	3	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	6330	1854	1850	1953	484	705	411	268	350	115	88	206	81	94	27	20	40	53	11	29	24	37	10	34	5	7	2	4	10	3	1	0	3	0	1	1	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0
0.03	north2_active	80	4227	508	1368	1681	196	549	319	174	307	30	46	176	54	83	7	5	34	49	5	21	19	33	3	32	1	6	2	3	9	0	1	0	2	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	6212	1902	1874	1983	494	701	428	280	347	125	78	211	74	100	35	23	51	55	20	29	18	24	10	40	3	8	4	3	3	3	1	0	4	0	1	1	1	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0
0.03	north3_active	80	4194	528	1390	1729	191	550	314	186	302	30	37	170	48	86	7	4	44	49	11	22	16	19	2	38	1	6	3	3	3	0	1	0	2	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	6287	1946	1895	1948	502	760	400	257	333	110	80	194	58	95	34	22	47	48	25	26	18	31	7	30	3	5	2	10	3	2	4	0	4	0	0	2	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	4234	524	1400	1674	198	603	282	167	283	23	41	154	40	82	8	4	39	40	12	19	17	24	1	29	1	2	1	9	3	0	3	0	2	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	6314	1985	1899	1945	550	771	418	228	388	112	90	224	62	126	38	23	50	47	27	12	20	32	5	28	3	5	3	10	6	0	3	1	1	1	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	4193	553	1436	1691	213	617	290	142	339	27	43	192	39	109	6	3	40	38	15	7	17	28	0	27	1	2	2	9	6	0	2	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
