label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47
0.03	south25_active	80	1963	836	423	251	198	90	68	199	191	111	43	27	51	13	14	21	3	4	37	2	2	4	2	3	2	1	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
0.03	south26_all	80	3585	1487	764	470	328	166	124	305	303	169	81	46	79	26	19	23	7	9	45	5	2	6	2	4	7	3	2	2	0	0	0	0	0	1	2	0	0	0	0	0	0	1	1	0	0	0	0	0
0.03	south26_active	80	2039	827	414	264	168	84	59	193	209	112	46	27	56	17	11	17	4	4	31	3	1	4	2	1	3	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
0.03	south27_all	80	3528	1470	733	439	301	172	125	282	304	170	58	44	79	25	16	28	10	9	32	5	2	6	1	4	6	2	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_active	80	2003	836	401	235	154	87	62	189	228	120	30	27	50	17	9	18	6	3	18	4	1	3	1	2	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_all	80	3502	1453	724	430	310	172	130	289	282	194	58	55	74	27	16	23	10	10	27	5	1	5	2	3	4	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_active	80	1973	826	389	229	157	88	65	188	213	145	30	39	48	19	5	16	6	5	17	4	0	3	2	1	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_all	80	3447	1474	772	444	360	202	133	325	298	195	65	42	74	30	13	31	10	7	38	6	2	4	3	4	4	5	0	4	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south29_active	80	1952	848	439	230	195	105	71	224	214	132	28	32	53	17	4	19	7	4	21	4	0	3	3	2	4	3	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_all	80	3427	1475	783	452	358	218	140	337	317	219	67	53	82	31	16	24	9	11	40	5	3	2	4	2	3	6	0	6	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south30_active	80	1960	852	434	225	193	120	68	223	243	141	33	42	62	15	4	13	7	6	22	3	1	2	3	2	3	4	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_all	80	3464	1428	726	423	313	241	139	277	287	224	76	47	89	21	16	63	6	8	32	7	7	6	2	1	9	2	1	1	3	0	1	2	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south31_active	80	1916	811	372	193	170	120	75	188	189	151	46	29	54	12	5	40	3	4	13	4	5	3	1	0	7	1	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
