label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68
0.03	north1_all	80	37827	19305	12320	7230	4074	3482	4928	1584	1631	1061	803	557	890	455	431	354	396	328	145	149	200	127	75	104	78	43	41	93	16	32	13	18	20	19	10	13	13	4	15	1	5	4	6	3	10	5	0	2	3	3	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	18069	11498	8374	4501	1471	2115	4238	492	1049	542	319	133	715	244	269	198	321	255	31	86	144	111	36	82	65	11	12	85	6	19	4	13	5	11	8	13	5	3	15	1	4	4	6	0	10	4	0	1	1	3	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	38011	19498	12177	7300	3907	3493	5016	1573	1632	1100	854	527	942	450	409	359	465	326	143	144	230	144	61	107	75	48	39	84	22	32	13	12	16	16	13	12	9	4	15	2	4	4	5	4	10	8	2	1	2	4	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north2_active	80	17971	11614	8204	4495	1414	2099	4318	478	1021	552	356	130	758	242	262	197	402	248	35	82	171	123	29	79	56	12	12	75	13	17	3	7	4	11	13	12	3	3	15	2	4	4	5	0	9	8	2	1	1	4	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north3_all	80	38142	19336	12087	7384	3917	3599	4903	1572	1606	1088	849	542	883	449	392	372	476	298	155	143	195	135	57	100	74	49	35	84	25	24	14	8	12	12	15	10	7	4	6	1	2	4	4	3	10	6	2	1	4	3	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north3_active	80	18036	11574	8111	4581	1416	2160	4196	457	964	565	357	139	702	239	252	227	415	215	36	84	157	109	19	67	48	14	12	77	17	14	5	3	2	9	15	9	3	3	6	1	1	4	4	0	9	6	2	1	3	2	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_all	80	38280	19331	12091	7203	3983	3547	4817	1588	1576	1131	850	572	864	423	391	349	483	284	158	163	168	137	51	97	69	42	36	68	24	22	13	10	8	10	17	12	5	10	5	3	3	3	2	2	2	6	3	0	2	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_active	80	18187	11519	8069	4466	1425	2121	4107	450	951	594	374	158	680	200	251	207	425	207	36	96	130	112	18	65	40	10	12	62	16	13	3	3	3	7	17	10	3	7	5	2	1	2	2	0	1	6	2	0	2	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north5_all	80	38114	19109	12181	7286	4006	3477	4773	1588	1599	1120	825	629	808	425	398	355	468	271	147	161	150	156	54	88	59	42	34	71	20	22	16	15	6	10	16	11	7	9	6	4	4	1	2	2	1	2	2	0	2	1	0	2	0	0	1	0	4	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	18303	11316	8175	4555	1428	2070	4109	455	982	577	365	166	628	196	259	215	409	197	42	97	108	133	22	63	36	11	12	65	12	14	5	7	3	6	16	9	3	6	5	3	0	0	2	0	0	2	1	0	2	0	0	2	0	0	1	0	4	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	37816	18517	11884	7064	3981	3374	4448	1556	1575	1093	805	614	767	439	405	301	402	264	128	157	141	159	65	94	55	39	36	79	13	25	16	13	9	7	18	12	6	9	3	6	3	2	1	1	1	2	1	0	2	1	0	2	0	0	0	0	4	0	1	1	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	17348	10551	7716	4228	1378	1928	3785	434	931	553	334	162	581	181	246	177	336	200	35	94	107	138	33	78	30	7	10	71	8	16	4	7	4	4	17	11	3	6	2	4	0	1	1	0	1	2	0	0	2	0	0	2	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	37232	17814	11392	6897	3933	3396	4132	1532	1525	1079	757	613	792	426	414	291	375	238	126	137	134	177	73	94	58	36	39	77	13	29	15	16	11	10	18	8	9	2	5	11	2	1	0	1	4	0	1	0	1	0	1	2	0	0	0	0	4	0	1	1	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	16180	9762	7147	3925	1262	1890	3441	416	864	520	279	151	581	175	244	162	295	163	33	68	98	150	34	77	29	8	9	66	6	19	4	9	4	3	15	6	2	1	3	9	0	1	0	0	1	0	0	0	0	0	1	2	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	36913	17265	11225	6804	3937	3466	3855	1503	1425	1068	768	593	705	426	413	262	373	236	120	143	152	165	68	110	65	38	41	68	20	31	17	11	11	11	25	6	7	3	3	9	1	1	0	0	4	1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	15368	9215	6920	3677	1190	1863	3157	394	753	514	257	140	508	180	239	147	283	154	32	71	116	131	36	89	39	9	8	55	9	18	7	4	3	4	21	4	1	1	2	7	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	36996	17508	11433	6776	3910	3494	4012	1567	1454	1026	787	595	761	418	401	267	352	243	139	150	132	172	72	99	66	37	37	110	25	31	17	17	10	10	46	7	8	9	2	19	1	0	0	1	4	1	1	3	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0
0.03	north9_active	80	15830	9634	7197	3770	1212	1916	3330	414	807	513	284	137	583	204	241	166	275	164	36	80	96	137	40	77	39	9	8	98	12	12	6	9	4	3	41	4	0	7	1	18	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0
0.03	north10_all	80	37703	17992	11942	7091	3933	3619	4336	1607	1525	1068	812	597	775	413	454	296	372	292	153	145	136	188	66	103	67	32	40	103	27	36	23	18	11	8	72	8	7	7	1	18	3	1	0	1	4	1	1	3	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0
0.03	north10_active	80	17070	10308	7830	4194	1290	2093	3631	451	895	567	317	136	610	215	291	205	305	207	44	79	108	154	36	81	40	7	9	92	11	18	9	13	5	3	69	5	1	6	0	18	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0
0.03	north11_all	80	38078	18842	12348	6948	4074	3555	4692	1592	1678	1164	852	579	920	417	393	398	393	332	136	151	185	220	79	102	57	32	27	41	26	20	16	19	10	16	14	10	0	8	7	2	2	4	6	3	1	0	0	0	2	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
0.03	north11_active	80	18017	11316	8496	4129	1453	2125	4004	473	1061	644	350	137	742	228	216	265	312	247	44	98	151	195	36	82	29	6	8	31	13	10	6	14	5	9	14	7	0	7	3	2	1	4	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	38096	18725	12104	6971	4053	3588	4629	1583	1568	1111	829	601	910	434	382	395	420	350	138	147	223	245	82	93	71	30	30	62	32	33	19	14	11	11	10	10	1	13	8	22	4	3	3	4	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
0.03	north12_active	80	17843	11301	8207	4147	1503	2156	3954	482	974	578	329	157	723	244	242	258	339	259	39	89	191	219	37	75	45	7	7	46	15	19	7	9	4	5	10	8	0	10	2	21	3	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	38207	18923	11973	6993	4001	3616	4611	1582	1548	1141	811	609	853	464	379	375	424	310	149	147	198	208	73	86	68	27	32	59	35	34	21	15	11	6	12	10	2	9	7	22	6	3	4	3	0	16	1	1	4	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
0.03	north13_active	80	18037	11412	8043	4198	1459	2179	3952	475	929	581	333	167	666	256	253	250	341	224	35	80	164	180	34	64	45	4	6	45	15	22	8	9	4	2	11	8	1	6	2	21	4	3	4	1	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	38172	18760	11873	7082	3978	3681	4601	1533	1546	1103	771	615	832	462	403	343	367	294	150	149	204	162	72	89	54	30	32	59	35	39	21	14	7	6	11	6	5	7	5	24	5	1	2	4	0	16	1	1	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north14_active	80	17870	11184	7915	4239	1432	2230	3920	456	939	539	325	159	638	239	265	224	292	211	30	84	165	137	42	67	40	5	5	48	13	27	8	8	4	1	8	3	2	4	2	23	3	1	2	2	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	37608	17901	11554	6917	3970	3593	4244	1544	1514	1068	761	600	787	447	390	346	377	280	159	143	189	115	67	105	51	32	26	62	27	33	22	17	7	8	11	6	5	3	3	23	5	1	3	3	0	18	1	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	16743	10167	7517	3979	1323	2047	3511	414	883	500	304	135	597	216	238	213	299	188	32	74	142	93	37	80	38	5	7	55	10	25	9	9	3	4	8	3	2	0	1	22	3	0	2	2	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
